,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100107,AAN.A,100,100,Q,
20100119,AAN.A,200,200,Q,
20100120,AAN.A,300,900,Q,
20100126,AAN.A,397,1025,Q,
20100129,AAN.A,100,100,Q,
20100208,AAN.A,100,300,Q,
20100209,AAN.A,530,730,Q,
20100210,AAN.A,100,400,Q,
20100211,AAN.A,200,800,Q,
20100304,AAN.A,100,300,Q,
20100310,AAN.A,150,450,Q,
20100311,AAN.A,100,5200,Q,
20100317,AAN.A,200,500,Q,
20100405,AAN.A,500,1000,Q,
20100407,AAN.A,100,2600,Q,
20100412,AAN.A,1200,2000,Q,
20100416,AAN.A,750,2050,Q,
20100419,AAN.A,500,1600,Q,
20100422,AAN.A,200,835,Q,
20100427,AAN.A,556,856,Q,
20100429,AAN.A,500,500,Q,
20100503,AAN.A,100,300,Q,
20100519,AAN.A,1000,1600,Q,
20100525,AAN.A,4150,4150,Q,
20100526,AAN.A,1000,1000,Q,
20100602,AAN.A,100,800,Q,
20100603,AAN.A,100,200,Q,
20100614,AAN.A,300,300,Q,
20100629,AAN.A,200,1400,Q,
20100701,AAN.A,100,1500,Q,
20100702,AAN.A,253,2633,Q,
20100706,AAN.A,100,400,Q,
20100707,AAN.A,100,200,Q,
