,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,ABC,173809,384471,Q,
20100105,ABC,180533,485851,Q,
20100106,ABC,429435,2059119,Q,
20100107,ABC,375380,1150402,Q,
20100108,ABC,267685,1106951,Q,
20100111,ABC,105506,383882,Q,
20100112,ABC,367068,834320,Q,
20100113,ABC,390809,783166,Q,
20100114,ABC,141733,451179,Q,
20100115,ABC,176122,414607,Q,
20100119,ABC,208028,729631,Q,
20100120,ABC,115682,580029,Q,
20100121,ABC,227482,743423,Q,
20100122,ABC,269840,703047,Q,
20100125,ABC,451358,1140599,Q,
20100126,ABC,568564,1259768,Q,
20100127,ABC,409959,1455244,Q,
20100128,ABC,346290,774485,Q,
20100129,ABC,322510,836796,Q,
20100201,ABC,307174,780030,Q,
20100202,ABC,538618,1508588,Q,
20100203,ABC,316682,805838,Q,
20100204,ABC,355584,1145454,Q,
20100205,ABC,296235,962007,Q,
20100208,ABC,230256,506507,Q,
20100209,ABC,122777,328405,Q,
20100210,ABC,508160,1649320,Q,
20100211,ABC,379297,1443150,Q,
20100212,ABC,104203,370877,Q,
20100216,ABC,105280,744551,Q,
20100217,ABC,229372,1387044,Q,
20100218,ABC,378567,1158876,Q,
20100219,ABC,248852,983616,Q,
20100222,ABC,416925,956360,Q,
20100223,ABC,431177,1620206,Q,
20100224,ABC,157106,647295,Q,
20100225,ABC,236171,627025,Q,
20100226,ABC,187678,790221,Q,
20100301,ABC,132647,698262,Q,
20100302,ABC,204200,488155,Q,
20100303,ABC,145166,719572,Q,
20100304,ABC,116030,664581,Q,
20100305,ABC,134789,542307,Q,
20100308,ABC,194313,586274,Q,
20100309,ABC,151039,653810,Q,
20100310,ABC,304735,651310,Q,
20100311,ABC,109661,348010,Q,
20100312,ABC,208711,485703,Q,
20100315,ABC,146912,610564,Q,
20100316,ABC,579816,1243322,Q,
20100317,ABC,244875,862646,Q,
20100318,ABC,294985,938301,Q,
20100319,ABC,336479,989362,Q,
20100322,ABC,621023,1587842,Q,
20100323,ABC,298127,669888,Q,
20100324,ABC,174793,546231,Q,
20100325,ABC,249608,705742,Q,
20100326,ABC,321611,772299,Q,
20100329,ABC,284853,544382,Q,
20100330,ABC,379564,819318,Q,
20100331,ABC,265866,684080,Q,
20100401,ABC,385994,1057227,Q,
20100405,ABC,154657,555973,Q,
20100406,ABC,231857,452343,Q,
20100407,ABC,479716,961633,Q,
20100408,ABC,463981,1029753,Q,
20100409,ABC,273887,474272,Q,
20100412,ABC,199902,633900,Q,
20100413,ABC,500951,835997,Q,
20100414,ABC,337009,727576,Q,
20100415,ABC,253264,611426,Q,
20100416,ABC,877392,1851018,Q,
20100419,ABC,483854,1393699,Q,
20100420,ABC,469964,1000806,Q,
20100421,ABC,709242,1735867,Q,
20100422,ABC,1086501,2478573,Q,
20100423,ABC,310247,1127705,Q,
20100426,ABC,498463,1138085,Q,
20100427,ABC,251118,821749,Q,
20100428,ABC,217776,622379,Q,
20100429,ABC,433689,1203751,Q,
20100430,ABC,314603,792983,Q,
20100503,ABC,285510,654507,Q,
20100504,ABC,215105,446542,Q,
20100510,ABC,358356,829265,Q,
20100511,ABC,218855,951383,Q,
20100512,ABC,265498,576878,Q,
20100513,ABC,325098,895046,Q,
20100517,ABC,318230,785411,Q,
20100518,ABC,288853,1024620,Q,
20100519,ABC,349638,916040,Q,
20100520,ABC,579571,1229936,Q,
20100521,ABC,447289,1077035,Q,
20100524,ABC,301418,785694,Q,
20100525,ABC,475609,1321369,Q,
20100526,ABC,366754,806569,Q,
20100527,ABC,357512,988475,Q,
20100528,ABC,278201,1251133,Q,
20100601,ABC,204003,910044,Q,
20100602,ABC,355446,1067625,Q,
20100603,ABC,413109,1856034,Q,
20100604,ABC,486742,1153554,Q,
20100607,ABC,599574,1544244,Q,
20100608,ABC,451981,949769,Q,
20100609,ABC,363288,781708,Q,
20100610,ABC,201345,617266,Q,
20100611,ABC,219755,605776,Q,
20100614,ABC,324556,683605,Q,
20100615,ABC,251914,729003,Q,
20100616,ABC,477369,1580326,Q,
20100617,ABC,427920,1298258,Q,
20100618,ABC,133200,399810,Q,
20100621,ABC,350571,906351,Q,
20100622,ABC,266307,870189,Q,
20100623,ABC,231963,873683,Q,
20100624,ABC,199683,697886,Q,
20100625,ABC,232197,756951,Q,
20100628,ABC,588971,1284942,Q,
20100629,ABC,1194045,2083734,Q,
20100630,ABC,1011624,2015691,Q,
20100701,ABC,845962,1721330,Q,
20100702,ABC,238676,589663,Q,
20100706,ABC,195773,509841,Q,
20100707,ABC,356075,1289874,Q,
20100708,ABC,271707,633959,Q,
20100709,ABC,161988,642049,Q,
20110804,ABC,287946,872782,,0.0
