,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,ABKpZ,1500,3150,Q,
20100107,ABKpZ,100,700,Q,
20100108,ABKpZ,500,1000,Q,
20100112,ABKpZ,1100,1400,Q,
20100114,ABKpZ,2740,3140,Q,
20100115,ABKpZ,634,1637,Q,
20100120,ABKpZ,600,600,Q,
20100121,ABKpZ,1893,3193,Q,
20100122,ABKpZ,1000,6217,Q,
20100126,ABKpZ,5582,19582,Q,
20100127,ABKpZ,15910,23362,Q,
20100128,ABKpZ,1950,6539,Q,
20100129,ABKpZ,150,700,Q,
20100201,ABKpZ,1950,3650,Q,
20100202,ABKpZ,100,700,Q,
20100205,ABKpZ,1180,5765,Q,
20100209,ABKpZ,700,2100,Q,
20100210,ABKpZ,2085,2715,Q,
20100211,ABKpZ,500,900,Q,
20100212,ABKpZ,130,230,Q,
20100216,ABKpZ,200,200,Q,
20100217,ABKpZ,3025,3725,Q,
20100222,ABKpZ,3500,13500,Q,
20100224,ABKpZ,500,500,Q,
20100225,ABKpZ,100,800,Q,
20100226,ABKpZ,500,3200,Q,
20100303,ABKpZ,150,275,Q,
20100304,ABKpZ,833,1333,Q,
20100308,ABKpZ,400,400,Q,
20100310,ABKpZ,200,550,Q,
20100312,ABKpZ,800,1950,Q,
20100315,ABKpZ,700,1200,Q,
20100317,ABKpZ,860,1100,Q,
20100318,ABKpZ,1395,2295,Q,
20100323,ABKpZ,590,890,Q,
20100325,ABKpZ,2100,1264207,Q,
20100326,ABKpZ,1220,6520,Q,
20100329,ABKpZ,3285,7220,Q,
20100330,ABKpZ,1600,1735,Q,
20100331,ABKpZ,2000,2000,Q,
20100401,ABKpZ,2100,2400,Q,
20100405,ABKpZ,1000,2600,Q,
20100409,ABKpZ,8415,17807,Q,
20100412,ABKpZ,16730,24513,Q,
20100413,ABKpZ,14825,28193,Q,
20100414,ABKpZ,9694,19529,Q,
20100415,ABKpZ,6216,9955,Q,
20100416,ABKpZ,6375,28170,Q,
20100419,ABKpZ,3589,5939,Q,
20100420,ABKpZ,1850,8707,Q,
20100421,ABKpZ,5154,8654,Q,
20100422,ABKpZ,1750,2791,Q,
20100423,ABKpZ,550,2750,Q,
20100426,ABKpZ,8557,10073,Q,
20100427,ABKpZ,3025,3225,Q,
20100429,ABKpZ,100,347,Q,
20100430,ABKpZ,5447,11407,Q,
20100503,ABKpZ,5975,27617,Q,
20100504,ABKpZ,3727,64427,Q,
20100510,ABKpZ,1150,21150,Q,
20100512,ABKpZ,600,1785,Q,
20100517,ABKpZ,1000,1400,Q,
20100518,ABKpZ,999,3285,Q,
20100520,ABKpZ,1000,42900,Q,
20100526,ABKpZ,200,1500,Q,
20100602,ABKpZ,2400,4650,Q,
20100603,ABKpZ,200,1100,Q,
20100607,ABKpZ,300,550,Q,
20100608,ABKpZ,650,4500,Q,
20100609,ABKpZ,1816,11124,Q,
20100610,ABKpZ,4100,18450,Q,
20100614,ABKpZ,500,3000,Q,
20100615,ABKpZ,380,1780,Q,
20100617,ABKpZ,100,1100,Q,
20100629,ABKpZ,600,1000,Q,
20100706,ABKpZ,1000,1100,Q,
20100708,ABKpZ,400,1400,Q,
