,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,ACFN,10609,52099,Q,
20100105,ACFN,6850,50347,Q,
20100106,ACFN,27292,50011,Q,
20100107,ACFN,2400,11550,Q,
20100108,ACFN,3847,20868,Q,
20100111,ACFN,4700,29848,Q,
20100112,ACFN,12287,46098,Q,
20100113,ACFN,10370,68513,Q,
20100114,ACFN,16957,36108,Q,
20100115,ACFN,9850,42335,Q,
20100119,ACFN,34561,132269,Q,
20100120,ACFN,6349,31115,Q,
20100121,ACFN,12872,47894,Q,
20100122,ACFN,10450,40536,Q,
20100125,ACFN,6500,14150,Q,
20100126,ACFN,30622,71421,Q,
20100127,ACFN,32359,66558,Q,
20100128,ACFN,17777,58327,Q,
20100129,ACFN,15300,43105,Q,
20100201,ACFN,5309,23985,Q,
20100202,ACFN,1200,11251,Q,
20100203,ACFN,6062,20755,Q,
20100204,ACFN,18060,46465,Q,
20100205,ACFN,4900,22668,Q,
20100208,ACFN,13480,23568,Q,
20100209,ACFN,13567,20389,Q,
20100210,ACFN,12873,28173,Q,
20100211,ACFN,24927,43439,Q,
20100212,ACFN,15950,27990,Q,
20100216,ACFN,4924,14640,Q,
20100217,ACFN,13670,37470,Q,
20100218,ACFN,7500,18945,Q,
20100219,ACFN,14845,22870,Q,
20100222,ACFN,9489,16794,Q,
20100223,ACFN,22977,40643,Q,
20100224,ACFN,17900,42350,Q,
20100225,ACFN,4400,19230,Q,
20100226,ACFN,3950,19110,Q,
20100301,ACFN,24737,47116,Q,
20100302,ACFN,22630,41180,Q,
20100303,ACFN,10890,27882,Q,
20100304,ACFN,22820,42441,Q,
20100305,ACFN,23443,46869,Q,
20100308,ACFN,10238,14994,Q,
20100309,ACFN,55048,170455,Q,
20100310,ACFN,22439,59364,Q,
20100311,ACFN,23106,46962,Q,
20100312,ACFN,25370,52315,Q,
20100315,ACFN,20549,46160,Q,
20100316,ACFN,13725,65466,Q,
20100317,ACFN,18200,56550,Q,
20100318,ACFN,26665,61155,Q,
20100319,ACFN,30170,52450,Q,
20100322,ACFN,9550,27130,Q,
20100323,ACFN,17060,43030,Q,
20100324,ACFN,916,5816,Q,
20100325,ACFN,15301,26401,Q,
20100326,ACFN,11191,34627,Q,
20100329,ACFN,4800,30650,Q,
20100330,ACFN,18530,51928,Q,
20100331,ACFN,11800,19087,Q,
20100401,ACFN,19698,30508,Q,
20100405,ACFN,19818,37331,Q,
20100406,ACFN,9205,33482,Q,
20100407,ACFN,6355,13505,Q,
20100408,ACFN,4935,9480,Q,
20100409,ACFN,12641,25157,Q,
20100412,ACFN,9340,17586,Q,
20100413,ACFN,6135,19705,Q,
20100414,ACFN,16894,26149,Q,
20100415,ACFN,9700,56389,Q,
20100416,ACFN,15798,50274,Q,
20100419,ACFN,8750,21600,Q,
20100420,ACFN,6900,35892,Q,
20100421,ACFN,10953,41595,Q,
20100422,ACFN,1900,18850,Q,
20100423,ACFN,2500,13550,Q,
20100426,ACFN,2024,9066,Q,
20100427,ACFN,7390,22900,Q,
20100428,ACFN,300,11315,Q,
20100429,ACFN,36475,53877,Q,
20100430,ACFN,8650,21748,Q,
20100503,ACFN,5100,25787,Q,
20100504,ACFN,1607,17316,Q,
20100510,ACFN,12290,17770,Q,
20100511,ACFN,8105,19207,Q,
20100512,ACFN,16880,34903,Q,
20100513,ACFN,14923,29223,Q,
20100517,ACFN,7300,31160,Q,
20100518,ACFN,6404,23160,Q,
20100519,ACFN,2900,89865,Q,
20100520,ACFN,11620,54787,Q,
20100521,ACFN,13073,35673,Q,
20100524,ACFN,20016,36906,Q,
20100525,ACFN,13070,20245,Q,
20100526,ACFN,18862,22471,Q,
20100527,ACFN,10627,12777,Q,
20100528,ACFN,2865,12016,Q,
20100601,ACFN,10449,15870,Q,
20100602,ACFN,15177,19658,Q,
20100603,ACFN,14989,38660,Q,
20100604,ACFN,10681,37049,Q,
20100607,ACFN,3300,18324,Q,
20100608,ACFN,3330,21928,Q,
20100609,ACFN,15388,22020,Q,
20100610,ACFN,16300,22000,Q,
20100611,ACFN,3410,6315,Q,
20100614,ACFN,4262,9220,Q,
20100615,ACFN,13421,28478,Q,
20100616,ACFN,1996,11008,Q,
20100617,ACFN,3750,5652,Q,
20100618,ACFN,5890,10187,Q,
20100621,ACFN,2720,8420,Q,
20100622,ACFN,8275,19867,Q,
20100623,ACFN,4200,18500,Q,
20100624,ACFN,12777,16660,Q,
20100625,ACFN,4110,19430,Q,
20100628,ACFN,753,19354,Q,
20100629,ACFN,1100,6500,Q,
20100630,ACFN,4343,8543,Q,
20100701,ACFN,2130,20610,Q,
20100702,ACFN,200,4756,Q,
20100706,ACFN,11449,16379,Q,
20100707,ACFN,2380,10859,Q,
20100708,ACFN,4210,9510,Q,
20100709,ACFN,8700,15457,Q,
20110804,ACFN,35012,73163,,1000.0
