,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,ACS,135367,338120,Q,
20100105,ACS,66618,192193,Q,
20100106,ACS,19802,172774,Q,
20100107,ACS,206913,317046,Q,
20100108,ACS,84183,202541,Q,
20100111,ACS,55654,328935,Q,
20100112,ACS,242895,326753,Q,
20100113,ACS,226154,325553,Q,
20100114,ACS,44839,144831,Q,
20100115,ACS,68189,194074,Q,
20100119,ACS,333766,421053,Q,
20100120,ACS,57413,148054,Q,
20100121,ACS,72188,334100,Q,
20100122,ACS,65991,167363,Q,
20100125,ACS,85159,236454,Q,
20100126,ACS,13254,87840,Q,
20100127,ACS,62706,257113,Q,
20100128,ACS,35986,136466,Q,
20100129,ACS,88922,570435,Q,
20100201,ACS,43595,360429,Q,
20100202,ACS,137663,464845,Q,
20100203,ACS,97958,568479,Q,
20100204,ACS,49746,503937,Q,
20100205,ACS,126261,670411,Q,
