,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,ADRU,804,1324,Q,
20100105,ADRU,800,800,Q,
20100106,ADRU,100,948,Q,
20100114,ADRU,175,405,Q,
20100120,ADRU,669,769,Q,
20100121,ADRU,612,1323,Q,
20100122,ADRU,300,1324,Q,
20100125,ADRU,100,539,Q,
20100126,ADRU,160,2160,Q,
20100128,ADRU,138,1222,Q,
20100205,ADRU,2726,7536,Q,
20100208,ADRU,100,1215,Q,
20100209,ADRU,125,560,Q,
20100211,ADRU,634,5712,Q,
20100212,ADRU,299,899,Q,
20100216,ADRU,100,1546,Q,
20100222,ADRU,2300,2700,Q,
20100223,ADRU,140,600,Q,
20100225,ADRU,395,1395,Q,
20100301,ADRU,859,1268,Q,
20100302,ADRU,100,1287,Q,
20100303,ADRU,11960,15910,Q,
20100304,ADRU,3700,4672,Q,
20100305,ADRU,2643,3973,Q,
20100308,ADRU,2044,2794,Q,
20100309,ADRU,1250,3304,Q,
20100310,ADRU,1309,2009,Q,
20100311,ADRU,332,1082,Q,
20100312,ADRU,1425,2610,Q,
20100315,ADRU,429,1239,Q,
20100316,ADRU,166,1967,Q,
20100317,ADRU,2020,4055,Q,
20100319,ADRU,681,1701,Q,
20100322,ADRU,200,1023,Q,
20100324,ADRU,300,4070,Q,
20100325,ADRU,650,1580,Q,
20100326,ADRU,1100,2600,Q,
20100330,ADRU,1000,1200,Q,
20100405,ADRU,1077,2560,Q,
20100406,ADRU,1700,2045,Q,
20100408,ADRU,368,3968,Q,
20100409,ADRU,550,4883,Q,
20100412,ADRU,821,1159,Q,
20100413,ADRU,300,300,Q,
20100415,ADRU,208,2783,Q,
20100416,ADRU,500,600,Q,
20100427,ADRU,1100,5800,Q,
20100428,ADRU,3740,5101,Q,
20100429,ADRU,100,200,Q,
20100503,ADRU,1000,1875,Q,
20100504,ADRU,849,2837,Q,
20100510,ADRU,3626,4469,Q,
20100511,ADRU,1022,1462,Q,
20100513,ADRU,1342,1842,Q,
20100517,ADRU,1553,8598,Q,
20100519,ADRU,2600,3575,Q,
20100520,ADRU,3100,5057,Q,
20100524,ADRU,900,1500,Q,
20100525,ADRU,659,3541,Q,
20100526,ADRU,720,1720,Q,
20100527,ADRU,1587,1887,Q,
20100528,ADRU,2900,3900,Q,
20100601,ADRU,2751,3719,Q,
20100602,ADRU,500,2100,Q,
20100603,ADRU,230,1659,Q,
20100604,ADRU,3377,4977,Q,
20100607,ADRU,1882,3012,Q,
20100608,ADRU,809,1787,Q,
20100609,ADRU,927,2450,Q,
20100610,ADRU,1100,2600,Q,
20100611,ADRU,960,960,Q,
20100614,ADRU,1222,3010,Q,
20100615,ADRU,1100,2600,Q,
20100616,ADRU,200,425,Q,
20100617,ADRU,1887,5574,Q,
20100621,ADRU,2600,3000,Q,
20100623,ADRU,739,1500,Q,
20100624,ADRU,650,1344,Q,
20100625,ADRU,2178,2878,Q,
20100629,ADRU,1655,2055,Q,
20100630,ADRU,166,166,Q,
20100701,ADRU,100,551,Q,
20100702,ADRU,2265,2965,Q,
20100706,ADRU,4149,6763,Q,
20100707,ADRU,900,5047,Q,
20100708,ADRU,100,2022,Q,
20110804,ADRU,1450,5106,,0.0
