,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,AFCE,1861,19628,Q,
20100105,AFCE,6299,17780,Q,
20100106,AFCE,4800,68687,Q,
20100107,AFCE,1870,24578,Q,
20100108,AFCE,7000,33309,Q,
20100111,AFCE,2700,24562,Q,
20100112,AFCE,300,16318,Q,
20100113,AFCE,2300,17914,Q,
20100114,AFCE,1100,9500,Q,
20100115,AFCE,32630,37530,Q,
20100119,AFCE,12990,43388,Q,
20100120,AFCE,2300,16828,Q,
20100121,AFCE,1200,2715,Q,
20100122,AFCE,5416,9628,Q,
20100125,AFCE,4636,11136,Q,
20100126,AFCE,11700,24340,Q,
20100127,AFCE,4165,10965,Q,
20100128,AFCE,7900,12484,Q,
20100129,AFCE,8100,12682,Q,
20100201,AFCE,10500,22641,Q,
20100202,AFCE,2325,20538,Q,
20100203,AFCE,2282,6510,Q,
20100204,AFCE,4400,6805,Q,
20100205,AFCE,2100,9593,Q,
20100208,AFCE,2997,11495,Q,
20100209,AFCE,4353,11453,Q,
20100210,AFCE,1400,3634,Q,
20100211,AFCE,1800,18802,Q,
20100212,AFCE,500,9131,Q,
20100216,AFCE,300,5100,Q,
20100218,AFCE,2700,7065,Q,
20100219,AFCE,600,3600,Q,
20100222,AFCE,2662,9762,Q,
20100223,AFCE,400,4645,Q,
20100224,AFCE,800,8500,Q,
20100225,AFCE,700,14200,Q,
20100226,AFCE,100,6500,Q,
20100301,AFCE,4483,14183,Q,
20100302,AFCE,6277,15782,Q,
20100303,AFCE,15200,28405,Q,
20100304,AFCE,1000,5606,Q,
20100305,AFCE,3200,11077,Q,
20100308,AFCE,100,4700,Q,
20100309,AFCE,12756,31316,Q,
20100310,AFCE,10198,37996,Q,
20100311,AFCE,30035,69366,Q,
20100312,AFCE,15332,41843,Q,
20100315,AFCE,6086,30437,Q,
20100316,AFCE,15000,33885,Q,
20100317,AFCE,4965,11385,Q,
20100318,AFCE,6048,44510,Q,
20100319,AFCE,8457,51658,Q,
20100322,AFCE,9560,85860,Q,
20100323,AFCE,4495,13486,Q,
20100324,AFCE,1800,20546,Q,
20100325,AFCE,2700,9857,Q,
20100326,AFCE,4917,56789,Q,
20100329,AFCE,1698,23489,Q,
20100330,AFCE,3300,22842,Q,
20100331,AFCE,4500,40475,Q,
20100401,AFCE,6096,47477,Q,
20100405,AFCE,3255,21163,Q,
20100406,AFCE,22276,29350,Q,
20100407,AFCE,7000,24003,Q,
20100408,AFCE,1500,10710,Q,
20100409,AFCE,1100,6954,Q,
20100412,AFCE,1995,18542,Q,
20100413,AFCE,7500,23349,Q,
20100414,AFCE,2200,13372,Q,
20100415,AFCE,5700,38461,Q,
20100416,AFCE,2950,32922,Q,
20100419,AFCE,12083,53893,Q,
20100420,AFCE,10948,59854,Q,
20100421,AFCE,500,52812,Q,
20100422,AFCE,1396,6596,Q,
20100423,AFCE,4460,17283,Q,
20100426,AFCE,49221,116651,Q,
20100427,AFCE,19003,56283,Q,
20100428,AFCE,7100,31416,Q,
20100429,AFCE,6490,26147,Q,
20100430,AFCE,6150,44383,Q,
20100503,AFCE,11584,30822,Q,
20100504,AFCE,6292,87616,Q,
20100510,AFCE,2861,10306,Q,
20100511,AFCE,8241,19400,Q,
20100512,AFCE,16596,32441,Q,
20100513,AFCE,15517,29232,Q,
20100517,AFCE,18100,33308,Q,
20100518,AFCE,2301,15338,Q,
20100519,AFCE,6920,16196,Q,
20100520,AFCE,16995,56974,Q,
20100521,AFCE,19196,43359,Q,
20100524,AFCE,4782,13724,Q,
20100525,AFCE,3664,12089,Q,
20100526,AFCE,4857,12350,Q,
20100527,AFCE,5637,13579,Q,
20100528,AFCE,2700,12954,Q,
20100601,AFCE,6819,15565,Q,
20100602,AFCE,4000,8019,Q,
20100603,AFCE,4656,10829,Q,
20100604,AFCE,2600,30959,Q,
20100607,AFCE,4696,64530,Q,
20100608,AFCE,6783,24508,Q,
20100609,AFCE,4933,12683,Q,
20100610,AFCE,19710,29926,Q,
20100611,AFCE,8136,12036,Q,
20100614,AFCE,6900,19897,Q,
20100615,AFCE,1000,20854,Q,
20100616,AFCE,7608,16608,Q,
20100617,AFCE,3450,8365,Q,
20100618,AFCE,1085,11885,Q,
20100621,AFCE,2192,3342,Q,
20100622,AFCE,12760,30483,Q,
20100623,AFCE,3970,14298,Q,
20100624,AFCE,2590,11464,Q,
20100625,AFCE,23700,47468,Q,
20100628,AFCE,7430,18795,Q,
20100629,AFCE,45767,68283,Q,
20100630,AFCE,44180,56869,Q,
20100701,AFCE,15914,44504,Q,
20100702,AFCE,5400,8350,Q,
20100706,AFCE,14763,35159,Q,
20100707,AFCE,5735,15339,Q,
20100708,AFCE,14832,21332,Q,
20100709,AFCE,5566,11766,Q,
20110804,AFCE,10130,31781,,0.0
