,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,AGN,108604,500210,Q,
20100105,AGN,32488,243083,Q,
20100106,AGN,136920,762516,Q,
20100107,AGN,49490,578645,Q,
20100108,AGN,75240,485705,Q,
20100111,AGN,44535,500632,Q,
20100112,AGN,62872,270761,Q,
20100113,AGN,53456,751590,Q,
20100114,AGN,28170,351888,Q,
20100115,AGN,193771,438992,Q,
20100119,AGN,100626,895218,Q,
20100120,AGN,129427,509298,Q,
20100121,AGN,114164,377351,Q,
20100122,AGN,160417,525807,Q,
20100125,AGN,50650,408828,Q,
20100126,AGN,25869,224962,Q,
20100127,AGN,60316,326652,Q,
20100128,AGN,66718,379346,Q,
20100129,AGN,95190,482141,Q,
20100201,AGN,110629,609691,Q,
20100202,AGN,131353,1119417,Q,
20100203,AGN,163505,791827,Q,
20100204,AGN,609045,1791272,Q,
20100205,AGN,417238,1272751,Q,
20100208,AGN,360681,790390,Q,
20100209,AGN,293306,685416,Q,
20100210,AGN,104673,344009,Q,
20100211,AGN,135175,336585,Q,
20100212,AGN,91565,286992,Q,
20100216,AGN,41661,283269,Q,
20100217,AGN,64668,206677,Q,
20100218,AGN,44258,166703,Q,
20100219,AGN,85164,217151,Q,
20100222,AGN,50355,292373,Q,
20100223,AGN,48603,302412,Q,
20100224,AGN,51896,163195,Q,
20100225,AGN,125894,316727,Q,
20100226,AGN,70150,288966,Q,
20100301,AGN,173855,480731,Q,
20100302,AGN,163466,556075,Q,
20100303,AGN,52384,194629,Q,
20100304,AGN,85620,274270,Q,
20100305,AGN,123191,455871,Q,
20100308,AGN,72701,321022,Q,
20100309,AGN,76234,238600,Q,
20100310,AGN,288796,761120,Q,
20100311,AGN,72201,495851,Q,
20100312,AGN,111781,393731,Q,
20100315,AGN,90663,241279,Q,
20100316,AGN,103961,266099,Q,
20100317,AGN,101482,323537,Q,
20100318,AGN,107553,255830,Q,
20100319,AGN,180346,607885,Q,
20100322,AGN,61256,160360,Q,
20100323,AGN,51597,256089,Q,
20100324,AGN,191302,455444,Q,
20100325,AGN,441419,781306,Q,
20100326,AGN,160340,408294,Q,
20100329,AGN,141818,517610,Q,
20100330,AGN,106401,374173,Q,
20100331,AGN,117059,535927,Q,
20100401,AGN,136861,321218,Q,
20100405,AGN,36125,284235,Q,
20100406,AGN,272953,1183432,Q,
20100407,AGN,82072,1028583,Q,
20100408,AGN,275910,697913,Q,
20100409,AGN,70470,342010,Q,
20100412,AGN,47125,229627,Q,
20100413,AGN,155527,445924,Q,
20100414,AGN,103628,452207,Q,
20100415,AGN,260220,796406,Q,
20100416,AGN,81437,644210,Q,
20100419,AGN,109280,477803,Q,
20100420,AGN,163880,718779,Q,
20100421,AGN,121772,598768,Q,
20100422,AGN,140669,589055,Q,
20100423,AGN,111642,419702,Q,
20100426,AGN,86098,329806,Q,
20100427,AGN,121147,430298,Q,
20100428,AGN,47313,241691,Q,
20100429,AGN,110474,376749,Q,
20100430,AGN,511731,1537400,Q,
20100503,AGN,131198,508894,Q,
20100504,AGN,107164,283505,Q,
20100510,AGN,177028,595280,Q,
20100511,AGN,149338,363458,Q,
20100512,AGN,103554,228519,Q,
20100513,AGN,116605,422345,Q,
20100517,AGN,278292,590749,Q,
20100518,AGN,287349,463276,Q,
20100519,AGN,152077,520869,Q,
20100520,AGN,342212,581144,Q,
20100521,AGN,283750,865484,Q,
20100524,AGN,158739,1106929,Q,
20100525,AGN,287248,673120,Q,
20100526,AGN,283003,664380,Q,
20100527,AGN,109527,321884,Q,
20100528,AGN,377743,634955,Q,
20100601,AGN,85091,350903,Q,
20100602,AGN,221414,690420,Q,
20100603,AGN,190165,465830,Q,
20100604,AGN,322789,668517,Q,
20100607,AGN,165708,316619,Q,
20100608,AGN,129660,1083209,Q,
20100609,AGN,108361,459007,Q,
20100610,AGN,101081,241179,Q,
20100611,AGN,128945,314317,Q,
20100614,AGN,161321,420369,Q,
20100615,AGN,203718,575276,Q,
20100616,AGN,130600,391984,Q,
20100617,AGN,85242,581794,Q,
20100618,AGN,62956,168326,Q,
20100621,AGN,82020,202117,Q,
20100622,AGN,142938,482341,Q,
20100623,AGN,174415,436393,Q,
20100624,AGN,135109,425242,Q,
20100625,AGN,63499,189396,Q,
20100628,AGN,46457,233372,Q,
20100629,AGN,138377,534430,Q,
20100630,AGN,187091,684578,Q,
20100701,AGN,452647,721291,Q,
20100702,AGN,1112903,4011973,Q,
20100706,AGN,329958,1246559,Q,
20100707,AGN,207088,636307,Q,
20100708,AGN,257356,1329557,Q,
20100709,AGN,225086,602790,Q,
20110804,AGN,336748,706644,,200.0
