,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,AHLpA,265,565,Q,
20100105,AHLpA,1000,1900,Q,
20100107,AHLpA,385,668,Q,
20100112,AHLpA,3403,7445,Q,
20100113,AHLpA,800,1900,Q,
20100114,AHLpA,650,2450,Q,
20100115,AHLpA,2425,5975,Q,
20100119,AHLpA,1000,5600,Q,
20100120,AHLpA,1800,7159,Q,
20100121,AHLpA,600,1634,Q,
20100122,AHLpA,2900,7700,Q,
20100125,AHLpA,1400,1600,Q,
20100126,AHLpA,800,5125,Q,
20100127,AHLpA,2550,4750,Q,
20100128,AHLpA,887,1087,Q,
20100129,AHLpA,450,850,Q,
20100201,AHLpA,1530,5442,Q,
20100202,AHLpA,100,100,Q,
20100203,AHLpA,1800,2800,Q,
20100204,AHLpA,1518,3400,Q,
20100205,AHLpA,1220,3084,Q,
20100208,AHLpA,2525,2925,Q,
20100209,AHLpA,300,900,Q,
20100210,AHLpA,400,1700,Q,
20100212,AHLpA,920,1520,Q,
20100216,AHLpA,1585,2885,Q,
20100217,AHLpA,2709,3509,Q,
20100218,AHLpA,1479,2041,Q,
20100219,AHLpA,3317,20713,Q,
20100222,AHLpA,400,4200,Q,
20100223,AHLpA,650,5300,Q,
20100224,AHLpA,970,3395,Q,
20100225,AHLpA,100,1675,Q,
20100226,AHLpA,1025,4186,Q,
20100301,AHLpA,2495,4395,Q,
20100302,AHLpA,1700,4554,Q,
20100303,AHLpA,400,2350,Q,
20100304,AHLpA,200,1400,Q,
20100305,AHLpA,511,1011,Q,
20100308,AHLpA,1400,2700,Q,
20100309,AHLpA,600,1200,Q,
20100310,AHLpA,715,1226,Q,
20100311,AHLpA,2500,3200,Q,
20100312,AHLpA,200,500,Q,
20100315,AHLpA,600,900,Q,
20100316,AHLpA,1950,2050,Q,
20100317,AHLpA,2250,2550,Q,
20100319,AHLpA,1300,3291,Q,
20100322,AHLpA,700,1425,Q,
20100323,AHLpA,150,2500,Q,
20100325,AHLpA,100,200,Q,
20100329,AHLpA,1500,4020,Q,
20100330,AHLpA,100,1075,Q,
20100331,AHLpA,1000,1300,Q,
20100401,AHLpA,1956,5056,Q,
20100405,AHLpA,2000,2991,Q,
20100406,AHLpA,4014,5645,Q,
20100407,AHLpA,2250,3080,Q,
20100408,AHLpA,500,2100,Q,
20100409,AHLpA,5633,8133,Q,
20100412,AHLpA,13165,14665,Q,
20100413,AHLpA,10080,16460,Q,
20100414,AHLpA,3450,5600,Q,
20100415,AHLpA,300,1200,Q,
20100416,AHLpA,2100,2350,Q,
20100419,AHLpA,2500,3944,Q,
20100420,AHLpA,3565,7615,Q,
20100421,AHLpA,2575,2975,Q,
20100422,AHLpA,3040,3340,Q,
20100423,AHLpA,5907,11636,Q,
20100426,AHLpA,1180,2797,Q,
20100427,AHLpA,2919,4469,Q,
20100428,AHLpA,1500,2377,Q,
20100429,AHLpA,1139,1834,Q,
20100430,AHLpA,350,1650,Q,
20100504,AHLpA,2300,2832,Q,
20100510,AHLpA,500,1000,Q,
20100512,AHLpA,569,869,Q,
20100513,AHLpA,200,100300,Q,
20100517,AHLpA,304,919,Q,
20100518,AHLpA,390,390,Q,
20100519,AHLpA,3160,3360,Q,
20100520,AHLpA,4040,9026,Q,
20100521,AHLpA,363,2463,Q,
20100524,AHLpA,737,1737,Q,
20100525,AHLpA,300,1500,Q,
20100526,AHLpA,425,3275,Q,
20100527,AHLpA,3621,11121,Q,
20100601,AHLpA,900,3400,Q,
20100602,AHLpA,200,200,Q,
20100603,AHLpA,1100,11610,Q,
20100604,AHLpA,1900,2576,Q,
20100607,AHLpA,500,775,Q,
20100609,AHLpA,200,4400,Q,
20100610,AHLpA,425,7525,Q,
20100611,AHLpA,987,6937,Q,
20100614,AHLpA,725,2029,Q,
20100615,AHLpA,819,62719,Q,
20100616,AHLpA,800,1525,Q,
20100617,AHLpA,100,200,Q,
20100618,AHLpA,2650,2750,Q,
20100621,AHLpA,250,750,Q,
20100622,AHLpA,637,737,Q,
20100623,AHLpA,500,752,Q,
20100624,AHLpA,400,4625,Q,
20100625,AHLpA,356,356,Q,
20100628,AHLpA,2087,3287,Q,
20100629,AHLpA,850,850,Q,
20100630,AHLpA,1277,5877,Q,
20100701,AHLpA,1412,2525,Q,
20100706,AHLpA,400,1868,Q,
20100707,AHLpA,1100,1500,Q,
20100708,AHLpA,600,1000,Q,
