,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,AKF,9077,17312,Q,
20100105,AKF,9627,24504,Q,
20100106,AKF,1260,24076,Q,
20100107,AKF,3100,9190,Q,
20100108,AKF,13582,20368,Q,
20100111,AKF,9274,13943,Q,
20100112,AKF,10300,16200,Q,
20100113,AKF,1450,12057,Q,
20100114,AKF,1100,7407,Q,
20100115,AKF,10793,20027,Q,
20100119,AKF,4200,6400,Q,
20100120,AKF,3107,7207,Q,
20100121,AKF,700,1000,Q,
20100122,AKF,600,2600,Q,
20100125,AKF,400,11494,Q,
20100126,AKF,4975,10097,Q,
20100127,AKF,2500,8164,Q,
20100128,AKF,1050,11705,Q,
20100129,AKF,1250,4653,Q,
20100201,AKF,1532,6232,Q,
20100202,AKF,12870,19251,Q,
20100203,AKF,5973,13400,Q,
20100204,AKF,8700,20819,Q,
20100205,AKF,10100,25450,Q,
20100208,AKF,1550,11347,Q,
20100209,AKF,1990,5690,Q,
20100210,AKF,11898,24298,Q,
20100212,AKF,400,1700,Q,
20100216,AKF,1675,2265,Q,
20100217,AKF,347,5747,Q,
20100218,AKF,3300,14200,Q,
20100219,AKF,1300,2765,Q,
20100222,AKF,886,1086,Q,
20100223,AKF,4845,11645,Q,
20100224,AKF,4050,6425,Q,
20100225,AKF,3565,5215,Q,
20100226,AKF,2400,3444,Q,
20100301,AKF,13065,24760,Q,
20100302,AKF,6000,7975,Q,
20100303,AKF,14370,24145,Q,
20100304,AKF,2200,20833,Q,
20100305,AKF,8495,20976,Q,
20100308,AKF,17239,28809,Q,
20100309,AKF,22979,37659,Q,
20100310,AKF,28139,44429,Q,
20100311,AKF,3500,17925,Q,
20100312,AKF,100,11552,Q,
20100315,AKF,7605,21861,Q,
20100316,AKF,9390,29536,Q,
20100317,AKF,5070,21255,Q,
20100318,AKF,6100,12900,Q,
20100319,AKF,2334,6934,Q,
20100322,AKF,208,1608,Q,
20100323,AKF,400,1800,Q,
20100324,AKF,7743,10461,Q,
20100325,AKF,44488,160027,Q,
20100326,AKF,10426,65949,Q,
20100329,AKF,12210,94005,Q,
20100330,AKF,14959,37489,Q,
20100331,AKF,17081,40122,Q,
20100401,AKF,4900,8387,Q,
20100405,AKF,10451,19623,Q,
20100406,AKF,5400,23266,Q,
20100407,AKF,6900,27530,Q,
20100408,AKF,414,10244,Q,
20100409,AKF,58692,225912,Q,
20100412,AKF,76299,179131,Q,
20100413,AKF,80861,231700,Q,
20100414,AKF,18290,66648,Q,
20100415,AKF,6850,56079,Q,
20100416,AKF,6500,17960,Q,
20100419,AKF,8375,25291,Q,
20100420,AKF,12807,40942,Q,
20100421,AKF,7100,18546,Q,
20100422,AKF,3292,18015,Q,
20100423,AKF,6960,17282,Q,
20100426,AKF,12130,25911,Q,
20100427,AKF,9545,43890,Q,
20100428,AKF,7129,23089,Q,
20100429,AKF,4300,15900,Q,
20100430,AKF,1600,5096,Q,
20100503,AKF,5000,19458,Q,
20100504,AKF,4600,16707,Q,
20100510,AKF,5154,17304,Q,
20100511,AKF,1450,10109,Q,
20100512,AKF,3810,7110,Q,
20100513,AKF,1750,6553,Q,
20100517,AKF,1575,12110,Q,
20100518,AKF,7744,30118,Q,
20100519,AKF,1400,11715,Q,
20100520,AKF,1300,10641,Q,
20100521,AKF,600,6525,Q,
20100524,AKF,6900,13500,Q,
20100525,AKF,297,5310,Q,
20100526,AKF,1160,10485,Q,
20100527,AKF,17400,74760,Q,
20100528,AKF,9610,21912,Q,
20100601,AKF,2000,14830,Q,
20100602,AKF,600,3320,Q,
20100603,AKF,300,5180,Q,
20100604,AKF,787,12813,Q,
20100607,AKF,600,11350,Q,
20100608,AKF,3775,33745,Q,
20100609,AKF,13355,74336,Q,
20100610,AKF,6061,33936,Q,
20100611,AKF,6900,26192,Q,
20100614,AKF,9100,29165,Q,
20100615,AKF,14280,27256,Q,
20100616,AKF,400,5701,Q,
20100617,AKF,163240,199810,Q,
20100618,AKF,20900,35240,Q,
20100623,AKF,3100,21222,Q,
20100624,AKF,1600,12714,Q,
20100628,AKF,500,6300,Q,
20100629,AKF,6675,24664,Q,
20100630,AKF,300,6027,Q,
20100701,AKF,2217,14974,Q,
20100702,AKF,7600,11832,Q,
20100706,AKF,9201,10822,Q,
20100707,AKF,3631,12085,Q,
20100708,AKF,9400,27758,Q,
20100709,AKF,10200,18650,Q,
