,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,AKT,5000,28621,Q,
20100105,AKT,8230,19430,Q,
20100106,AKT,9420,14435,Q,
20100107,AKT,13333,27508,Q,
20100108,AKT,12860,43901,Q,
20100111,AKT,12706,23020,Q,
20100112,AKT,14956,64568,Q,
20100113,AKT,16458,34391,Q,
20100114,AKT,13550,26352,Q,
20100115,AKT,3896,17010,Q,
20100119,AKT,4600,13478,Q,
20100120,AKT,4300,10557,Q,
20100121,AKT,1700,6750,Q,
20100122,AKT,5050,11317,Q,
20100125,AKT,6800,20100,Q,
20100126,AKT,2000,9898,Q,
20100127,AKT,1500,6800,Q,
20100128,AKT,5600,37700,Q,
20100129,AKT,4100,16343,Q,
20100201,AKT,8900,13274,Q,
20100202,AKT,11139,22574,Q,
20100203,AKT,9350,30540,Q,
20100204,AKT,2975,7205,Q,
20100205,AKT,5790,10708,Q,
20100208,AKT,10670,19436,Q,
20100209,AKT,4250,13150,Q,
20100210,AKT,4250,18650,Q,
20100211,AKT,2410,5160,Q,
20100212,AKT,1900,10736,Q,
20100216,AKT,10036,20386,Q,
20100217,AKT,3880,12591,Q,
20100218,AKT,10850,21645,Q,
20100219,AKT,8252,15324,Q,
20100222,AKT,7379,12559,Q,
20100223,AKT,16478,22953,Q,
20100224,AKT,21967,28067,Q,
20100225,AKT,6260,12810,Q,
20100226,AKT,11150,16180,Q,
20100301,AKT,20950,37681,Q,
20100302,AKT,9789,11738,Q,
20100303,AKT,19513,38773,Q,
20100304,AKT,15000,19550,Q,
20100305,AKT,18794,41299,Q,
20100308,AKT,16934,44200,Q,
20100309,AKT,16975,56417,Q,
20100310,AKT,19640,45026,Q,
20100311,AKT,7362,30911,Q,
20100312,AKT,1000,12332,Q,
20100315,AKT,2970,15633,Q,
20100316,AKT,5069,34953,Q,
20100317,AKT,3300,46084,Q,
20100318,AKT,200,7380,Q,
20100319,AKT,1456,6930,Q,
20100322,AKT,2133,8258,Q,
20100323,AKT,3500,13321,Q,
20100324,AKT,1750,9350,Q,
20100325,AKT,25620,154982,Q,
20100326,AKT,17590,105524,Q,
20100329,AKT,28160,132728,Q,
20100330,AKT,34150,66507,Q,
20100331,AKT,27477,54220,Q,
20100401,AKT,8748,21502,Q,
20100405,AKT,5220,15140,Q,
20100406,AKT,5150,8230,Q,
20100407,AKT,10269,19047,Q,
20100408,AKT,6450,30727,Q,
20100409,AKT,195522,424921,Q,
20100412,AKT,115286,208784,Q,
20100413,AKT,164661,364476,Q,
20100414,AKT,37012,120622,Q,
20100415,AKT,23215,61705,Q,
20100416,AKT,29553,67400,Q,
20100419,AKT,36313,54724,Q,
20100420,AKT,21251,44606,Q,
20100421,AKT,14649,44959,Q,
20100422,AKT,3380,13753,Q,
20100423,AKT,5000,26655,Q,
20100426,AKT,4900,42690,Q,
20100427,AKT,10450,29758,Q,
20100428,AKT,21156,33181,Q,
20100429,AKT,11650,23485,Q,
20100430,AKT,7200,24550,Q,
20100503,AKT,5000,20390,Q,
20100504,AKT,7200,12580,Q,
20100510,AKT,4900,12212,Q,
20100511,AKT,6978,9928,Q,
20100512,AKT,1951,11151,Q,
20100513,AKT,1800,8300,Q,
20100517,AKT,3299,10499,Q,
20100518,AKT,5442,24326,Q,
20100519,AKT,4300,9741,Q,
20100520,AKT,3675,14996,Q,
20100521,AKT,6037,10646,Q,
20100524,AKT,3000,8900,Q,
20100525,AKT,650,17180,Q,
20100526,AKT,1050,8969,Q,
20100527,AKT,25908,33675,Q,
20100528,AKT,7400,33980,Q,
20100601,AKT,2000,5740,Q,
20100602,AKT,483,12074,Q,
20100603,AKT,1300,4945,Q,
20100604,AKT,4565,29788,Q,
20100607,AKT,3500,12204,Q,
20100608,AKT,3692,22482,Q,
20100609,AKT,136575,316237,Q,
20100610,AKT,13110,84259,Q,
20100611,AKT,25100,68040,Q,
20100614,AKT,3475,22797,Q,
20100615,AKT,700,12925,Q,
20100616,AKT,200,1850,Q,
20100617,AKT,15500,25018,Q,
20100618,AKT,11800,20450,Q,
20100621,AKT,300,8702,Q,
20100622,AKT,2100,11070,Q,
20100623,AKT,14700,33210,Q,
20100624,AKT,2592,21424,Q,
20100625,AKT,650,7694,Q,
20100628,AKT,4800,15371,Q,
20100629,AKT,2500,16150,Q,
20100630,AKT,5617,13499,Q,
20100701,AKT,3298,14906,Q,
20100702,AKT,3400,12960,Q,
20100706,AKT,9480,26183,Q,
20100707,AKT,16138,28133,Q,
20100708,AKT,13100,29035,Q,
20100709,AKT,6363,21991,Q,
