,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,ALOG,7539,19372,Q,
20100105,ALOG,8549,28570,Q,
20100106,ALOG,11135,16410,Q,
20100107,ALOG,8594,24628,Q,
20100108,ALOG,86891,151230,Q,
20100111,ALOG,6191,21273,Q,
20100112,ALOG,5174,19776,Q,
20100113,ALOG,5000,27492,Q,
20100114,ALOG,12270,19066,Q,
20100115,ALOG,8728,20034,Q,
20100119,ALOG,1925,7592,Q,
20100120,ALOG,10089,25818,Q,
20100121,ALOG,11300,23822,Q,
20100122,ALOG,15770,35392,Q,
20100125,ALOG,3886,10087,Q,
20100126,ALOG,13799,62838,Q,
20100127,ALOG,10789,46278,Q,
20100128,ALOG,13410,33876,Q,
20100129,ALOG,10492,111274,Q,
20100201,ALOG,5100,12250,Q,
20100202,ALOG,6489,15150,Q,
20100203,ALOG,9105,19645,Q,
20100204,ALOG,9793,18171,Q,
20100205,ALOG,4582,15140,Q,
20100208,ALOG,5150,12765,Q,
20100209,ALOG,10821,18021,Q,
20100210,ALOG,800,3500,Q,
20100211,ALOG,3000,6157,Q,
20100212,ALOG,2510,7468,Q,
20100216,ALOG,2612,7546,Q,
20100217,ALOG,2856,4956,Q,
20100218,ALOG,1600,9513,Q,
20100219,ALOG,9579,18934,Q,
20100222,ALOG,3258,8231,Q,
20100223,ALOG,8670,12356,Q,
20100224,ALOG,1985,5791,Q,
20100225,ALOG,1134,5184,Q,
20100226,ALOG,4900,9865,Q,
20100301,ALOG,2931,8431,Q,
20100302,ALOG,3880,9002,Q,
20100303,ALOG,9632,19460,Q,
20100304,ALOG,1000,7015,Q,
20100305,ALOG,4798,9948,Q,
20100308,ALOG,2100,6422,Q,
20100309,ALOG,5442,20838,Q,
20100310,ALOG,23511,87453,Q,
20100311,ALOG,5200,23918,Q,
20100312,ALOG,4800,16128,Q,
20100315,ALOG,4800,11179,Q,
20100316,ALOG,3816,9466,Q,
20100317,ALOG,2182,8196,Q,
20100318,ALOG,3870,7529,Q,
20100319,ALOG,2000,13994,Q,
20100322,ALOG,2450,8048,Q,
20100323,ALOG,3564,16572,Q,
20100324,ALOG,3016,14379,Q,
20100325,ALOG,3110,8875,Q,
20100326,ALOG,11243,19409,Q,
20100329,ALOG,5024,10154,Q,
20100330,ALOG,7342,19292,Q,
20100331,ALOG,7000,15430,Q,
20100401,ALOG,7300,12200,Q,
20100405,ALOG,11899,30824,Q,
20100406,ALOG,7191,23011,Q,
20100407,ALOG,5842,12051,Q,
20100408,ALOG,7667,23590,Q,
20100409,ALOG,12803,72634,Q,
20100412,ALOG,5760,17989,Q,
20100413,ALOG,2476,5099,Q,
20100414,ALOG,1500,6453,Q,
20100415,ALOG,3516,35186,Q,
20100416,ALOG,11406,61059,Q,
20100419,ALOG,6435,15254,Q,
20100420,ALOG,3847,10128,Q,
20100421,ALOG,3990,22451,Q,
20100422,ALOG,6706,36682,Q,
20100423,ALOG,6079,9690,Q,
20100426,ALOG,31792,51172,Q,
20100427,ALOG,3450,10776,Q,
20100428,ALOG,6880,13525,Q,
20100429,ALOG,6790,16178,Q,
20100430,ALOG,17910,71246,Q,
20100503,ALOG,7578,14325,Q,
20100504,ALOG,8456,27820,Q,
20100510,ALOG,3821,25088,Q,
20100511,ALOG,3700,9930,Q,
20100512,ALOG,4197,7197,Q,
20100513,ALOG,5671,15944,Q,
20100517,ALOG,13035,21956,Q,
20100518,ALOG,6100,10700,Q,
20100519,ALOG,1100,4800,Q,
20100520,ALOG,11400,15330,Q,
20100521,ALOG,17732,25803,Q,
20100524,ALOG,8115,13902,Q,
20100525,ALOG,8308,14552,Q,
20100526,ALOG,6400,15400,Q,
20100527,ALOG,4444,10817,Q,
20100528,ALOG,1000,6819,Q,
20100601,ALOG,2800,9401,Q,
20100602,ALOG,2428,10283,Q,
20100603,ALOG,1280,3485,Q,
20100604,ALOG,11885,31773,Q,
20100607,ALOG,8382,20272,Q,
20100608,ALOG,8035,16867,Q,
20100609,ALOG,14085,25709,Q,
20100610,ALOG,19995,32146,Q,
20100611,ALOG,8800,23767,Q,
20100614,ALOG,8667,15662,Q,
20100615,ALOG,25021,65507,Q,
20100616,ALOG,1075,38883,Q,
20100617,ALOG,3100,9100,Q,
20100618,ALOG,5099,17050,Q,
20100621,ALOG,2892,5786,Q,
20100622,ALOG,1600,6323,Q,
20100623,ALOG,1300,4299,Q,
20100624,ALOG,2300,5710,Q,
20100625,ALOG,7198,11987,Q,
20100628,ALOG,2461,4555,Q,
20100629,ALOG,5606,24945,Q,
20100630,ALOG,3200,8373,Q,
20100701,ALOG,3702,8551,Q,
20100702,ALOG,824,6190,Q,
20100706,ALOG,1574,10874,Q,
20100707,ALOG,1019,14336,Q,
20100708,ALOG,800,15269,Q,
20100709,ALOG,636,3636,Q,
20110804,ALOG,4700,8840,,0.0
