,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,ALU,1797538,4794985,Q,
20100105,ALU,1802303,3751405,Q,
20100106,ALU,1535538,3390755,Q,
20100107,ALU,2755635,5044281,Q,
20100108,ALU,1777949,3161229,Q,
20100111,ALU,1038081,2165745,Q,
20100112,ALU,1107200,2661527,Q,
20100113,ALU,1315074,2662343,Q,
20100114,ALU,3864988,6156573,Q,
20100115,ALU,2931354,4976141,Q,
20100119,ALU,1569929,3306407,Q,
20100120,ALU,1838961,3797807,Q,
20100121,ALU,2270491,5089861,Q,
20100122,ALU,1588360,3788307,Q,
20100125,ALU,2464259,4674776,Q,
20100126,ALU,933623,1945580,Q,
20100127,ALU,1507744,2860623,Q,
20100128,ALU,2884840,5834229,Q,
20100129,ALU,1833525,3487455,Q,
20100201,ALU,1292416,2649174,Q,
20100202,ALU,2110787,4169990,Q,
20100203,ALU,2455165,3872900,Q,
20100204,ALU,1268880,4427501,Q,
20100205,ALU,3417204,7338178,Q,
20100208,ALU,2837287,4705050,Q,
20100209,ALU,2445744,4148037,Q,
20100210,ALU,2010150,3988230,Q,
20100211,ALU,6845002,25714321,Q,
20100212,ALU,4773875,11329488,Q,
20100216,ALU,2544811,7516557,Q,
20100217,ALU,3093748,10225870,Q,
20100218,ALU,5353840,12707568,Q,
20100219,ALU,2134919,4302728,Q,
20100222,ALU,4822939,7761010,Q,
20100223,ALU,4610628,10414069,Q,
20100224,ALU,1590510,3563166,Q,
20100225,ALU,1982717,3842423,Q,
20100226,ALU,1562159,5432715,Q,
20100301,ALU,2688297,5264901,Q,
20100302,ALU,2181111,4600844,Q,
20100303,ALU,3761323,5623048,Q,
20100304,ALU,4960692,8747301,Q,
20100305,ALU,2292271,8722629,Q,
20100308,ALU,1077996,4832276,Q,
20100309,ALU,2986710,5340502,Q,
20100310,ALU,3580551,9190421,Q,
20100311,ALU,6023273,7115200,Q,
20100312,ALU,2118402,4606097,Q,
20100315,ALU,533226,1236602,Q,
20100316,ALU,1739548,2995826,Q,
20100317,ALU,2335109,5811587,Q,
20100318,ALU,2468545,5979072,Q,
20100319,ALU,2395186,5289457,Q,
20100322,ALU,1111528,2897710,Q,
20100323,ALU,2928482,4748146,Q,
20100324,ALU,2315273,4237008,Q,
20100325,ALU,1722298,3377822,Q,
20100326,ALU,970194,2612120,Q,
20100329,ALU,801820,2149328,Q,
20100330,ALU,2834070,11731834,Q,
20100331,ALU,2405791,10591393,Q,
20100401,ALU,1048370,4402571,Q,
20100405,ALU,1057552,2308985,Q,
20100406,ALU,4290224,12861798,Q,
20100407,ALU,3532250,7992951,Q,
20100408,ALU,1562032,3082721,Q,
20100409,ALU,725456,2840029,Q,
20100412,ALU,4365213,7752060,Q,
20100413,ALU,2826786,4904820,Q,
20100414,ALU,1590801,4161490,Q,
20100415,ALU,3016132,5063707,Q,
20100416,ALU,2439302,5150217,Q,
20100419,ALU,4236205,9981678,Q,
20100420,ALU,626009,1713338,Q,
20100421,ALU,1639616,3509736,Q,
20100422,ALU,1429930,2496049,Q,
20100423,ALU,2295737,5386914,Q,
20100426,ALU,917112,2383317,Q,
20100427,ALU,3631956,7122971,Q,
20100428,ALU,3907338,9293429,Q,
20100429,ALU,6713508,9934238,Q,
20100430,ALU,1844224,6216797,Q,
20100503,ALU,2773797,5018076,Q,
20100504,ALU,3469108,7280079,Q,
20100510,ALU,3179099,11117422,Q,
20100511,ALU,3821451,7166013,Q,
20100512,ALU,2669884,4611282,Q,
20100513,ALU,1594766,3065620,Q,
20100517,ALU,2303670,4232284,Q,
20100518,ALU,5215398,7980015,Q,
20100519,ALU,3157655,6787593,Q,
20100520,ALU,6093954,10318575,Q,
20100521,ALU,4185463,9002770,Q,
20100524,ALU,2008579,3862192,Q,
20100525,ALU,6419075,9700640,Q,
20100526,ALU,3377002,8672590,Q,
20100527,ALU,7705494,15847772,Q,
20100528,ALU,2680241,5847745,Q,
20100601,ALU,2822463,5417691,Q,
20100602,ALU,1725887,3391025,Q,
20100603,ALU,2597617,4077332,Q,
20100604,ALU,3510751,5457157,Q,
20100607,ALU,2256038,4007062,Q,
20100608,ALU,3700944,5751658,Q,
20100609,ALU,2513532,4052927,Q,
20100610,ALU,3732866,6555324,Q,
20100611,ALU,3461953,4700255,Q,
20100614,ALU,3543188,5520757,Q,
20100615,ALU,4465834,6710586,Q,
20100616,ALU,1037445,3961499,Q,
20100617,ALU,1725286,2737836,Q,
20100618,ALU,974212,1881378,Q,
20100621,ALU,1880028,3716241,Q,
20100622,ALU,1433904,2415304,Q,
20100623,ALU,967706,3735664,Q,
20100624,ALU,1314049,4036427,Q,
20100625,ALU,860342,2761997,Q,
20100628,ALU,849457,1926817,Q,
20100629,ALU,1646507,2856403,Q,
20100630,ALU,2055439,3327615,Q,
20100701,ALU,1635108,4939580,Q,
20100702,ALU,1750697,2681103,Q,
20100706,ALU,1147804,2417537,Q,
20100707,ALU,1864045,2927072,Q,
20100708,ALU,1889415,3898360,Q,
20100709,ALU,1109675,2089131,Q,
20110804,ALU,3352251,9484210,,91124.0
