,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,ALVR,37379,143782,Q,
20100105,ALVR,52711,141967,Q,
20100106,ALVR,38051,92948,Q,
20100107,ALVR,19587,89453,Q,
20100108,ALVR,10636,49153,Q,
20100111,ALVR,23575,96154,Q,
20100112,ALVR,12400,64428,Q,
20100113,ALVR,11786,59993,Q,
20100114,ALVR,2732,43273,Q,
20100115,ALVR,15004,56223,Q,
20100119,ALVR,5483,43246,Q,
20100120,ALVR,16320,70652,Q,
20100121,ALVR,14374,62002,Q,
20100122,ALVR,54015,139933,Q,
20100125,ALVR,92995,228324,Q,
20100126,ALVR,80586,118251,Q,
20100127,ALVR,75666,189027,Q,
20100128,ALVR,43705,146089,Q,
20100129,ALVR,32095,118578,Q,
20100201,ALVR,88231,240766,Q,
20100202,ALVR,118659,303786,Q,
20100203,ALVR,212212,799471,Q,
20100204,ALVR,119952,344861,Q,
20100205,ALVR,118290,230691,Q,
20100208,ALVR,224607,316233,Q,
20100209,ALVR,123153,248323,Q,
20100210,ALVR,81324,161848,Q,
20100211,ALVR,70592,124483,Q,
20100212,ALVR,27979,69619,Q,
20100216,ALVR,107813,290953,Q,
20100217,ALVR,54624,148968,Q,
20100218,ALVR,36306,81878,Q,
20100219,ALVR,10500,70256,Q,
20100222,ALVR,21700,68743,Q,
20100223,ALVR,33059,100886,Q,
20100224,ALVR,62218,125395,Q,
20100225,ALVR,39550,175564,Q,
20100226,ALVR,60566,116805,Q,
20100301,ALVR,59708,143755,Q,
20100302,ALVR,55633,164524,Q,
20100303,ALVR,40213,153769,Q,
20100304,ALVR,27512,53577,Q,
20100305,ALVR,45715,130978,Q,
20100308,ALVR,70711,179122,Q,
20100309,ALVR,72466,185297,Q,
20100310,ALVR,24158,113576,Q,
20100311,ALVR,26600,123807,Q,
20100312,ALVR,26525,163841,Q,
20100315,ALVR,10250,44422,Q,
20100316,ALVR,17487,109656,Q,
20100317,ALVR,32472,136988,Q,
20100318,ALVR,11208,80498,Q,
20100319,ALVR,35032,110883,Q,
20100322,ALVR,20720,108227,Q,
20100323,ALVR,34226,129611,Q,
20100324,ALVR,62820,254680,Q,
20100325,ALVR,214010,481110,Q,
20100326,ALVR,69460,164350,Q,
20100329,ALVR,74890,114355,Q,
20100330,ALVR,34913,81443,Q,
20100331,ALVR,25825,97374,Q,
20100401,ALVR,53596,180267,Q,
20100405,ALVR,37489,144424,Q,
20100406,ALVR,20359,69988,Q,
20100407,ALVR,25707,126633,Q,
20100408,ALVR,24340,85743,Q,
20100409,ALVR,51701,131170,Q,
20100412,ALVR,35726,117925,Q,
20100413,ALVR,50727,130135,Q,
20100414,ALVR,102677,239962,Q,
20100415,ALVR,33240,139651,Q,
20100416,ALVR,39770,203435,Q,
20100419,ALVR,29923,106522,Q,
20100420,ALVR,31216,69308,Q,
20100421,ALVR,49823,84405,Q,
20100422,ALVR,49068,86026,Q,
20100423,ALVR,15542,59707,Q,
20100426,ALVR,30834,78759,Q,
20100427,ALVR,17629,96794,Q,
20100428,ALVR,27141,119812,Q,
20100429,ALVR,35555,125062,Q,
20100430,ALVR,44104,162666,Q,
20100503,ALVR,74891,273975,Q,
20100504,ALVR,427856,1646377,Q,
20100510,ALVR,99627,322162,Q,
20100511,ALVR,27167,179899,Q,
20100512,ALVR,69793,200605,Q,
20100513,ALVR,44529,199797,Q,
20100517,ALVR,140961,620879,Q,
20100518,ALVR,59573,302270,Q,
20100519,ALVR,190613,725987,Q,
20100520,ALVR,144064,539777,Q,
20100521,ALVR,66043,186255,Q,
20100524,ALVR,67686,264980,Q,
20100525,ALVR,71710,260406,Q,
20100526,ALVR,97294,449375,Q,
20100527,ALVR,50584,363588,Q,
20100528,ALVR,49637,216729,Q,
20100601,ALVR,29861,203015,Q,
20100602,ALVR,51931,246118,Q,
20100603,ALVR,39371,184640,Q,
20100604,ALVR,41316,184542,Q,
20100607,ALVR,42653,186273,Q,
20100608,ALVR,54410,195392,Q,
20100609,ALVR,25063,126324,Q,
20100610,ALVR,29819,108946,Q,
20100611,ALVR,59111,198753,Q,
20100614,ALVR,63129,276690,Q,
20100615,ALVR,64703,145107,Q,
20100616,ALVR,39471,145825,Q,
20100617,ALVR,13502,99943,Q,
20100618,ALVR,15122,64799,Q,
20100621,ALVR,25532,67500,Q,
20100622,ALVR,7897,45198,Q,
20100623,ALVR,54785,172610,Q,
20100624,ALVR,118719,173768,Q,
20100625,ALVR,38891,119621,Q,
20100628,ALVR,78007,186741,Q,
20100629,ALVR,117875,291654,Q,
20100630,ALVR,23104,161734,Q,
20100701,ALVR,120929,427614,Q,
20100702,ALVR,41011,97341,Q,
20100706,ALVR,131978,359557,Q,
20100707,ALVR,81475,339331,Q,
20100708,ALVR,73819,223228,Q,
20100709,ALVR,62799,291744,Q,
20110804,ALVR,51006,132461,,0.0
