,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,ALXA,15100,55478,Q,
20100105,ALXA,14770,37168,Q,
20100106,ALXA,9950,47800,Q,
20100107,ALXA,58936,90435,Q,
20100108,ALXA,37572,48680,Q,
20100111,ALXA,16411,28752,Q,
20100112,ALXA,14665,43436,Q,
20100113,ALXA,10238,21175,Q,
20100114,ALXA,7655,30677,Q,
20100115,ALXA,6800,16959,Q,
20100119,ALXA,24481,45480,Q,
20100120,ALXA,8600,56878,Q,
20100121,ALXA,34700,56061,Q,
20100122,ALXA,21822,35372,Q,
20100125,ALXA,14589,23251,Q,
20100126,ALXA,6651,195943,Q,
20100127,ALXA,17624,199810,Q,
20100128,ALXA,1846,9046,Q,
20100129,ALXA,1200,12560,Q,
20100201,ALXA,25462,32233,Q,
20100202,ALXA,13178,26893,Q,
20100203,ALXA,18345,34879,Q,
20100204,ALXA,10700,36697,Q,
20100205,ALXA,5450,22082,Q,
20100208,ALXA,8937,33526,Q,
20100209,ALXA,3310,9700,Q,
20100210,ALXA,337128,694005,Q,
20100211,ALXA,114445,323588,Q,
20100212,ALXA,15716,48622,Q,
20100216,ALXA,12198,45558,Q,
20100217,ALXA,21869,35333,Q,
20100218,ALXA,10527,28833,Q,
20100219,ALXA,26947,35251,Q,
20100222,ALXA,21798,86461,Q,
20100223,ALXA,4336,10536,Q,
20100224,ALXA,8950,20750,Q,
20100225,ALXA,25288,44847,Q,
20100226,ALXA,23008,42846,Q,
20100301,ALXA,31748,77133,Q,
20100302,ALXA,41481,78594,Q,
20100303,ALXA,34773,64927,Q,
20100304,ALXA,19458,38732,Q,
20100305,ALXA,4700,22370,Q,
20100308,ALXA,8144,15834,Q,
20100309,ALXA,53073,163743,Q,
20100310,ALXA,17152,35298,Q,
20100311,ALXA,14234,29532,Q,
20100312,ALXA,4674,47723,Q,
20100315,ALXA,44197,90396,Q,
20100316,ALXA,17402,36777,Q,
20100317,ALXA,11869,267070,Q,
20100318,ALXA,5060,17517,Q,
20100319,ALXA,14266,32298,Q,
20100322,ALXA,14933,23683,Q,
20100323,ALXA,3475,14695,Q,
20100324,ALXA,2700,11579,Q,
20100325,ALXA,7149,14964,Q,
20100326,ALXA,20556,35775,Q,
20100329,ALXA,7650,16537,Q,
20100331,ALXA,4764,30885,Q,
20100401,ALXA,2843,21101,Q,
20100405,ALXA,10879,47511,Q,
20100406,ALXA,58527,124635,Q,
20100407,ALXA,822,19565,Q,
20100408,ALXA,3825,20924,Q,
20100409,ALXA,16010,45542,Q,
20100412,ALXA,9394,49343,Q,
20100413,ALXA,2600,24228,Q,
20100414,ALXA,18242,47728,Q,
20100415,ALXA,41190,87601,Q,
20100416,ALXA,30931,82739,Q,
20100419,ALXA,7850,47625,Q,
20100420,ALXA,23046,38835,Q,
20100421,ALXA,15760,46675,Q,
20100422,ALXA,11205,32585,Q,
20100423,ALXA,14000,29396,Q,
20100426,ALXA,49855,77729,Q,
20100427,ALXA,18200,41827,Q,
20100428,ALXA,8225,53183,Q,
20100429,ALXA,12758,27155,Q,
20100430,ALXA,24075,66502,Q,
20100503,ALXA,22474,106883,Q,
20100504,ALXA,43182,117825,Q,
20100510,ALXA,26410,51012,Q,
20100511,ALXA,36871,63982,Q,
20100512,ALXA,132530,269402,Q,
20100513,ALXA,90853,260597,Q,
20100517,ALXA,76489,185679,Q,
20100518,ALXA,29496,176562,Q,
20100519,ALXA,42218,130137,Q,
20100520,ALXA,35080,164685,Q,
20100521,ALXA,39936,184297,Q,
20100524,ALXA,9879,57246,Q,
20100525,ALXA,35182,134970,Q,
20100526,ALXA,21922,95426,Q,
20100527,ALXA,22321,148740,Q,
20100528,ALXA,73946,173658,Q,
20100601,ALXA,19874,68406,Q,
20100602,ALXA,8774,35408,Q,
20100603,ALXA,11708,39970,Q,
20100604,ALXA,19252,68387,Q,
20100607,ALXA,16552,75903,Q,
20100608,ALXA,20326,52837,Q,
20100609,ALXA,7418,31722,Q,
20100610,ALXA,16300,87663,Q,
20100611,ALXA,5634,38486,Q,
20100614,ALXA,3467,45586,Q,
20100615,ALXA,9227,38033,Q,
20100616,ALXA,1480,18242,Q,
20100617,ALXA,4214,24066,Q,
20100618,ALXA,6800,35077,Q,
20100621,ALXA,15323,42020,Q,
20100622,ALXA,38112,70520,Q,
20100623,ALXA,15200,72651,Q,
20100624,ALXA,46731,88827,Q,
20100625,ALXA,79924,220230,Q,
20100628,ALXA,70911,100248,Q,
20100629,ALXA,64997,120528,Q,
20100630,ALXA,36810,90382,Q,
20100701,ALXA,34463,90452,Q,
20100702,ALXA,24168,83052,Q,
20100706,ALXA,17104,47687,Q,
20100707,ALXA,11458,34544,Q,
20100708,ALXA,23439,55855,Q,
20100709,ALXA,22241,52240,Q,
20110804,ALXA,95756,414422,,0.0
