,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,AMRI,8000,14865,Q,
20100105,AMRI,1900,9057,Q,
20100106,AMRI,1200,4598,Q,
20100107,AMRI,12616,50115,Q,
20100108,AMRI,7300,22330,Q,
20100111,AMRI,3043,8543,Q,
20100112,AMRI,2700,9515,Q,
20100113,AMRI,6386,12625,Q,
20100114,AMRI,1470,12479,Q,
20100115,AMRI,4714,8975,Q,
20100119,AMRI,8000,40259,Q,
20100120,AMRI,2700,5500,Q,
20100121,AMRI,6575,13454,Q,
20100122,AMRI,20814,35454,Q,
20100125,AMRI,2133,5384,Q,
20100126,AMRI,1900,5706,Q,
20100127,AMRI,3062,9655,Q,
20100128,AMRI,6059,21478,Q,
20100129,AMRI,6100,11056,Q,
20100201,AMRI,22999,30385,Q,
20100202,AMRI,5822,14846,Q,
20100203,AMRI,10664,18742,Q,
20100204,AMRI,13916,28072,Q,
20100205,AMRI,4000,24340,Q,
20100208,AMRI,18700,39967,Q,
20100209,AMRI,29769,109776,Q,
20100210,AMRI,4971,25811,Q,
20100211,AMRI,4500,11700,Q,
20100212,AMRI,1500,8286,Q,
20100216,AMRI,8539,20677,Q,
20100217,AMRI,3400,7380,Q,
20100218,AMRI,3500,5500,Q,
20100219,AMRI,4857,7241,Q,
20100222,AMRI,2392,5380,Q,
20100223,AMRI,5378,8229,Q,
20100224,AMRI,3500,8800,Q,
20100225,AMRI,3400,7790,Q,
20100226,AMRI,1299,3979,Q,
20100301,AMRI,9795,15692,Q,
20100302,AMRI,5615,12758,Q,
20100303,AMRI,2373,5683,Q,
20100304,AMRI,2792,5799,Q,
20100305,AMRI,1810,14093,Q,
20100308,AMRI,600,25013,Q,
20100309,AMRI,3057,21940,Q,
20100310,AMRI,950,16212,Q,
20100311,AMRI,100,3862,Q,
20100312,AMRI,200,28193,Q,
20100315,AMRI,600,3524,Q,
20100316,AMRI,200,21689,Q,
20100317,AMRI,1232,19779,Q,
20100318,AMRI,300,8221,Q,
20100319,AMRI,1500,19300,Q,
20100322,AMRI,2973,17254,Q,
20100323,AMRI,1788,7097,Q,
20100324,AMRI,6473,14556,Q,
20100325,AMRI,6000,28030,Q,
20100326,AMRI,4394,10453,Q,
20100329,AMRI,6858,26292,Q,
20100330,AMRI,1900,19000,Q,
20100331,AMRI,2398,14557,Q,
20100401,AMRI,4700,9800,Q,
20100405,AMRI,1790,7492,Q,
20100406,AMRI,6489,19233,Q,
20100407,AMRI,2294,27442,Q,
20100408,AMRI,1500,8150,Q,
20100409,AMRI,3563,22998,Q,
20100412,AMRI,10743,24535,Q,
20100413,AMRI,5256,13591,Q,
20100414,AMRI,13564,36938,Q,
20100415,AMRI,4405,13267,Q,
20100416,AMRI,5648,9946,Q,
20100419,AMRI,6006,17276,Q,
20100420,AMRI,2158,8732,Q,
20100421,AMRI,3533,9025,Q,
20100422,AMRI,11008,20781,Q,
20100423,AMRI,2000,17907,Q,
20100426,AMRI,3641,14641,Q,
20100427,AMRI,14911,59125,Q,
20100428,AMRI,1900,7676,Q,
20100429,AMRI,7447,18052,Q,
20100430,AMRI,5215,14447,Q,
20100503,AMRI,4534,22429,Q,
20100504,AMRI,6873,35934,Q,
20100510,AMRI,9988,23904,Q,
20100511,AMRI,3700,18485,Q,
20100512,AMRI,4300,14719,Q,
20100513,AMRI,8200,15345,Q,
20100517,AMRI,5435,10407,Q,
20100518,AMRI,4199,11014,Q,
20100519,AMRI,6607,22583,Q,
20100520,AMRI,21612,38180,Q,
20100521,AMRI,12423,28808,Q,
20100524,AMRI,11799,28635,Q,
20100525,AMRI,7298,28602,Q,
20100526,AMRI,6564,16701,Q,
20100527,AMRI,11835,15814,Q,
20100528,AMRI,9501,21976,Q,
20100601,AMRI,10924,15754,Q,
20100602,AMRI,25506,85180,Q,
20100603,AMRI,12085,20679,Q,
20100604,AMRI,12323,35422,Q,
20100607,AMRI,5741,12305,Q,
20100608,AMRI,400,12200,Q,
20100609,AMRI,10126,21676,Q,
20100610,AMRI,4578,12075,Q,
20100611,AMRI,3523,14437,Q,
20100614,AMRI,6723,20920,Q,
20100615,AMRI,10194,26302,Q,
20100616,AMRI,13292,26600,Q,
20100617,AMRI,11338,36058,Q,
20100618,AMRI,56816,98092,Q,
20100621,AMRI,37283,52902,Q,
20100622,AMRI,26586,52871,Q,
20100623,AMRI,9270,22813,Q,
20100624,AMRI,8634,34801,Q,
20100625,AMRI,19232,51647,Q,
20100628,AMRI,14865,85666,Q,
20100629,AMRI,11122,37232,Q,
20100630,AMRI,13693,41398,Q,
20100701,AMRI,11007,45761,Q,
20100702,AMRI,11145,95953,Q,
20100706,AMRI,21258,85370,Q,
20100707,AMRI,9037,40552,Q,
20100708,AMRI,7633,50372,Q,
20100709,AMRI,7879,54570,Q,
20110804,AMRI,2597,8535,,0.0
