,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100107,ANHpA,615,2463,Q,
20100111,ANHpA,400,1300,Q,
20100114,ANHpA,300,1300,Q,
20100115,ANHpA,755,755,Q,
20100119,ANHpA,500,1000,Q,
20100120,ANHpA,309,1109,Q,
20100121,ANHpA,2142,3544,Q,
20100122,ANHpA,210,210,Q,
20100125,ANHpA,100,205,Q,
20100126,ANHpA,194,994,Q,
20100129,ANHpA,2814,3414,Q,
20100201,ANHpA,1300,3959,Q,
20100202,ANHpA,3519,3809,Q,
20100203,ANHpA,300,400,Q,
20100204,ANHpA,402,699,Q,
20100205,ANHpA,2900,3634,Q,
20100208,ANHpA,505,505,Q,
20100212,ANHpA,811,811,Q,
20100216,ANHpA,200,1972,Q,
20100217,ANHpA,1200,2100,Q,
20100218,ANHpA,400,400,Q,
20100219,ANHpA,160,760,Q,
20100223,ANHpA,1000,3275,Q,
20100224,ANHpA,200,865,Q,
20100225,ANHpA,400,1500,Q,
20100226,ANHpA,2710,2710,Q,
20100301,ANHpA,1100,1443,Q,
20100302,ANHpA,500,700,Q,
20100304,ANHpA,2100,3700,Q,
20100311,ANHpA,205,205,Q,
20100312,ANHpA,200,200,Q,
20100316,ANHpA,100,100,Q,
20100319,ANHpA,1100,2100,Q,
20100323,ANHpA,484,484,Q,
20100325,ANHpA,200,800,Q,
20100326,ANHpA,4639,4639,Q,
20100329,ANHpA,2289,2889,Q,
20100330,ANHpA,700,700,Q,
20100331,ANHpA,700,700,Q,
20100401,ANHpA,936,936,Q,
20100405,ANHpA,200,400,Q,
20100406,ANHpA,1200,2850,Q,
20100407,ANHpA,110,1410,Q,
20100408,ANHpA,455,455,Q,
20100409,ANHpA,800,4355,Q,
20100412,ANHpA,1199,2199,Q,
20100413,ANHpA,285,685,Q,
20100414,ANHpA,200,331,Q,
20100415,ANHpA,456,456,Q,
20100416,ANHpA,895,1595,Q,
20100419,ANHpA,2720,3770,Q,
20100420,ANHpA,3400,3700,Q,
20100421,ANHpA,702,1000,Q,
20100422,ANHpA,1200,1300,Q,
20100423,ANHpA,335,2448,Q,
20100426,ANHpA,600,1050,Q,
20100427,ANHpA,200,300,Q,
20100430,ANHpA,1200,1400,Q,
20100511,ANHpA,457,457,Q,
20100512,ANHpA,105,229,Q,
20100517,ANHpA,100,300,Q,
20100518,ANHpA,410,910,Q,
20100519,ANHpA,2300,6600,Q,
20100524,ANHpA,205,505,Q,
20100525,ANHpA,700,2000,Q,
20100526,ANHpA,2000,4200,Q,
20100527,ANHpA,210,210,Q,
20100528,ANHpA,880,2340,Q,
20100601,ANHpA,100,100,Q,
20100602,ANHpA,2900,3120,Q,
20100603,ANHpA,200,200,Q,
20100604,ANHpA,2600,7700,Q,
20100607,ANHpA,2600,5000,Q,
20100608,ANHpA,457,657,Q,
20100609,ANHpA,300,2206,Q,
20100610,ANHpA,100,300,Q,
20100611,ANHpA,600,1430,Q,
20100614,ANHpA,700,2370,Q,
20100615,ANHpA,100,1090,Q,
20100617,ANHpA,200,900,Q,
20100618,ANHpA,3715,7815,Q,
20100622,ANHpA,313,416,Q,
20100624,ANHpA,1155,2355,Q,
20100625,ANHpA,2960,4060,Q,
20100628,ANHpA,1300,2785,Q,
20100706,ANHpA,2900,2900,Q,
20100708,ANHpA,4400,5300,Q,
20100709,ANHpA,200,200,Q,
