,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,ANN,316938,733875,Q,
20100105,ANN,326656,983389,Q,
20100106,ANN,210695,950765,Q,
20100107,ANN,385053,875949,Q,
20100108,ANN,300496,569720,Q,
20100111,ANN,221667,557313,Q,
20100112,ANN,279281,444815,Q,
20100113,ANN,86495,354581,Q,
20100114,ANN,217667,487380,Q,
20100115,ANN,212853,372773,Q,
20100119,ANN,80804,256070,Q,
20100120,ANN,155335,356827,Q,
20100121,ANN,247666,453293,Q,
20100122,ANN,223066,590074,Q,
20100125,ANN,226461,600780,Q,
20100126,ANN,305005,519204,Q,
20100127,ANN,122379,266933,Q,
20100128,ANN,163354,253352,Q,
20100129,ANN,207705,466183,Q,
20100201,ANN,364019,963058,Q,
20100202,ANN,1785709,3902814,Q,
20100203,ANN,641384,920020,Q,
20100204,ANN,304892,595917,Q,
20100205,ANN,540771,765151,Q,
20100208,ANN,204238,407335,Q,
20100209,ANN,214183,476981,Q,
20100210,ANN,126280,450587,Q,
20100211,ANN,120720,414327,Q,
20100212,ANN,97072,337880,Q,
20100216,ANN,84067,314810,Q,
20100217,ANN,242946,435802,Q,
20100218,ANN,37534,253056,Q,
20100219,ANN,59501,160250,Q,
20100222,ANN,298566,691250,Q,
20100223,ANN,166664,290075,Q,
20100224,ANN,187345,431881,Q,
20100225,ANN,325711,522772,Q,
20100226,ANN,823239,1396630,Q,
20100301,ANN,405076,864314,Q,
20100302,ANN,545263,1039374,Q,
20100303,ANN,304147,1040920,Q,
20100304,ANN,195496,337235,Q,
20100305,ANN,241253,614528,Q,
20100308,ANN,158477,337243,Q,
20100309,ANN,234358,493578,Q,
20100310,ANN,170703,539277,Q,
20100311,ANN,332692,944580,Q,
20100312,ANN,697466,1388127,Q,
20100315,ANN,255001,542031,Q,
20100316,ANN,480185,794486,Q,
20100317,ANN,263285,488626,Q,
20100318,ANN,246221,564930,Q,
20100319,ANN,168660,360052,Q,
20100322,ANN,237213,461384,Q,
20100323,ANN,112288,371123,Q,
20100324,ANN,127757,306869,Q,
20100325,ANN,82017,383190,Q,
20100326,ANN,253744,622752,Q,
20100329,ANN,138693,409597,Q,
20100330,ANN,77998,432791,Q,
20100331,ANN,86556,326498,Q,
20100401,ANN,216801,483730,Q,
20100405,ANN,136191,439439,Q,
20100406,ANN,131810,403866,Q,
20100407,ANN,403762,872810,Q,
20100408,ANN,226335,765433,Q,
20100409,ANN,110307,484005,Q,
20100412,ANN,245131,1067694,Q,
20100413,ANN,162134,557577,Q,
20100414,ANN,639801,1460917,Q,
20100415,ANN,178066,448864,Q,
20100416,ANN,139946,357459,Q,
20100419,ANN,173274,515778,Q,
20100420,ANN,138029,325209,Q,
20100421,ANN,192675,475651,Q,
20100422,ANN,251622,538599,Q,
20100423,ANN,217788,436698,Q,
20100426,ANN,191664,552385,Q,
20100427,ANN,206170,359353,Q,
20100428,ANN,266043,466084,Q,
20100429,ANN,92010,392355,Q,
20100430,ANN,262231,602698,Q,
20100503,ANN,152397,943201,Q,
20100504,ANN,900263,2033118,Q,
20100510,ANN,135838,361956,Q,
20100511,ANN,132625,351948,Q,
20100512,ANN,119972,224426,Q,
20100513,ANN,192529,453264,Q,
20100517,ANN,383699,705515,Q,
20100518,ANN,268190,621550,Q,
20100519,ANN,198672,630181,Q,
20100520,ANN,248884,772150,Q,
20100521,ANN,619801,1370438,Q,
20100524,ANN,331926,772164,Q,
20100525,ANN,320640,698725,Q,
20100526,ANN,211932,531721,Q,
20100527,ANN,166486,521604,Q,
20100528,ANN,127266,286651,Q,
20100601,ANN,141102,462988,Q,
20100602,ANN,136637,348153,Q,
20100603,ANN,225311,465751,Q,
20100604,ANN,412152,743932,Q,
20100607,ANN,373623,671954,Q,
20100608,ANN,360965,729122,Q,
20100609,ANN,288863,760986,Q,
20100610,ANN,256923,531538,Q,
20100611,ANN,156074,336868,Q,
20100614,ANN,234576,425366,Q,
20100615,ANN,203721,379393,Q,
20100616,ANN,256655,543218,Q,
20100617,ANN,257312,503798,Q,
20100618,ANN,178582,323467,Q,
20100621,ANN,171023,546046,Q,
20100622,ANN,226051,664486,Q,
20100623,ANN,191522,465931,Q,
20100624,ANN,209577,645402,Q,
20100625,ANN,279195,1413009,Q,
20100628,ANN,342577,872077,Q,
20100629,ANN,127018,458757,Q,
20100630,ANN,305873,620319,Q,
20100701,ANN,237216,660295,Q,
20100702,ANN,186393,343006,Q,
20100706,ANN,270223,629782,Q,
20100707,ANN,483824,865492,Q,
20100708,ANN,196630,438361,Q,
20100709,ANN,181629,337490,Q,
20110804,ANN,145673,391550,,0.0
