,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,ANX,8472443,40476123,Q,
20100105,ANX,3412535,13031469,Q,
20100106,ANX,5698720,24228370,Q,
20100107,ANX,5737677,19254250,Q,
20100108,ANX,7700937,23478706,Q,
20100111,ANX,16321648,51169317,Q,
20100112,ANX,11669299,35660136,Q,
20100113,ANX,6490173,25512773,Q,
20100114,ANX,6452169,25750982,Q,
20100115,ANX,8381407,36926817,Q,
20100119,ANX,5596679,21165923,Q,
20100120,ANX,3483791,10106496,Q,
20100121,ANX,1863453,9066013,Q,
20100122,ANX,955421,10487679,Q,
20100125,ANX,1915882,13316270,Q,
20100126,ANX,4002658,10838053,Q,
20100127,ANX,4207347,9407801,Q,
20100128,ANX,3043912,7317229,Q,
20100129,ANX,3567677,8314994,Q,
20100201,ANX,922565,7069654,Q,
20100202,ANX,5528132,14944924,Q,
20100203,ANX,3927996,11667717,Q,
20100204,ANX,2189189,9268588,Q,
20100205,ANX,3704259,7725258,Q,
20100208,ANX,2647700,5990124,Q,
20100209,ANX,2242136,4907618,Q,
20100210,ANX,1914948,6898984,Q,
20100211,ANX,573614,4968471,Q,
20100212,ANX,1398680,4505457,Q,
20100216,ANX,390928,2655765,Q,
20100217,ANX,680652,6086147,Q,
20100218,ANX,4110364,15068859,Q,
20100219,ANX,3575972,8944287,Q,
20100222,ANX,2126989,9420433,Q,
20100223,ANX,2792721,6213056,Q,
20100224,ANX,854115,3809973,Q,
20100225,ANX,2639987,6805673,Q,
20100226,ANX,1568831,3512047,Q,
20100301,ANX,9727941,36351790,Q,
20100302,ANX,5161990,15741626,Q,
20100303,ANX,2961928,7996187,Q,
20100304,ANX,1583994,5165912,Q,
20100305,ANX,1520497,4439111,Q,
20100308,ANX,1638297,4960823,Q,
20100309,ANX,832886,4942539,Q,
20100310,ANX,440598,2942483,Q,
20100311,ANX,645783,4237069,Q,
20100312,ANX,2660081,15852517,Q,
20100315,ANX,774672,3116177,Q,
20100316,ANX,845389,2193445,Q,
20100317,ANX,770143,3039139,Q,
20100318,ANX,728299,3221733,Q,
20100319,ANX,354933,3230340,Q,
20100322,ANX,524222,2712525,Q,
20100323,ANX,284552,2413785,Q,
20100324,ANX,87715,2649854,Q,
20100325,ANX,512860,2568205,Q,
20100326,ANX,1314788,4095798,Q,
20100329,ANX,502746,2179381,Q,
20100330,ANX,1549771,3368548,Q,
20100331,ANX,579543,1466424,Q,
20100401,ANX,696892,1868378,Q,
20100405,ANX,669572,2306450,Q,
20100406,ANX,850003,2065851,Q,
20100407,ANX,2353298,5169894,Q,
20100408,ANX,674324,2911828,Q,
20100409,ANX,445099,3118392,Q,
20100412,ANX,383325,2132892,Q,
20100413,ANX,380698,2580523,Q,
20100414,ANX,3833580,9578023,Q,
20100415,ANX,2374556,5976119,Q,
20100416,ANX,3509604,18558098,Q,
20100419,ANX,1000090,7127869,Q,
20100420,ANX,401665,3735973,Q,
20100421,ANX,407147,3224164,Q,
20100422,ANX,338229,2360423,Q,
20100423,ANX,942510,6101412,Q,
20100426,ANX,134501,436392,Q,
20100427,ANX,394994,1709254,Q,
20100428,ANX,51990,227012,Q,
20100429,ANX,33860,310130,Q,
20100430,ANX,65748,287153,Q,
20100503,ANX,545362,1471206,Q,
20100504,ANX,126262,491431,Q,
20100510,ANX,98715,254891,Q,
20100511,ANX,523366,1394570,Q,
20100512,ANX,120135,422026,Q,
20100513,ANX,124262,315070,Q,
20100517,ANX,136861,422135,Q,
20100518,ANX,60305,298645,Q,
20100519,ANX,49930,289573,Q,
20100520,ANX,120917,363604,Q,
20100521,ANX,139477,319882,Q,
20100524,ANX,42649,210547,Q,
20100525,ANX,43935,190004,Q,
20100526,ANX,34232,133165,Q,
20100527,ANX,72614,160235,Q,
20100528,ANX,594720,1277347,Q,
20100601,ANX,623351,1282836,Q,
20100602,ANX,134253,415218,Q,
20100603,ANX,61766,192148,Q,
20100604,ANX,37017,226979,Q,
20100607,ANX,70162,330354,Q,
20100608,ANX,74575,388192,Q,
20100609,ANX,41639,182855,Q,
20100610,ANX,314669,645595,Q,
20100611,ANX,28162,180735,Q,
20100614,ANX,71951,198612,Q,
20100615,ANX,53760,185515,Q,
20100616,ANX,38484,211450,Q,
20100617,ANX,21399,109993,Q,
20100618,ANX,48001,257495,Q,
20100621,ANX,38534,125595,Q,
20100622,ANX,24294,162770,Q,
20100623,ANX,17070,89819,Q,
20100624,ANX,34600,138761,Q,
20100625,ANX,42270,161429,Q,
20100628,ANX,14014,82595,Q,
20100629,ANX,19254,121213,Q,
20100630,ANX,47150,186803,Q,
20100701,ANX,15000,112012,Q,
20100702,ANX,23406,97030,Q,
20100706,ANX,11683,80520,Q,
20100707,ANX,25049,108877,Q,
20100708,ANX,27324,106857,Q,
20100709,ANX,49469,91873,Q,
20110804,ANX,119088,705247,,20000.0
