,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,AREpC,900,2080,Q,
20100105,AREpC,300,2400,Q,
20100106,AREpC,1347,4015,Q,
20100108,AREpC,400,3560,Q,
20100111,AREpC,600,1950,Q,
20100112,AREpC,1450,201450,Q,
20100113,AREpC,988,1288,Q,
20100114,AREpC,200,4490,Q,
20100115,AREpC,330,630,Q,
20100119,AREpC,660,1455,Q,
20100120,AREpC,600,1950,Q,
20100121,AREpC,100,945,Q,
20100122,AREpC,1100,1365,Q,
20100125,AREpC,300,2700,Q,
20100126,AREpC,4100,5200,Q,
20100128,AREpC,770,1020,Q,
20100129,AREpC,300,620,Q,
20100201,AREpC,2150,13950,Q,
20100203,AREpC,986,1486,Q,
20100204,AREpC,200,200,Q,
20100205,AREpC,1336,1736,Q,
20100208,AREpC,2000,3000,Q,
20100209,AREpC,500,500,Q,
20100210,AREpC,1300,1600,Q,
20100211,AREpC,625,1925,Q,
20100212,AREpC,250,950,Q,
20100216,AREpC,1400,1625,Q,
20100217,AREpC,1630,3210,Q,
20100218,AREpC,2600,4535,Q,
20100224,AREpC,100,1000,Q,
20100225,AREpC,200,600,Q,
20100301,AREpC,650,1050,Q,
20100303,AREpC,100,100,Q,
20100304,AREpC,225,975,Q,
20100305,AREpC,250,5350,Q,
20100308,AREpC,1100,4325,Q,
20100312,AREpC,600,2600,Q,
20100315,AREpC,200,1595,Q,
20100316,AREpC,100,700,Q,
20100319,AREpC,300,1150,Q,
20100322,AREpC,100,700,Q,
20100325,AREpC,2558,2700,Q,
20100326,AREpC,913,3715,Q,
20100329,AREpC,800,1050,Q,
20100331,AREpC,500,1633,Q,
20100405,AREpC,1300,3125,Q,
20100406,AREpC,425,4235,Q,
20100408,AREpC,100,900,Q,
20100409,AREpC,100,1300,Q,
20100412,AREpC,425,2350,Q,
20100414,AREpC,300,1000,Q,
20100415,AREpC,600,1250,Q,
20100416,AREpC,1221,2680,Q,
20100419,AREpC,2425,4300,Q,
20100421,AREpC,100,2710,Q,
20100422,AREpC,2255,6027,Q,
20100423,AREpC,150,2375,Q,
20100426,AREpC,2100,2700,Q,
20100427,AREpC,125,225,Q,
20100428,AREpC,200,1200,Q,
20100429,AREpC,400,1075,Q,
20100503,AREpC,2800,8218,Q,
20100504,AREpC,100,3166,Q,
20100510,AREpC,1149,5469,Q,
20100511,AREpC,2200,7317,Q,
20100512,AREpC,700,800,Q,
20100513,AREpC,100,100,Q,
20100517,AREpC,800,1231,Q,
20100518,AREpC,200,700,Q,
20100519,AREpC,300,1099,Q,
20100520,AREpC,3000,4720,Q,
20100521,AREpC,600,2500,Q,
20100524,AREpC,400,1050,Q,
20100525,AREpC,3856,4256,Q,
20100527,AREpC,100,1197,Q,
20100601,AREpC,1500,1500,Q,
20100602,AREpC,200,925,Q,
20100603,AREpC,200,350,Q,
20100604,AREpC,494,694,Q,
20100608,AREpC,500,1637,Q,
20100609,AREpC,390,890,Q,
20100614,AREpC,1000,1100,Q,
20100615,AREpC,400,678,Q,
20100616,AREpC,14200,28700,Q,
20100617,AREpC,800,800,Q,
20100618,AREpC,100,100,Q,
20100621,AREpC,500,500,Q,
20100622,AREpC,300,800,Q,
20100623,AREpC,400,1000,Q,
20100624,AREpC,240,1076,Q,
20100625,AREpC,200,1208,Q,
20100629,AREpC,6497,11697,Q,
20100630,AREpC,914,2177,Q,
20100701,AREpC,850,2150,Q,
20100702,AREpC,250,750,Q,
20100706,AREpC,100,200,Q,
20100707,AREpC,100,1193,Q,
