,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,ARG,34610,85876,Q,
20100105,ARG,33319,122894,Q,
20100106,ARG,60984,168028,Q,
20100107,ARG,90323,188172,Q,
20100108,ARG,26603,56996,Q,
20100111,ARG,106522,201939,Q,
20100112,ARG,46723,105626,Q,
20100113,ARG,15759,49070,Q,
20100114,ARG,32897,84274,Q,
20100115,ARG,13935,39338,Q,
20100119,ARG,12398,57553,Q,
20100120,ARG,34481,68851,Q,
20100121,ARG,48308,100769,Q,
20100122,ARG,29221,56141,Q,
20100125,ARG,13040,43419,Q,
20100126,ARG,21318,46626,Q,
20100127,ARG,26226,128736,Q,
20100128,ARG,39990,93518,Q,
20100129,ARG,483586,1565735,Q,
20100201,ARG,167048,362638,Q,
20100202,ARG,67206,215860,Q,
20100203,ARG,84022,149361,Q,
20100204,ARG,85824,140373,Q,
20100205,ARG,1671709,6306091,Q,
20100208,ARG,782557,2124690,Q,
20100209,ARG,250962,758228,Q,
20100210,ARG,374456,1006488,Q,
20100211,ARG,167026,710888,Q,
20100212,ARG,104689,513073,Q,
20100216,ARG,65735,519510,Q,
20100217,ARG,226268,1099386,Q,
20100218,ARG,145508,858847,Q,
20100219,ARG,65107,891368,Q,
20100222,ARG,272860,650049,Q,
20100223,ARG,80028,503909,Q,
20100224,ARG,82189,736585,Q,
20100225,ARG,109086,1167026,Q,
20100226,ARG,214266,864840,Q,
20100301,ARG,280666,1144364,Q,
20100302,ARG,112634,711431,Q,
20100303,ARG,48567,208264,Q,
20100304,ARG,58427,188529,Q,
20100305,ARG,30505,656310,Q,
20100308,ARG,50955,422551,Q,
20100309,ARG,30525,591018,Q,
20100310,ARG,52078,138952,Q,
20100311,ARG,51085,291526,Q,
20100312,ARG,38393,170612,Q,
20100315,ARG,53624,389048,Q,
20100316,ARG,23045,131622,Q,
20100317,ARG,38841,235437,Q,
20100318,ARG,24698,227783,Q,
20100319,ARG,54554,386191,Q,
20100322,ARG,32513,141455,Q,
20100323,ARG,24422,466846,Q,
20100324,ARG,15700,458689,Q,
20100325,ARG,91161,457145,Q,
20100326,ARG,23756,113673,Q,
20100329,ARG,24254,310742,Q,
20100330,ARG,26664,137906,Q,
20100331,ARG,38191,251691,Q,
20100401,ARG,32275,536523,Q,
20100405,ARG,26005,194673,Q,
20100406,ARG,21557,83318,Q,
20100407,ARG,25112,185065,Q,
20100408,ARG,30752,95710,Q,
20100409,ARG,21554,156395,Q,
20100412,ARG,12632,89701,Q,
20100413,ARG,33403,229454,Q,
20100414,ARG,23447,222356,Q,
20100415,ARG,27945,123570,Q,
20100416,ARG,69136,163686,Q,
20100419,ARG,83860,284988,Q,
20100420,ARG,29328,245907,Q,
20100421,ARG,22345,95047,Q,
20100422,ARG,41660,206828,Q,
20100423,ARG,40271,131646,Q,
20100426,ARG,19450,209679,Q,
20100427,ARG,44583,193785,Q,
20100428,ARG,29227,164631,Q,
20100429,ARG,5418,41467,Q,
20100430,ARG,23917,96985,Q,
20100503,ARG,31393,124114,Q,
20100504,ARG,33511,75798,Q,
20100510,ARG,81607,377000,Q,
20100511,ARG,10027,66471,Q,
20100512,ARG,13805,86383,Q,
20100513,ARG,28543,145539,Q,
20100517,ARG,123117,215020,Q,
20100518,ARG,158644,290433,Q,
20100519,ARG,83190,430093,Q,
20100520,ARG,189043,846480,Q,
20100521,ARG,214203,1158142,Q,
20100524,ARG,79285,434356,Q,
20100525,ARG,56639,632617,Q,
20100526,ARG,25345,181464,Q,
20100527,ARG,21534,196862,Q,
20100528,ARG,19700,66573,Q,
20100601,ARG,63465,116079,Q,
20100602,ARG,78294,266015,Q,
20100603,ARG,77835,565994,Q,
20100604,ARG,103110,289294,Q,
20100607,ARG,99343,151161,Q,
20100608,ARG,49116,179858,Q,
20100609,ARG,63711,126273,Q,
20100610,ARG,57150,141591,Q,
20100611,ARG,21735,137965,Q,
20100614,ARG,55934,151496,Q,
20100615,ARG,72428,165209,Q,
20100616,ARG,42694,95698,Q,
20100617,ARG,37682,50826,Q,
20100618,ARG,17473,70664,Q,
20100621,ARG,40598,105792,Q,
20100622,ARG,27099,76461,Q,
20100623,ARG,30202,129991,Q,
20100624,ARG,30981,210014,Q,
20100625,ARG,37264,126360,Q,
20100628,ARG,99230,185295,Q,
20100629,ARG,86153,209081,Q,
20100630,ARG,65368,145145,Q,
20100701,ARG,113884,237349,Q,
20100702,ARG,158260,228162,Q,
20100706,ARG,17380,72574,Q,
20100707,ARG,100321,291728,Q,
20100708,ARG,55455,112949,Q,
20100709,ARG,393570,1182253,Q,
20110804,ARG,51098,151108,,0.0
