,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,ARGN,42745,85556,Q,
20100105,ARGN,17294,36966,Q,
20100106,ARGN,40717,78894,Q,
20100107,ARGN,20780,71639,Q,
20100108,ARGN,16392,101192,Q,
20100111,ARGN,19216,38025,Q,
20100112,ARGN,17115,27978,Q,
20100113,ARGN,13214,21138,Q,
20100114,ARGN,6295,9080,Q,
20100115,ARGN,9108,15810,Q,
20100119,ARGN,4245,31812,Q,
20100120,ARGN,10200,56869,Q,
20100121,ARGN,20692,130424,Q,
20100122,ARGN,26349,66369,Q,
20100125,ARGN,11800,78205,Q,
20100126,ARGN,23300,52765,Q,
20100127,ARGN,41127,68493,Q,
20100128,ARGN,35095,52516,Q,
20100129,ARGN,31909,82974,Q,
20100201,ARGN,16050,27865,Q,
20100202,ARGN,19338,55843,Q,
20100203,ARGN,6943,72324,Q,
20100204,ARGN,10700,53492,Q,
20100205,ARGN,34768,49375,Q,
20100208,ARGN,18492,46692,Q,
20100209,ARGN,44672,124227,Q,
20100210,ARGN,86337,237110,Q,
20100211,ARGN,16400,90400,Q,
20100212,ARGN,35666,133089,Q,
20100216,ARGN,52610,199952,Q,
20100217,ARGN,14530,77831,Q,
20100218,ARGN,8971,25480,Q,
20100219,ARGN,23180,113425,Q,
20100222,ARGN,21054,103691,Q,
20100223,ARGN,5400,74364,Q,
20100224,ARGN,12500,118600,Q,
20100225,ARGN,6503,14756,Q,
20100226,ARGN,11365,48928,Q,
20100301,ARGN,16562,68623,Q,
20100302,ARGN,41844,112851,Q,
20100303,ARGN,25461,88841,Q,
20100304,ARGN,6209,22596,Q,
20100305,ARGN,37410,163659,Q,
20100308,ARGN,34220,72048,Q,
20100309,ARGN,77350,140080,Q,
20100310,ARGN,44432,99478,Q,
20100311,ARGN,32026,122374,Q,
20100312,ARGN,7200,53542,Q,
20100315,ARGN,12300,88420,Q,
20100316,ARGN,11619,111643,Q,
20100317,ARGN,12121,67081,Q,
20100318,ARGN,8037,86248,Q,
20100319,ARGN,13172,56117,Q,
20100322,ARGN,46399,237549,Q,
20100323,ARGN,32843,128952,Q,
20100324,ARGN,48121,111615,Q,
20100325,ARGN,30990,147087,Q,
20100326,ARGN,17845,102576,Q,
20100329,ARGN,25953,118557,Q,
20100330,ARGN,45419,190195,Q,
20100331,ARGN,53439,121620,Q,
20100401,ARGN,17653,78034,Q,
20100405,ARGN,19981,66546,Q,
20100406,ARGN,31549,95367,Q,
20100407,ARGN,60761,104374,Q,
20100408,ARGN,34867,220543,Q,
20100409,ARGN,28233,95872,Q,
20100412,ARGN,24617,119982,Q,
20100413,ARGN,22705,41901,Q,
20100414,ARGN,46311,113823,Q,
20100415,ARGN,15865,45859,Q,
20100416,ARGN,30252,112171,Q,
20100419,ARGN,15545,147830,Q,
20100420,ARGN,21818,52119,Q,
20100421,ARGN,22256,149641,Q,
20100422,ARGN,23265,36196,Q,
20100423,ARGN,16924,40465,Q,
20100426,ARGN,15630,49022,Q,
20100427,ARGN,141104,559300,Q,
20100428,ARGN,23948,86748,Q,
20100429,ARGN,24866,178208,Q,
20100430,ARGN,15262,43992,Q,
20100503,ARGN,17377,31253,Q,
20100504,ARGN,12420,33573,Q,
20100510,ARGN,27922,64482,Q,
20100511,ARGN,51350,109249,Q,
20100512,ARGN,12582,46268,Q,
20100513,ARGN,5440,53458,Q,
20100517,ARGN,20026,41222,Q,
20100518,ARGN,45200,76455,Q,
20100519,ARGN,21949,32263,Q,
20100520,ARGN,24576,41769,Q,
20100521,ARGN,26783,84747,Q,
20100524,ARGN,18445,49346,Q,
20100525,ARGN,23297,77047,Q,
20100526,ARGN,15143,35884,Q,
20100527,ARGN,7016,20997,Q,
20100528,ARGN,8010,21073,Q,
20100601,ARGN,9595,15195,Q,
20100602,ARGN,3200,14228,Q,
20100603,ARGN,6925,20503,Q,
20100604,ARGN,18831,57055,Q,
20100607,ARGN,28727,146895,Q,
20100608,ARGN,23000,206988,Q,
20100609,ARGN,19109,42859,Q,
20100610,ARGN,27611,44501,Q,
20100611,ARGN,35076,48579,Q,
20100614,ARGN,38598,58993,Q,
20100615,ARGN,10544,22809,Q,
20100616,ARGN,23049,38271,Q,
20100617,ARGN,99928,208106,Q,
20100618,ARGN,37340,169083,Q,
20100621,ARGN,27136,99646,Q,
20100622,ARGN,41709,137543,Q,
20100623,ARGN,36816,181016,Q,
20100624,ARGN,27929,67398,Q,
20100625,ARGN,16965,73522,Q,
20100628,ARGN,51841,123436,Q,
20100629,ARGN,34888,721598,Q,
20100630,ARGN,52743,112035,Q,
20100701,ARGN,31195,44138,Q,
20100702,ARGN,7800,10100,Q,
20100706,ARGN,23647,43565,Q,
20100707,ARGN,10553,19174,Q,
20100708,ARGN,12007,68402,Q,
20100709,ARGN,11863,22793,Q,
20110804,ARGN,10957,28053,,0.0
