,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,ARRY,126645,318467,Q,
20100105,ARRY,105260,213680,Q,
20100106,ARRY,210353,414110,Q,
20100107,ARRY,176133,319605,Q,
20100108,ARRY,100965,211314,Q,
20100111,ARRY,112305,246750,Q,
20100112,ARRY,85574,171619,Q,
20100113,ARRY,91072,189414,Q,
20100114,ARRY,62289,242350,Q,
20100115,ARRY,104169,225386,Q,
20100119,ARRY,37481,178756,Q,
20100120,ARRY,25900,117991,Q,
20100121,ARRY,53826,133774,Q,
20100122,ARRY,45901,113661,Q,
20100125,ARRY,118745,245895,Q,
20100126,ARRY,102788,154797,Q,
20100127,ARRY,50739,82922,Q,
20100128,ARRY,136354,233828,Q,
20100129,ARRY,46591,94376,Q,
20100201,ARRY,22938,79870,Q,
20100202,ARRY,56450,342284,Q,
20100203,ARRY,84634,389573,Q,
20100204,ARRY,15350,117258,Q,
20100205,ARRY,14493,116959,Q,
20100208,ARRY,12269,69506,Q,
20100209,ARRY,60561,133914,Q,
20100210,ARRY,53441,134820,Q,
20100211,ARRY,34485,103156,Q,
20100212,ARRY,20460,58971,Q,
20100216,ARRY,11591,56651,Q,
20100217,ARRY,13441,33057,Q,
20100218,ARRY,18405,72826,Q,
20100219,ARRY,3583,27340,Q,
20100222,ARRY,58053,123497,Q,
20100223,ARRY,23186,69620,Q,
20100224,ARRY,4898,41025,Q,
20100225,ARRY,8249,57857,Q,
20100226,ARRY,40775,108330,Q,
20100301,ARRY,41300,131336,Q,
20100302,ARRY,17853,91373,Q,
20100303,ARRY,58572,135565,Q,
20100304,ARRY,14635,36900,Q,
20100305,ARRY,16400,58985,Q,
20100308,ARRY,17100,54617,Q,
20100309,ARRY,15862,50008,Q,
20100310,ARRY,30620,56814,Q,
20100311,ARRY,23723,55126,Q,
20100312,ARRY,34188,65600,Q,
20100315,ARRY,15854,43839,Q,
20100316,ARRY,97584,330526,Q,
20100317,ARRY,41215,140381,Q,
20100318,ARRY,20032,67695,Q,
20100319,ARRY,58318,200469,Q,
20100322,ARRY,18770,60594,Q,
20100323,ARRY,7945,70837,Q,
20100324,ARRY,12400,104227,Q,
20100325,ARRY,30955,153130,Q,
20100326,ARRY,100966,323366,Q,
20100329,ARRY,68595,164052,Q,
20100330,ARRY,46487,94242,Q,
20100331,ARRY,72082,129054,Q,
20100401,ARRY,44504,85437,Q,
20100405,ARRY,56965,143363,Q,
20100406,ARRY,43201,123279,Q,
20100407,ARRY,56018,150627,Q,
20100408,ARRY,14093,48921,Q,
20100409,ARRY,23979,72671,Q,
20100412,ARRY,54195,141397,Q,
20100413,ARRY,138751,353834,Q,
20100414,ARRY,90411,178264,Q,
20100415,ARRY,274077,511982,Q,
20100416,ARRY,59392,219124,Q,
20100419,ARRY,40766,106115,Q,
20100420,ARRY,3377900,9754883,Q,
20100421,ARRY,410245,1245733,Q,
20100422,ARRY,266116,896040,Q,
20100423,ARRY,90900,395818,Q,
20100426,ARRY,221715,702250,Q,
20100427,ARRY,71992,196553,Q,
20100428,ARRY,30877,159406,Q,
20100429,ARRY,73837,281530,Q,
20100430,ARRY,47137,155264,Q,
20100503,ARRY,68872,227192,Q,
20100504,ARRY,130112,256694,Q,
20100510,ARRY,92981,231421,Q,
20100511,ARRY,84150,249317,Q,
20100512,ARRY,43080,195964,Q,
20100513,ARRY,170985,398566,Q,
20100517,ARRY,38050,99265,Q,
20100518,ARRY,48599,102230,Q,
20100519,ARRY,38500,99936,Q,
20100520,ARRY,47390,155272,Q,
20100521,ARRY,60738,117012,Q,
20100524,ARRY,37354,81741,Q,
20100525,ARRY,57750,134286,Q,
20100526,ARRY,57659,165674,Q,
20100527,ARRY,32229,86221,Q,
20100528,ARRY,48862,123189,Q,
20100601,ARRY,81884,348532,Q,
20100602,ARRY,32156,130711,Q,
20100603,ARRY,35044,105880,Q,
20100604,ARRY,24088,115517,Q,
20100607,ARRY,62165,220417,Q,
20100608,ARRY,31899,118875,Q,
20100609,ARRY,19264,74620,Q,
20100610,ARRY,19550,77575,Q,
20100611,ARRY,13625,80556,Q,
20100614,ARRY,9205,50143,Q,
20100615,ARRY,14925,84164,Q,
20100616,ARRY,10742,71574,Q,
20100617,ARRY,4000,30902,Q,
20100618,ARRY,3600,39959,Q,
20100621,ARRY,3700,147529,Q,
20100622,ARRY,13705,93634,Q,
20100623,ARRY,3600,77454,Q,
20100624,ARRY,7085,44097,Q,
20100625,ARRY,74306,258323,Q,
20100628,ARRY,7765,77031,Q,
20100629,ARRY,29305,95342,Q,
20100630,ARRY,9525,49784,Q,
20100701,ARRY,49685,117953,Q,
20100702,ARRY,9231,28547,Q,
20100706,ARRY,26200,87537,Q,
20100707,ARRY,20519,82274,Q,
20100708,ARRY,25155,77910,Q,
20100709,ARRY,3583,42150,Q,
20110804,ARRY,53942,170467,,0.0
