,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,ASGR,2448,4893,Q,
20100105,ASGR,9518,29022,Q,
20100106,ASGR,5187,7587,Q,
20100107,ASGR,47113,52713,Q,
20100108,ASGR,8679,10279,Q,
20100111,ASGR,5683,14278,Q,
20100112,ASGR,2535,45265,Q,
20100113,ASGR,3290,20586,Q,
20100114,ASGR,4326,5926,Q,
20100115,ASGR,3050,10838,Q,
20100119,ASGR,1800,8020,Q,
20100120,ASGR,3900,14300,Q,
20100121,ASGR,3500,16200,Q,
20100122,ASGR,2800,4132,Q,
20100125,ASGR,4151,61875,Q,
20100126,ASGR,4400,5600,Q,
20100127,ASGR,1568,6979,Q,
20100128,ASGR,2242,183827,Q,
20100129,ASGR,3300,10096,Q,
20100201,ASGR,6600,10650,Q,
20100202,ASGR,800,6091,Q,
20100203,ASGR,4000,51699,Q,
20100204,ASGR,4033,7083,Q,
20100205,ASGR,1672,4972,Q,
20100208,ASGR,4100,15075,Q,
20100209,ASGR,2750,7750,Q,
20100210,ASGR,1100,43525,Q,
20100211,ASGR,700,13950,Q,
20100212,ASGR,1020,17320,Q,
20100216,ASGR,1000,2192,Q,
20100217,ASGR,650,2660,Q,
20100218,ASGR,500,1928,Q,
20100219,ASGR,1000,2490,Q,
20100222,ASGR,1514,2314,Q,
20100223,ASGR,3325,62523,Q,
20100224,ASGR,1650,5127,Q,
20100225,ASGR,1350,5468,Q,
20100226,ASGR,1600,11139,Q,
20100301,ASGR,600,2575,Q,
20100302,ASGR,2810,7200,Q,
20100303,ASGR,7513,12493,Q,
20100304,ASGR,3000,4700,Q,
20100305,ASGR,6200,8124,Q,
20100308,ASGR,545,1995,Q,
20100309,ASGR,2019,8116,Q,
20100310,ASGR,2672,8286,Q,
20100311,ASGR,2397,9087,Q,
20100312,ASGR,26600,29342,Q,
20100315,ASGR,600,900,Q,
20100316,ASGR,643,4323,Q,
20100317,ASGR,500,700,Q,
20100318,ASGR,200,900,Q,
20100319,ASGR,850,5775,Q,
20100322,ASGR,200,3200,Q,
20100323,ASGR,2600,29612,Q,
20100324,ASGR,1900,4110,Q,
20100325,ASGR,5742,33742,Q,
20100326,ASGR,2378,17444,Q,
20100329,ASGR,2232,6933,Q,
20100330,ASGR,4200,9300,Q,
20100331,ASGR,1200,2400,Q,
20100401,ASGR,1700,2875,Q,
20100405,ASGR,829,5229,Q,
20100406,ASGR,1600,37100,Q,
20100407,ASGR,5562,7687,Q,
20100408,ASGR,700,6315,Q,
20100409,ASGR,2100,16960,Q,
20100412,ASGR,5497,43954,Q,
20100413,ASGR,880,70908,Q,
20100414,ASGR,1750,45031,Q,
20100415,ASGR,8928,36835,Q,
20100416,ASGR,1448,27146,Q,
20100419,ASGR,3100,48424,Q,
20100420,ASGR,1400,3840,Q,
20100421,ASGR,754,5809,Q,
20100422,ASGR,527,10790,Q,
20100423,ASGR,1370,28132,Q,
20100426,ASGR,1091,4435,Q,
20100427,ASGR,1300,7043,Q,
20100428,ASGR,400,8158,Q,
20100429,ASGR,2324,11614,Q,
20100430,ASGR,3600,11305,Q,
20100503,ASGR,2698,6798,Q,
20100504,ASGR,7388,19399,Q,
20100510,ASGR,3960,6571,Q,
20100511,ASGR,24300,34244,Q,
20100512,ASGR,3478,6577,Q,
20100513,ASGR,4160,11395,Q,
20100517,ASGR,3600,11451,Q,
20100518,ASGR,4057,8807,Q,
20100519,ASGR,5895,37295,Q,
20100520,ASGR,11600,16213,Q,
20100521,ASGR,9086,13443,Q,
20100524,ASGR,11128,25993,Q,
20100525,ASGR,2966,6481,Q,
20100526,ASGR,7137,18255,Q,
20100527,ASGR,6512,19856,Q,
20100528,ASGR,4085,9939,Q,
20100601,ASGR,4729,22022,Q,
20100602,ASGR,5572,9085,Q,
20100603,ASGR,5483,18882,Q,
20100604,ASGR,8300,18620,Q,
20100607,ASGR,4900,9581,Q,
20100608,ASGR,3100,15018,Q,
20100609,ASGR,4700,13150,Q,
20100610,ASGR,10844,16933,Q,
20100611,ASGR,1500,3970,Q,
20100614,ASGR,8635,12730,Q,
20100615,ASGR,7200,11600,Q,
20100616,ASGR,5700,7370,Q,
20100617,ASGR,916,3286,Q,
20100618,ASGR,1500,4661,Q,
20100621,ASGR,1600,8230,Q,
20100622,ASGR,900,3455,Q,
20100623,ASGR,100,3858,Q,
20100624,ASGR,1404,4304,Q,
20100625,ASGR,11475,27777,Q,
20100628,ASGR,2080,11210,Q,
20100629,ASGR,4096,8262,Q,
20100630,ASGR,800,8015,Q,
20100701,ASGR,2500,17320,Q,
20100702,ASGR,7800,9272,Q,
20100706,ASGR,2335,3664,Q,
20100707,ASGR,3938,8557,Q,
20100708,ASGR,900,2900,Q,
20100709,ASGR,6035,9004,Q,
