,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,ASML,187053,273581,Q,
20100105,ASML,70034,263567,Q,
20100106,ASML,63542,274069,Q,
20100107,ASML,288927,945261,Q,
20100108,ASML,105405,887564,Q,
20100111,ASML,280178,1108091,Q,
20100112,ASML,98598,1598463,Q,
20100113,ASML,127896,752839,Q,
20100114,ASML,52643,281815,Q,
20100115,ASML,62529,613569,Q,
20100119,ASML,94287,652814,Q,
20100120,ASML,511732,986536,Q,
20100121,ASML,231938,935605,Q,
20100122,ASML,403087,906991,Q,
20100125,ASML,193785,433400,Q,
20100126,ASML,310447,779721,Q,
20100127,ASML,202763,544705,Q,
20100128,ASML,308989,415088,Q,
20100129,ASML,286585,466341,Q,
20100201,ASML,129103,197641,Q,
20100202,ASML,306296,1361747,Q,
20100203,ASML,201999,841141,Q,
20100204,ASML,221621,378788,Q,
20100205,ASML,426597,1333125,Q,
20100208,ASML,105162,514814,Q,
20100209,ASML,267651,457929,Q,
20100210,ASML,75459,190434,Q,
20100211,ASML,310499,775203,Q,
20100212,ASML,150428,298200,Q,
20100216,ASML,61182,487940,Q,
20100217,ASML,141583,293079,Q,
20100218,ASML,239958,344225,Q,
20100219,ASML,149311,522776,Q,
20100222,ASML,64694,156981,Q,
20100223,ASML,344461,569355,Q,
20100224,ASML,56907,190191,Q,
20100225,ASML,125114,316548,Q,
20100226,ASML,283758,491620,Q,
20100301,ASML,112776,424514,Q,
20100302,ASML,800344,1359483,Q,
20100303,ASML,327773,1239658,Q,
20100304,ASML,134953,298173,Q,
20100305,ASML,253094,347738,Q,
20100308,ASML,666500,1054602,Q,
20100309,ASML,245018,498801,Q,
20100310,ASML,282581,457883,Q,
20100311,ASML,89044,142521,Q,
20100312,ASML,120753,595134,Q,
20100315,ASML,122244,499268,Q,
20100316,ASML,76255,241262,Q,
20100317,ASML,90377,320547,Q,
20100318,ASML,83854,441381,Q,
20100319,ASML,61267,149974,Q,
20100322,ASML,196041,510157,Q,
20100323,ASML,239173,585042,Q,
20100324,ASML,102234,193618,Q,
20100325,ASML,90166,257808,Q,
20100326,ASML,164956,562193,Q,
20100329,ASML,67113,106187,Q,
20100330,ASML,149167,442648,Q,
20100331,ASML,229097,405017,Q,
20100401,ASML,99460,272094,Q,
20100405,ASML,86328,216310,Q,
20100406,ASML,109785,230406,Q,
20100407,ASML,82307,150846,Q,
20100408,ASML,139830,245744,Q,
20100409,ASML,121781,303372,Q,
20100412,ASML,204648,290687,Q,
20100413,ASML,125879,582810,Q,
20100414,ASML,579855,1223070,Q,
20100415,ASML,100051,236574,Q,
20100416,ASML,153969,310599,Q,
20100419,ASML,132174,418251,Q,
20100420,ASML,354219,600335,Q,
20100421,ASML,282014,452732,Q,
20100422,ASML,181246,382291,Q,
20100423,ASML,134100,273513,Q,
20100426,ASML,62763,151104,Q,
20100427,ASML,154005,677779,Q,
20100428,ASML,184486,816998,Q,
20100429,ASML,159024,501480,Q,
20100430,ASML,248255,482669,Q,
20100503,ASML,94507,212600,Q,
20100504,ASML,284332,431985,Q,
20100510,ASML,207645,609393,Q,
20100511,ASML,136991,269045,Q,
20100512,ASML,117988,291209,Q,
20100513,ASML,98840,378060,Q,
20100517,ASML,334589,661629,Q,
20100518,ASML,416885,833913,Q,
20100519,ASML,141573,820018,Q,
20100520,ASML,388854,1072431,Q,
20100521,ASML,539530,949833,Q,
20100524,ASML,200920,1138896,Q,
20100525,ASML,197633,1002967,Q,
20100526,ASML,256026,1157444,Q,
20100527,ASML,100738,795928,Q,
20100528,ASML,158287,350257,Q,
20100601,ASML,205020,446029,Q,
20100602,ASML,236915,365850,Q,
20100603,ASML,145472,552484,Q,
20100604,ASML,753456,1487012,Q,
20100607,ASML,169146,327105,Q,
20100608,ASML,383930,777422,Q,
20100609,ASML,228397,335349,Q,
20100610,ASML,403064,681179,Q,
20100611,ASML,134795,269510,Q,
20100614,ASML,207618,575171,Q,
20100615,ASML,212788,604602,Q,
20100616,ASML,156298,453498,Q,
20100617,ASML,226077,551800,Q,
20100618,ASML,95429,201800,Q,
20100621,ASML,126065,199782,Q,
20100622,ASML,307668,647333,Q,
20100623,ASML,303244,541485,Q,
20100624,ASML,79781,443349,Q,
20100625,ASML,104680,271647,Q,
20100628,ASML,161611,294966,Q,
20100629,ASML,197256,368074,Q,
20100630,ASML,221763,397087,Q,
20100701,ASML,305345,780348,Q,
20100702,ASML,162735,251871,Q,
20100706,ASML,260281,1242918,Q,
20100707,ASML,328922,587529,Q,
20100708,ASML,435883,876810,Q,
20100709,ASML,122538,333080,Q,
20110804,ASML,994917,1614731,,15600.0
