,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,ASR,3254,6154,Q,
20100105,ASR,3700,6800,Q,
20100106,ASR,1650,4100,Q,
20100107,ASR,5058,8396,Q,
20100108,ASR,1400,30295,Q,
20100111,ASR,5100,48653,Q,
20100112,ASR,1950,23825,Q,
20100113,ASR,1670,34085,Q,
20100114,ASR,100,11980,Q,
20100115,ASR,2990,13170,Q,
20100119,ASR,500,18374,Q,
20100120,ASR,5451,14865,Q,
20100121,ASR,2047,8339,Q,
20100122,ASR,2900,33920,Q,
20100125,ASR,1400,55650,Q,
20100126,ASR,1200,62411,Q,
20100127,ASR,900,8010,Q,
20100128,ASR,5084,37284,Q,
20100129,ASR,8125,24605,Q,
20100201,ASR,5300,11821,Q,
20100202,ASR,10446,15653,Q,
20100203,ASR,4356,16891,Q,
20100204,ASR,3842,16162,Q,
20100205,ASR,2800,36096,Q,
20100208,ASR,7444,22044,Q,
20100209,ASR,3755,21665,Q,
20100210,ASR,8918,33240,Q,
20100211,ASR,7158,40458,Q,
20100212,ASR,8086,11051,Q,
20100216,ASR,6025,16725,Q,
20100217,ASR,4909,9006,Q,
20100218,ASR,2314,9776,Q,
20100219,ASR,4584,10702,Q,
20100222,ASR,5731,9112,Q,
20100223,ASR,2484,3131,Q,
20100224,ASR,3736,6536,Q,
20100225,ASR,8800,22665,Q,
20100226,ASR,4250,9802,Q,
20100301,ASR,7416,13564,Q,
20100302,ASR,3649,6149,Q,
20100303,ASR,1600,7060,Q,
20100304,ASR,3100,7098,Q,
20100305,ASR,560,2093,Q,
20100308,ASR,600,1900,Q,
20100309,ASR,1600,6000,Q,
20100310,ASR,11066,18666,Q,
20100311,ASR,3049,52943,Q,
20100312,ASR,6934,19134,Q,
20100315,ASR,5201,10494,Q,
20100316,ASR,5936,30080,Q,
20100317,ASR,5250,97912,Q,
20100318,ASR,6941,47548,Q,
20100319,ASR,15300,117029,Q,
20100322,ASR,6224,55634,Q,
20100323,ASR,14800,72300,Q,
20100324,ASR,4862,39462,Q,
20100325,ASR,15973,48466,Q,
20100326,ASR,1900,5950,Q,
20100329,ASR,3385,7240,Q,
20100330,ASR,8500,75290,Q,
20100331,ASR,2600,14827,Q,
20100401,ASR,8941,19210,Q,
20100405,ASR,3250,6950,Q,
20100406,ASR,1390,4098,Q,
20100407,ASR,1700,6260,Q,
20100408,ASR,4139,7716,Q,
20100409,ASR,3350,5450,Q,
20100412,ASR,1300,1973,Q,
20100413,ASR,1197,3362,Q,
20100414,ASR,3650,5292,Q,
20100415,ASR,1630,3430,Q,
20100416,ASR,8758,15620,Q,
20100419,ASR,8581,14881,Q,
20100420,ASR,3327,10789,Q,
20100421,ASR,2275,11375,Q,
20100422,ASR,4312,18675,Q,
20100423,ASR,9250,18750,Q,
20100426,ASR,4518,9418,Q,
20100427,ASR,7521,16808,Q,
20100428,ASR,2781,10481,Q,
20100429,ASR,4294,8086,Q,
20100430,ASR,3950,6920,Q,
20100503,ASR,2441,21324,Q,
20100504,ASR,6136,14361,Q,
20100510,ASR,3543,13562,Q,
20100511,ASR,1220,7125,Q,
20100512,ASR,2300,5240,Q,
20100513,ASR,6013,12421,Q,
20100517,ASR,1775,6225,Q,
20100518,ASR,5775,9011,Q,
20100519,ASR,10299,13525,Q,
20100520,ASR,4951,17135,Q,
20100521,ASR,3800,8539,Q,
20100524,ASR,500,2522,Q,
20100525,ASR,1000,9215,Q,
20100526,ASR,200,2800,Q,
20100527,ASR,7004,12067,Q,
20100528,ASR,1022,3072,Q,
20100601,ASR,1911,8861,Q,
20100602,ASR,2800,11970,Q,
20100603,ASR,4658,7062,Q,
20100604,ASR,8487,19387,Q,
20100607,ASR,2090,7262,Q,
20100608,ASR,9856,13277,Q,
20100609,ASR,13200,19250,Q,
20100610,ASR,10700,15207,Q,
20100611,ASR,4710,6910,Q,
20100614,ASR,12108,17987,Q,
20100615,ASR,10700,15244,Q,
20100616,ASR,5800,7100,Q,
20100617,ASR,1191,3659,Q,
20100618,ASR,400,603,Q,
20100621,ASR,3615,15522,Q,
20100622,ASR,3100,7196,Q,
20100623,ASR,1000,8200,Q,
20100624,ASR,1418,14719,Q,
20100625,ASR,10056,14156,Q,
20100628,ASR,1400,1948691,Q,
20100629,ASR,5448,71130,Q,
20100630,ASR,200,3530,Q,
20100701,ASR,6727,14739,Q,
20100702,ASR,900,2927,Q,
20100706,ASR,3969,13898,Q,
20100707,ASR,600,9650,Q,
20100708,ASR,1064,18364,Q,
20100709,ASR,300,4000,Q,
20110804,ASR,8119,14491,,0.0
