,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,ASTC,2900,25542,Q,
20100105,ASTC,8370,47248,Q,
20100106,ASTC,900,20923,Q,
20100107,ASTC,2000,7923,Q,
20100108,ASTC,7879,24084,Q,
20100111,ASTC,5810,67459,Q,
20100112,ASTC,4650,50702,Q,
20100113,ASTC,390482,721766,Q,
20100114,ASTC,480606,1193113,Q,
20100115,ASTC,88020,336425,Q,
20100119,ASTC,32902,345616,Q,
20100120,ASTC,16400,121176,Q,
20100121,ASTC,44074,97286,Q,
20100122,ASTC,71809,178997,Q,
20100125,ASTC,13850,93996,Q,
20100126,ASTC,30051,112964,Q,
20100127,ASTC,32126,108760,Q,
20100128,ASTC,61000,112153,Q,
20100129,ASTC,32070,60020,Q,
20100201,ASTC,60424,115400,Q,
20100202,ASTC,126636,243564,Q,
20100203,ASTC,156406,306112,Q,
20100204,ASTC,60195,261988,Q,
20100205,ASTC,38954,137927,Q,
20100208,ASTC,7501,51658,Q,
20100209,ASTC,57090,116727,Q,
20100210,ASTC,20076,38042,Q,
20100211,ASTC,13925,35552,Q,
20100212,ASTC,15625,42287,Q,
20100216,ASTC,46702,84954,Q,
20100217,ASTC,35546,99610,Q,
20100218,ASTC,419129,921878,Q,
20100219,ASTC,147066,523330,Q,
20100222,ASTC,156840,621618,Q,
20100223,ASTC,37504,246929,Q,
20100224,ASTC,27400,125258,Q,
20100225,ASTC,35463,222187,Q,
20100226,ASTC,32408,147269,Q,
20100301,ASTC,214893,444630,Q,
20100302,ASTC,521840,1224216,Q,
20100303,ASTC,125577,612424,Q,
20100304,ASTC,40791,275566,Q,
20100305,ASTC,81837,212939,Q,
20100308,ASTC,43267,322699,Q,
20100309,ASTC,25018,145092,Q,
20100310,ASTC,72168,158228,Q,
20100311,ASTC,58250,104157,Q,
20100312,ASTC,42046,231423,Q,
20100315,ASTC,33260,82760,Q,
20100316,ASTC,53723,291252,Q,
20100317,ASTC,77149,206791,Q,
20100318,ASTC,26265,55977,Q,
20100319,ASTC,14619,189021,Q,
20100322,ASTC,11194,111791,Q,
20100323,ASTC,19606,78646,Q,
20100324,ASTC,159833,332370,Q,
20100325,ASTC,244143,570335,Q,
20100326,ASTC,49354,291466,Q,
20100329,ASTC,28385,78328,Q,
20100330,ASTC,8160,77761,Q,
20100331,ASTC,23790,108008,Q,
20100401,ASTC,26676,60614,Q,
20100405,ASTC,33077,135267,Q,
20100406,ASTC,14493,70081,Q,
20100407,ASTC,4253,52504,Q,
20100408,ASTC,20582,89432,Q,
20100409,ASTC,5740,39672,Q,
20100412,ASTC,2798,30796,Q,
20100413,ASTC,5388,40920,Q,
20100414,ASTC,257301,480393,Q,
20100415,ASTC,66278,189914,Q,
20100416,ASTC,85381,181738,Q,
20100419,ASTC,72689,148022,Q,
20100420,ASTC,16461,81005,Q,
20100421,ASTC,69392,180875,Q,
20100422,ASTC,12924,45545,Q,
20100423,ASTC,42272,300430,Q,
20100426,ASTC,123487,1145387,Q,
20100427,ASTC,59126,142791,Q,
20100428,ASTC,24139,133127,Q,
20100429,ASTC,75708,185778,Q,
20100430,ASTC,19950,65916,Q,
20100503,ASTC,36799,310284,Q,
20100504,ASTC,5263,119940,Q,
20100510,ASTC,88674,181099,Q,
20100511,ASTC,68215,125613,Q,
20100512,ASTC,89377,161331,Q,
20100513,ASTC,75892,119781,Q,
20100517,ASTC,134962,624242,Q,
20100518,ASTC,27860,128969,Q,
20100519,ASTC,77174,162544,Q,
20100520,ASTC,43872,160776,Q,
20100521,ASTC,29277,95397,Q,
20100524,ASTC,34703,218110,Q,
20100525,ASTC,16605,50587,Q,
20100526,ASTC,55677,117566,Q,
20100527,ASTC,32316,81689,Q,
20100528,ASTC,36431,81309,Q,
20100601,ASTC,19066,72406,Q,
20100602,ASTC,8550,45272,Q,
20100603,ASTC,53685,162191,Q,
20100604,ASTC,10750,86813,Q,
20100607,ASTC,5728,69330,Q,
20100608,ASTC,60990,148135,Q,
20100609,ASTC,32923,64789,Q,
20100610,ASTC,38289,63646,Q,
20100611,ASTC,37286,60716,Q,
20100614,ASTC,64724,127861,Q,
20100615,ASTC,98895,176802,Q,
20100616,ASTC,23055,103506,Q,
20100617,ASTC,12340,33724,Q,
20100618,ASTC,22824,70516,Q,
20100621,ASTC,16812,222261,Q,
20100622,ASTC,15012,97094,Q,
20100623,ASTC,8196,43289,Q,
20100624,ASTC,9017,52502,Q,
20100625,ASTC,794,30739,Q,
20100628,ASTC,10500,34810,Q,
20100629,ASTC,19007,34918,Q,
20100630,ASTC,9072,38949,Q,
20100701,ASTC,19556,46146,Q,
20100702,ASTC,27025,82213,Q,
20100706,ASTC,19238,35678,Q,
20100707,ASTC,98074,139324,Q,
20100708,ASTC,23850,86730,Q,
20100709,ASTC,12750,68316,Q,
20110804,ASTC,5900,25156,,0.0
