,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,ATHX,568996,1911579,Q,
20100105,ATHX,171393,880303,Q,
20100106,ATHX,767793,2147827,Q,
20100107,ATHX,102795,620251,Q,
20100108,ATHX,348302,851271,Q,
20100111,ATHX,250283,545478,Q,
20100112,ATHX,271787,628358,Q,
20100113,ATHX,254176,797820,Q,
20100114,ATHX,546505,1297006,Q,
20100115,ATHX,317227,827887,Q,
20100119,ATHX,102304,451086,Q,
20100120,ATHX,251099,663520,Q,
20100121,ATHX,597919,1481805,Q,
20100122,ATHX,113711,497372,Q,
20100125,ATHX,117983,541207,Q,
20100126,ATHX,311581,563245,Q,
20100127,ATHX,56535,186167,Q,
20100128,ATHX,153521,259505,Q,
20100129,ATHX,174458,327800,Q,
20100201,ATHX,143266,346282,Q,
20100202,ATHX,430515,1019456,Q,
20100203,ATHX,134141,408654,Q,
20100204,ATHX,52000,352998,Q,
20100205,ATHX,345935,863795,Q,
20100208,ATHX,333790,1261445,Q,
20100209,ATHX,72995,482751,Q,
20100210,ATHX,1930445,5216773,Q,
20100211,ATHX,266870,1122367,Q,
20100212,ATHX,495623,1434987,Q,
20100216,ATHX,386806,1343461,Q,
20100217,ATHX,116085,546522,Q,
20100218,ATHX,69207,400580,Q,
20100219,ATHX,77555,345436,Q,
20100222,ATHX,82417,291093,Q,
20100223,ATHX,102305,262905,Q,
20100224,ATHX,22316,104396,Q,
20100225,ATHX,40529,159665,Q,
20100226,ATHX,32825,181203,Q,
20100301,ATHX,57177,142766,Q,
20100302,ATHX,37613,177786,Q,
20100303,ATHX,28050,209613,Q,
20100304,ATHX,20060,68098,Q,
20100305,ATHX,22175,119528,Q,
20100308,ATHX,42518,143391,Q,
20100309,ATHX,39173,114753,Q,
20100310,ATHX,31402,73574,Q,
20100311,ATHX,197358,443584,Q,
20100312,ATHX,75951,481987,Q,
20100315,ATHX,21257,166821,Q,
20100316,ATHX,18015,152027,Q,
20100317,ATHX,28226,273859,Q,
20100318,ATHX,72007,309970,Q,
20100319,ATHX,41554,187358,Q,
20100322,ATHX,8805,96201,Q,
20100323,ATHX,24210,131622,Q,
20100324,ATHX,72946,358105,Q,
20100325,ATHX,17218,131073,Q,
20100326,ATHX,35244,162063,Q,
20100329,ATHX,2650,43035,Q,
20100330,ATHX,11520,98385,Q,
20100331,ATHX,8110,79913,Q,
20100401,ATHX,50471,238388,Q,
20100405,ATHX,28581,68580,Q,
20100406,ATHX,8286,46026,Q,
20100407,ATHX,14900,48080,Q,
20100408,ATHX,31719,54665,Q,
20100409,ATHX,90550,214197,Q,
20100412,ATHX,160574,766334,Q,
20100413,ATHX,39304,201487,Q,
20100414,ATHX,39757,118634,Q,
20100415,ATHX,87023,232101,Q,
20100416,ATHX,46907,124088,Q,
20100419,ATHX,58832,140078,Q,
20100420,ATHX,26178,51077,Q,
20100421,ATHX,10849,23999,Q,
20100422,ATHX,32003,58016,Q,
20100423,ATHX,86208,182238,Q,
20100426,ATHX,24898,96764,Q,
20100427,ATHX,24975,71619,Q,
20100428,ATHX,18885,38485,Q,
20100429,ATHX,37322,66505,Q,
20100430,ATHX,8401,74603,Q,
20100503,ATHX,7700,59954,Q,
20100504,ATHX,15740,87910,Q,
20100510,ATHX,35452,99434,Q,
20100511,ATHX,27752,65504,Q,
20100512,ATHX,9500,45405,Q,
20100513,ATHX,4300,20027,Q,
20100517,ATHX,9842,81391,Q,
20100518,ATHX,17694,109964,Q,
20100519,ATHX,6100,73680,Q,
20100520,ATHX,31710,195408,Q,
20100521,ATHX,8128,65407,Q,
20100524,ATHX,2700,32689,Q,
20100525,ATHX,3438,39546,Q,
20100526,ATHX,6300,29427,Q,
20100527,ATHX,1500,34844,Q,
20100528,ATHX,6050,13500,Q,
20100601,ATHX,8625,42500,Q,
20100602,ATHX,18237,50207,Q,
20100603,ATHX,8248,31923,Q,
20100604,ATHX,17853,100055,Q,
20100607,ATHX,14500,37456,Q,
20100608,ATHX,10134,19892,Q,
20100609,ATHX,7468,17068,Q,
20100610,ATHX,12056,22661,Q,
20100611,ATHX,13113,28179,Q,
20100614,ATHX,19605,93974,Q,
20100615,ATHX,8366,47153,Q,
20100616,ATHX,14300,50501,Q,
20100617,ATHX,5800,34089,Q,
20100618,ATHX,3467,36604,Q,
20100621,ATHX,3500,55779,Q,
20100622,ATHX,9400,30940,Q,
20100623,ATHX,100,5500,Q,
20100624,ATHX,12314,22394,Q,
20100625,ATHX,7350,38203,Q,
20100629,ATHX,6094,57948,Q,
20100630,ATHX,882,8647,Q,
20100701,ATHX,9169,57995,Q,
20100702,ATHX,2330,22343,Q,
20100706,ATHX,15868,39004,Q,
20100707,ATHX,10129,40186,Q,
20100708,ATHX,100,13190,Q,
20100709,ATHX,6900,28166,Q,
20110804,ATHX,10150,80423,,0.0
