,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100319,AUMN,8645,54758,Q,
20100322,AUMN,2100,15070,Q,
20100324,AUMN,11580,28315,Q,
20100325,AUMN,3500,8049,Q,
20100326,AUMN,5620,21890,Q,
20100329,AUMN,1300,10070,Q,
20100330,AUMN,600,4100,Q,
20100331,AUMN,16803,47734,Q,
20100401,AUMN,11795,36430,Q,
20100405,AUMN,5690,24704,Q,
20100406,AUMN,5600,12915,Q,
20100407,AUMN,6399,14255,Q,
20100408,AUMN,185,2985,Q,
20100409,AUMN,900,12950,Q,
20100412,AUMN,11400,27680,Q,
20100413,AUMN,1455,18570,Q,
20100414,AUMN,7410,41495,Q,
20100415,AUMN,4200,33801,Q,
20100416,AUMN,5155,25557,Q,
20100419,AUMN,1183,6093,Q,
20100420,AUMN,780,26232,Q,
20100421,AUMN,2030,13596,Q,
20100422,AUMN,500,4405,Q,
20100423,AUMN,2500,5785,Q,
20100426,AUMN,7110,14120,Q,
20100427,AUMN,6700,20102,Q,
20100428,AUMN,300,2489,Q,
20100429,AUMN,1680,10950,Q,
20100430,AUMN,2800,8737,Q,
20100503,AUMN,3700,10825,Q,
20100504,AUMN,9875,23945,Q,
20100510,AUMN,8400,9865,Q,
20100511,AUMN,12400,28600,Q,
20100512,AUMN,20575,56117,Q,
20100513,AUMN,3950,6940,Q,
20100517,AUMN,8625,22580,Q,
20100518,AUMN,26310,44570,Q,
20100519,AUMN,9915,36748,Q,
20100520,AUMN,8470,16264,Q,
20100521,AUMN,8520,18635,Q,
20100524,AUMN,250,5800,Q,
20100525,AUMN,300,6395,Q,
20100526,AUMN,1500,6720,Q,
20100527,AUMN,6260,10870,Q,
20100528,AUMN,3785,7555,Q,
20100601,AUMN,1600,11344,Q,
20100602,AUMN,11020,16985,Q,
20100603,AUMN,16486,28451,Q,
20100604,AUMN,2800,5290,Q,
20100607,AUMN,405,3290,Q,
20100608,AUMN,300,2260,Q,
20100610,AUMN,4700,31000,Q,
20100614,AUMN,3800,20570,Q,
20100615,AUMN,11365,36648,Q,
20100617,AUMN,100,3877,Q,
20100618,AUMN,6473,15543,Q,
20100621,AUMN,1100,7400,Q,
20100622,AUMN,2100,10700,Q,
20100623,AUMN,3150,7795,Q,
20100624,AUMN,441,2700,Q,
20100625,AUMN,2100,4900,Q,
20100628,AUMN,7651,21101,Q,
20100629,AUMN,700,7000,Q,
20100630,AUMN,100,12375,Q,
20100701,AUMN,2400,24327,Q,
20100706,AUMN,933,5033,Q,
20100707,AUMN,300,7400,Q,
20100708,AUMN,1850,13045,Q,
20100709,AUMN,7250,20200,Q,
20110804,AUMN,5734,18150,,0.0
