,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,AVYpA,600,1409,Q,
20100105,AVYpA,500,38000,Q,
20100106,AVYpA,800,1600,Q,
20100107,AVYpA,800,2400,Q,
20100108,AVYpA,2150,2150,Q,
20100111,AVYpA,800,1528,Q,
20100112,AVYpA,200,500,Q,
20100113,AVYpA,1520,3695,Q,
20100114,AVYpA,1454,2571,Q,
20100115,AVYpA,1450,1850,Q,
20100119,AVYpA,800,1987,Q,
20100120,AVYpA,1700,2500,Q,
20100121,AVYpA,200,300,Q,
20100122,AVYpA,1200,5450,Q,
20100125,AVYpA,200,3750,Q,
20100127,AVYpA,600,3025,Q,
20100128,AVYpA,300,1650,Q,
20100129,AVYpA,1760,11193,Q,
20100201,AVYpA,1665,4115,Q,
20100202,AVYpA,2300,4519,Q,
20100203,AVYpA,1000,1700,Q,
20100204,AVYpA,133,333,Q,
20100205,AVYpA,925,1425,Q,
20100208,AVYpA,235,510,Q,
20100209,AVYpA,500,700,Q,
20100211,AVYpA,600,700,Q,
20100212,AVYpA,100,100,Q,
20100216,AVYpA,195,195,Q,
20100217,AVYpA,600,765,Q,
20100218,AVYpA,483,483,Q,
20100219,AVYpA,215,215,Q,
20100223,AVYpA,1360,2760,Q,
20100224,AVYpA,1775,1875,Q,
20100225,AVYpA,1000,1500,Q,
20100226,AVYpA,100,585,Q,
20100301,AVYpA,1650,1755,Q,
20100302,AVYpA,400,670,Q,
20100303,AVYpA,550,925,Q,
20100304,AVYpA,25800,29000,Q,
20100305,AVYpA,200,2633,Q,
20100308,AVYpA,700,8300,Q,
20100309,AVYpA,200,1500,Q,
20100310,AVYpA,1400,2300,Q,
20100311,AVYpA,2550,4550,Q,
20100312,AVYpA,1730,2430,Q,
20100315,AVYpA,275,615,Q,
20100316,AVYpA,425,525,Q,
20100317,AVYpA,2050,2050,Q,
20100318,AVYpA,795,1295,Q,
20100322,AVYpA,200,200,Q,
20100323,AVYpA,1100,3500,Q,
20100324,AVYpA,300,1100,Q,
20100330,AVYpA,100,850,Q,
20100405,AVYpA,200,600,Q,
20100407,AVYpA,500,750,Q,
20100408,AVYpA,200,1100,Q,
20100412,AVYpA,700,1000,Q,
20100415,AVYpA,250,1450,Q,
20100416,AVYpA,300,2150,Q,
20100419,AVYpA,1633,1833,Q,
20100420,AVYpA,800,1250,Q,
20100423,AVYpA,433,1283,Q,
20100426,AVYpA,500,1875,Q,
20100427,AVYpA,3185,13152,Q,
20100428,AVYpA,100,5420,Q,
20100430,AVYpA,105,6255,Q,
20100504,AVYpA,36400,62800,Q,
20100510,AVYpA,600,1700,Q,
20100511,AVYpA,59600,60110,Q,
20100512,AVYpA,2100,3095,Q,
20100518,AVYpA,100,1700,Q,
20100519,AVYpA,300,1200,Q,
20100526,AVYpA,300,1000,Q,
20100528,AVYpA,300,1100,Q,
20100609,AVYpA,300,725,Q,
20100615,AVYpA,1800,4515,Q,
20100629,AVYpA,305,705,Q,
20100630,AVYpA,370,790,Q,
20100702,AVYpA,400,650,Q,
20100706,AVYpA,350,450,Q,
20100707,AVYpA,149,449,Q,
20100708,AVYpA,400,2300,Q,
