,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,AWF,72651,168724,Q,
20100105,AWF,29618,160866,Q,
20100106,AWF,30395,113499,Q,
20100107,AWF,38215,116885,Q,
20100108,AWF,24100,118411,Q,
20100111,AWF,40717,160366,Q,
20100112,AWF,40233,168425,Q,
20100113,AWF,26463,140466,Q,
20100114,AWF,38209,153959,Q,
20100115,AWF,27737,131171,Q,
20100119,AWF,75498,191305,Q,
20100120,AWF,38434,121954,Q,
20100121,AWF,47706,134680,Q,
20100122,AWF,47020,159318,Q,
20100125,AWF,37299,176038,Q,
20100126,AWF,35290,169611,Q,
20100127,AWF,38622,155156,Q,
20100128,AWF,44803,157026,Q,
20100129,AWF,47627,152338,Q,
20100201,AWF,38634,136210,Q,
20100202,AWF,75141,154240,Q,
20100203,AWF,40238,87032,Q,
20100204,AWF,65934,411499,Q,
20100205,AWF,105535,1093010,Q,
20100208,AWF,109979,322625,Q,
20100209,AWF,50581,216232,Q,
20100210,AWF,46058,140728,Q,
20100211,AWF,68235,147762,Q,
20100212,AWF,34145,101357,Q,
20100216,AWF,67096,208339,Q,
20100217,AWF,42437,130312,Q,
20100218,AWF,51841,160956,Q,
20100219,AWF,37215,165634,Q,
20100222,AWF,68634,190076,Q,
20100223,AWF,37432,116877,Q,
20100224,AWF,63805,118101,Q,
20100225,AWF,62923,94679,Q,
20100226,AWF,67539,127913,Q,
20100301,AWF,81752,142477,Q,
20100302,AWF,96096,146916,Q,
20100303,AWF,63393,151137,Q,
20100304,AWF,33531,109317,Q,
20100305,AWF,54171,153882,Q,
20100308,AWF,38727,101391,Q,
20100309,AWF,41563,95693,Q,
20100310,AWF,23711,124878,Q,
20100311,AWF,20626,102179,Q,
20100312,AWF,21665,92445,Q,
20100315,AWF,22819,109508,Q,
20100316,AWF,40646,190311,Q,
20100317,AWF,39926,164619,Q,
20100318,AWF,29079,146943,Q,
20100319,AWF,32868,171826,Q,
20100322,AWF,75573,224077,Q,
20100323,AWF,58047,114311,Q,
20100324,AWF,58983,122164,Q,
20100325,AWF,60578,149055,Q,
20100326,AWF,31891,106854,Q,
20100329,AWF,27460,133559,Q,
20100330,AWF,27272,119111,Q,
20100331,AWF,15068,121678,Q,
20100401,AWF,41481,132520,Q,
20100405,AWF,85990,177006,Q,
20100406,AWF,63839,175765,Q,
20100407,AWF,33361,114613,Q,
20100408,AWF,16708,73313,Q,
20100409,AWF,33951,90146,Q,
20100412,AWF,28049,118695,Q,
20100413,AWF,68536,128987,Q,
20100414,AWF,45823,117282,Q,
20100415,AWF,35207,140002,Q,
20100416,AWF,18733,153852,Q,
20100419,AWF,64884,126933,Q,
20100420,AWF,30942,102707,Q,
20100421,AWF,25598,128602,Q,
20100422,AWF,10949,110092,Q,
20100423,AWF,37683,152669,Q,
20100426,AWF,53785,208690,Q,
20100427,AWF,35319,247810,Q,
20100428,AWF,50990,165332,Q,
20100429,AWF,36813,186101,Q,
20100430,AWF,21135,106137,Q,
20100503,AWF,33055,132585,Q,
20100504,AWF,65306,171872,Q,
20100510,AWF,144106,289764,Q,
20100511,AWF,118404,189939,Q,
20100512,AWF,103689,184683,Q,
20100513,AWF,30345,85566,Q,
20100517,AWF,34071,198591,Q,
20100518,AWF,30440,118597,Q,
20100519,AWF,38270,271527,Q,
20100520,AWF,32336,300276,Q,
20100521,AWF,50565,251680,Q,
20100524,AWF,55862,159930,Q,
20100525,AWF,26058,185110,Q,
20100526,AWF,30222,153122,Q,
20100527,AWF,44663,170018,Q,
20100528,AWF,24735,87574,Q,
20100601,AWF,43546,117455,Q,
20100602,AWF,32710,65387,Q,
20100603,AWF,46240,115903,Q,
20100604,AWF,64740,159842,Q,
20100607,AWF,29414,86328,Q,
20100608,AWF,40908,110888,Q,
20100609,AWF,38189,72806,Q,
20100610,AWF,77018,131279,Q,
20100611,AWF,31762,57065,Q,
20100614,AWF,47203,137373,Q,
20100615,AWF,50810,161721,Q,
20100616,AWF,51364,119775,Q,
20100617,AWF,44667,78309,Q,
20100618,AWF,42886,92662,Q,
20100621,AWF,50149,120057,Q,
20100622,AWF,31993,66987,Q,
20100623,AWF,48069,85471,Q,
20100624,AWF,32465,61400,Q,
20100625,AWF,19670,61683,Q,
20100628,AWF,19370,77765,Q,
20100629,AWF,24669,119420,Q,
20100630,AWF,16508,59524,Q,
20100701,AWF,14700,171590,Q,
20100702,AWF,25746,112793,Q,
20100706,AWF,34688,114922,Q,
20100707,AWF,20876,77870,Q,
20100708,AWF,17174,112526,Q,
20100709,AWF,177953,244220,Q,
20110804,AWF,34225,153957,,0.0
