,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,AZN,112580,240920,Q,
20100105,AZN,93268,259927,Q,
20100106,AZN,172555,313426,Q,
20100107,AZN,291369,845069,Q,
20100108,AZN,122897,219957,Q,
20100111,AZN,563266,1327228,Q,
20100112,AZN,436471,544614,Q,
20100113,AZN,254694,385779,Q,
20100114,AZN,909790,1048976,Q,
20100115,AZN,86620,140977,Q,
20100119,AZN,215655,663930,Q,
20100120,AZN,204056,360549,Q,
20100121,AZN,767695,1028712,Q,
20100122,AZN,70534,376760,Q,
20100125,AZN,141134,230280,Q,
20100126,AZN,142778,588700,Q,
20100127,AZN,137744,300670,Q,
20100128,AZN,534566,1868018,Q,
20100129,AZN,77662,235088,Q,
20100201,AZN,124289,328509,Q,
20100202,AZN,199566,394468,Q,
20100203,AZN,150234,321749,Q,
20100204,AZN,111974,401203,Q,
20100205,AZN,299653,586614,Q,
20100208,AZN,101361,319060,Q,
20100209,AZN,389158,1099677,Q,
20100210,AZN,388196,489535,Q,
20100211,AZN,63215,300518,Q,
20100212,AZN,76894,184793,Q,
20100216,AZN,51159,146440,Q,
20100217,AZN,44344,200259,Q,
20100218,AZN,45461,185485,Q,
20100219,AZN,140837,270534,Q,
20100222,AZN,53055,149461,Q,
20100223,AZN,79140,157902,Q,
20100224,AZN,69742,123953,Q,
20100225,AZN,76228,153399,Q,
20100226,AZN,521730,894507,Q,
20100301,AZN,495379,849363,Q,
20100302,AZN,160654,254931,Q,
20100303,AZN,92979,179760,Q,
20100304,AZN,94929,166886,Q,
20100305,AZN,104921,267055,Q,
20100308,AZN,230627,697517,Q,
20100309,AZN,98057,177585,Q,
20100310,AZN,94919,229409,Q,
20100311,AZN,89405,235332,Q,
20100312,AZN,100604,286488,Q,
20100315,AZN,94497,411116,Q,
20100316,AZN,109354,252847,Q,
20100317,AZN,85635,162827,Q,
20100318,AZN,85594,197658,Q,
20100319,AZN,93375,194778,Q,
20100322,AZN,207119,346032,Q,
20100323,AZN,179661,243875,Q,
20100324,AZN,106327,239990,Q,
20100325,AZN,81154,175881,Q,
20100326,AZN,70620,121759,Q,
20100329,AZN,80325,125815,Q,
20100330,AZN,94821,301486,Q,
20100331,AZN,108047,180163,Q,
20100401,AZN,110614,180705,Q,
20100405,AZN,71281,132330,Q,
20100406,AZN,87047,145737,Q,
20100407,AZN,121284,236217,Q,
20100408,AZN,78556,239767,Q,
20100409,AZN,348268,408695,Q,
20100412,AZN,81572,140056,Q,
20100413,AZN,159681,227581,Q,
20100414,AZN,132567,188290,Q,
20100415,AZN,106248,161031,Q,
20100416,AZN,233979,762914,Q,
20100419,AZN,97428,203798,Q,
20100420,AZN,223234,279906,Q,
20100421,AZN,404889,598668,Q,
20100422,AZN,120398,213431,Q,
20100423,AZN,87920,144371,Q,
20100426,AZN,197863,271302,Q,
20100427,AZN,216032,356796,Q,
20100428,AZN,146999,403945,Q,
20100429,AZN,292846,452005,Q,
20100430,AZN,213705,450229,Q,
20100503,AZN,92958,457890,Q,
20100504,AZN,71858,294159,Q,
20100510,AZN,149211,333045,Q,
20100511,AZN,91382,173776,Q,
20100512,AZN,366910,515480,Q,
20100513,AZN,700384,877883,Q,
20100517,AZN,235424,503942,Q,
20100518,AZN,423858,566013,Q,
20100519,AZN,402529,710945,Q,
20100520,AZN,476162,885145,Q,
20100521,AZN,292797,539424,Q,
20100524,AZN,213689,379646,Q,
20100525,AZN,447856,663738,Q,
20100526,AZN,548993,766778,Q,
20100527,AZN,213010,445870,Q,
20100528,AZN,212228,522582,Q,
20100601,AZN,275096,582037,Q,
20100602,AZN,310106,936015,Q,
20100603,AZN,392788,555790,Q,
20100604,AZN,366752,524508,Q,
20100607,AZN,329638,447434,Q,
20100608,AZN,458057,541499,Q,
20100609,AZN,121943,313143,Q,
20100610,AZN,268327,534500,Q,
20100611,AZN,616187,904565,Q,
20100614,AZN,256156,418616,Q,
20100615,AZN,185041,334653,Q,
20100616,AZN,176241,331207,Q,
20100617,AZN,95575,234913,Q,
20100618,AZN,137311,236729,Q,
20100621,AZN,133596,378881,Q,
20100622,AZN,155096,338280,Q,
20100623,AZN,132180,236746,Q,
20100624,AZN,128614,210662,Q,
20100625,AZN,137328,238232,Q,
20100628,AZN,143663,225299,Q,
20100629,AZN,853729,1262287,Q,
20100630,AZN,775225,1304592,Q,
20100701,AZN,243054,1156776,Q,
20100702,AZN,198931,382185,Q,
20100706,AZN,149141,430248,Q,
20100707,AZN,214890,417547,Q,
20100708,AZN,144967,427024,Q,
20100709,AZN,126655,234592,Q,
20110804,AZN,283163,945784,,0.0
