,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,BCA,300,1726,Q,
20100107,BCA,200,7200,Q,
20100108,BCA,350,1150,Q,
20100111,BCA,140,1540,Q,
20100112,BCA,1200,1900,Q,
20100113,BCA,100,200,Q,
20100115,BCA,200,650,Q,
20100121,BCA,2100,2700,Q,
20100122,BCA,1000,2690,Q,
20100125,BCA,200,400,Q,
20100126,BCA,200,200,Q,
20100127,BCA,100,600,Q,
20100129,BCA,220,520,Q,
20100204,BCA,600,1548,Q,
20100209,BCA,500,800,Q,
20100210,BCA,235,335,Q,
20100216,BCA,110,110,Q,
20100217,BCA,100,100,Q,
20100218,BCA,400,500,Q,
20100222,BCA,200,500,Q,
20100223,BCA,180,180,Q,
20100224,BCA,2100,2450,Q,
20100225,BCA,100,100,Q,
20100226,BCA,200,785,Q,
20100301,BCA,220,220,Q,
20100303,BCA,1426,2361,Q,
20100305,BCA,200,600,Q,
20100308,BCA,200,300,Q,
20100310,BCA,7300,9200,Q,
20100316,BCA,3100,4215,Q,
20100317,BCA,100,300,Q,
20100318,BCA,127,372,Q,
20100322,BCA,100,200,Q,
20100323,BCA,100,505,Q,
20100324,BCA,15400,20855,Q,
20100325,BCA,200,1000,Q,
20100331,BCA,300,700,Q,
20100401,BCA,290,1350,Q,
20100406,BCA,200,500,Q,
20100407,BCA,100,600,Q,
20100412,BCA,400,1150,Q,
20100413,BCA,100,7886,Q,
20100414,BCA,540,1340,Q,
20100416,BCA,235,235,Q,
20100421,BCA,816,816,Q,
20100423,BCA,200,300,Q,
20100427,BCA,6721,16011,Q,
20100428,BCA,2072,4897,Q,
20100429,BCA,850,1350,Q,
20100430,BCA,820,2395,Q,
20100503,BCA,1825,1975,Q,
20100510,BCA,955,1400,Q,
20100513,BCA,500,3346,Q,
20100517,BCA,1840,2540,Q,
20100518,BCA,500,3202,Q,
20100521,BCA,160,2400,Q,
20100524,BCA,100,1033,Q,
20100525,BCA,200,912,Q,
20100602,BCA,899,1879,Q,
20100603,BCA,200,596,Q,
20100604,BCA,100,1110,Q,
20100607,BCA,1200,2500,Q,
20100608,BCA,500,1300,Q,
20100609,BCA,400,1100,Q,
20100610,BCA,1000,2100,Q,
20100611,BCA,900,1300,Q,
20100614,BCA,2000,2800,Q,
20100615,BCA,2383,4783,Q,
20100616,BCA,100,100,Q,
20100621,BCA,900,1100,Q,
20100622,BCA,100,500,Q,
20100623,BCA,550,700,Q,
20100624,BCA,350,458,Q,
20100625,BCA,350,350,Q,
20100628,BCA,300,300,Q,
20100629,BCA,200,1374,Q,
20100630,BCA,608,1676,Q,
20100701,BCA,1100,2500,Q,
20100702,BCA,100,400,Q,
20100707,BCA,2090,3260,Q,
20100708,BCA,590,590,Q,
20100709,BCA,400,400,Q,
20110804,BCA,2259,7990,,0.0
