,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,BCH,600,1577,Q,
20100105,BCH,800,1250,Q,
20100106,BCH,1900,3895,Q,
20100107,BCH,3054,6503,Q,
20100108,BCH,398,1198,Q,
20100111,BCH,1000,4146,Q,
20100112,BCH,1761,2361,Q,
20100113,BCH,800,1500,Q,
20100114,BCH,900,3849,Q,
20100115,BCH,951,2322,Q,
20100119,BCH,964,2150,Q,
20100120,BCH,1460,3686,Q,
20100121,BCH,582,1082,Q,
20100122,BCH,900,2600,Q,
20100125,BCH,269,869,Q,
20100126,BCH,400,2419,Q,
20100128,BCH,530,58246,Q,
20100129,BCH,900,2331,Q,
20100201,BCH,1800,2600,Q,
20100202,BCH,1000,3100,Q,
20100203,BCH,7384,8434,Q,
20100204,BCH,1400,2606,Q,
20100205,BCH,2500,5423,Q,
20100208,BCH,12358,16696,Q,
20100209,BCH,4149,10478,Q,
20100210,BCH,200,600,Q,
20100211,BCH,596,3455,Q,
20100212,BCH,600,2396,Q,
20100216,BCH,300,1594,Q,
20100217,BCH,600,1350,Q,
20100218,BCH,522,1374,Q,
20100219,BCH,1213,3954,Q,
20100222,BCH,2800,3899,Q,
20100223,BCH,1150,2250,Q,
20100224,BCH,1464,2264,Q,
20100225,BCH,1650,2150,Q,
20100226,BCH,3180,4980,Q,
20100301,BCH,3615,7478,Q,
20100302,BCH,3002,4986,Q,
20100303,BCH,1750,4438,Q,
20100304,BCH,700,2020,Q,
20100305,BCH,1623,2923,Q,
20100308,BCH,2497,4027,Q,
20100309,BCH,1865,4565,Q,
20100310,BCH,3400,5160,Q,
20100311,BCH,7460,9212,Q,
20100312,BCH,3692,7103,Q,
20100315,BCH,5805,8455,Q,
20100316,BCH,5398,14798,Q,
20100317,BCH,3980,8488,Q,
20100318,BCH,568,3883,Q,
20100319,BCH,1874,7630,Q,
20100322,BCH,1560,9170,Q,
20100323,BCH,500,2287,Q,
20100324,BCH,7100,11771,Q,
20100325,BCH,2400,8627,Q,
20100326,BCH,3371,6841,Q,
20100329,BCH,400,4775,Q,
20100330,BCH,100,1200,Q,
20100401,BCH,120,723,Q,
20100405,BCH,1135,8244,Q,
20100406,BCH,100,2002,Q,
20100407,BCH,2002,3617,Q,
20100408,BCH,2625,5888,Q,
20100409,BCH,1775,4199,Q,
20100412,BCH,1800,3777,Q,
20100413,BCH,1896,3501,Q,
20100414,BCH,1000,2029,Q,
20100415,BCH,101,1007,Q,
20100416,BCH,1248,1850,Q,
20100419,BCH,611,1819,Q,
20100420,BCH,100,553,Q,
20100421,BCH,2752,4423,Q,
20100422,BCH,300,1550,Q,
20100423,BCH,200,502,Q,
20100426,BCH,925,1325,Q,
20100427,BCH,600,2678,Q,
20100428,BCH,2700,3520,Q,
20100429,BCH,940,2710,Q,
20100430,BCH,2725,3325,Q,
20100503,BCH,4041,6623,Q,
20100504,BCH,2113,5978,Q,
20100510,BCH,100,650,Q,
20100512,BCH,1100,2416,Q,
20100513,BCH,400,1100,Q,
20100517,BCH,1216,3146,Q,
20100518,BCH,100,6549,Q,
20100520,BCH,100,1312,Q,
20100521,BCH,400,1117,Q,
20100524,BCH,400,2345,Q,
20100526,BCH,435,935,Q,
20100527,BCH,338,1538,Q,
20100528,BCH,800,1400,Q,
20100601,BCH,170,1379,Q,
20100602,BCH,100,2123,Q,
20100603,BCH,108,522,Q,
20100604,BCH,200,900,Q,
20100609,BCH,1506,2606,Q,
20100610,BCH,100,659,Q,
20100611,BCH,100,616,Q,
20100614,BCH,100,692,Q,
20100615,BCH,350,903,Q,
20100616,BCH,753,1363,Q,
20100617,BCH,328,328,Q,
20100621,BCH,800,1767,Q,
20100622,BCH,1150,1250,Q,
20100623,BCH,200,900,Q,
20100624,BCH,1000,1300,Q,
20100625,BCH,200,1700,Q,
20100628,BCH,400,2198,Q,
20100629,BCH,800,2496,Q,
20100630,BCH,300,1120,Q,
20100701,BCH,1400,3492,Q,
20100702,BCH,800,1265,Q,
20100706,BCH,1617,2349,Q,
20100707,BCH,550,1610,Q,
20100708,BCH,1800,2918,Q,
20100709,BCH,1625,2775,Q,
20110804,BCH,1133,9370,,0.0
