,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,BDNpD,2700,3320,Q,
20100108,BDNpD,500,1500,Q,
20100111,BDNpD,700,68370,Q,
20100114,BDNpD,200,350,Q,
20100115,BDNpD,100,1000,Q,
20100119,BDNpD,100,65100,Q,
20100122,BDNpD,100,542,Q,
20100201,BDNpD,200,500,Q,
20100205,BDNpD,1700,3300,Q,
20100219,BDNpD,300,1200,Q,
20100223,BDNpD,400,900,Q,
20100224,BDNpD,280,692,Q,
20100225,BDNpD,1684,3623,Q,
20100226,BDNpD,710,1410,Q,
20100301,BDNpD,800,1213,Q,
20100310,BDNpD,200,811,Q,
20100312,BDNpD,659,1359,Q,
20100315,BDNpD,1050,1950,Q,
20100316,BDNpD,105,12560,Q,
20100317,BDNpD,700,1510,Q,
20100322,BDNpD,100,450,Q,
20100324,BDNpD,100,100,Q,
20100405,BDNpD,600,1925,Q,
20100408,BDNpD,718,818,Q,
20100409,BDNpD,100,100,Q,
20100412,BDNpD,110,860,Q,
20100413,BDNpD,600,3600,Q,
20100416,BDNpD,610,1110,Q,
20100420,BDNpD,228,850,Q,
20100421,BDNpD,308,1308,Q,
20100422,BDNpD,1695,2595,Q,
20100423,BDNpD,428,428,Q,
20100429,BDNpD,1552,1652,Q,
20100503,BDNpD,110,110,Q,
20100520,BDNpD,1300,3000,Q,
20100521,BDNpD,1270,2370,Q,
20100524,BDNpD,1100,1320,Q,
20100527,BDNpD,250,600,Q,
20100601,BDNpD,1950,2707,Q,
20100602,BDNpD,220,220,Q,
20100603,BDNpD,556,556,Q,
20100604,BDNpD,223,323,Q,
20100611,BDNpD,107,107,Q,
20100616,BDNpD,400,400,Q,
20100618,BDNpD,300,300,Q,
20100622,BDNpD,213,213,Q,
20100629,BDNpD,300,300,Q,
20100701,BDNpD,100,13100,Q,
