,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,BEAV,161142,430713,Q,
20100105,BEAV,273427,586187,Q,
20100106,BEAV,247442,486527,Q,
20100107,BEAV,83124,232914,Q,
20100108,BEAV,57779,190558,Q,
20100111,BEAV,79411,147302,Q,
20100112,BEAV,80983,268831,Q,
20100113,BEAV,81181,186188,Q,
20100114,BEAV,49838,124353,Q,
20100115,BEAV,38901,133986,Q,
20100119,BEAV,17936,325246,Q,
20100120,BEAV,22974,92882,Q,
20100121,BEAV,121484,374211,Q,
20100122,BEAV,86616,210380,Q,
20100125,BEAV,26987,141239,Q,
20100126,BEAV,93947,242046,Q,
20100127,BEAV,120011,212069,Q,
20100128,BEAV,59642,139827,Q,
20100129,BEAV,59212,199279,Q,
20100201,BEAV,81102,309763,Q,
20100202,BEAV,517984,1178029,Q,
20100203,BEAV,152126,361826,Q,
20100204,BEAV,136517,336366,Q,
20100205,BEAV,145353,311887,Q,
20100208,BEAV,64585,208669,Q,
20100209,BEAV,41807,98656,Q,
20100210,BEAV,68497,234942,Q,
20100211,BEAV,214006,409352,Q,
20100212,BEAV,78875,182753,Q,
20100216,BEAV,82369,253124,Q,
20100217,BEAV,72218,260601,Q,
20100218,BEAV,29296,196562,Q,
20100219,BEAV,94493,252076,Q,
20100222,BEAV,38623,90872,Q,
20100223,BEAV,97403,223119,Q,
20100224,BEAV,140104,280959,Q,
20100225,BEAV,51997,160480,Q,
20100226,BEAV,91931,183011,Q,
20100301,BEAV,205722,517796,Q,
20100302,BEAV,87192,381287,Q,
20100303,BEAV,93531,511655,Q,
20100304,BEAV,85591,639940,Q,
20100305,BEAV,137072,492387,Q,
20100308,BEAV,51917,247337,Q,
20100309,BEAV,67913,271684,Q,
20100310,BEAV,52407,212951,Q,
20100311,BEAV,286388,562860,Q,
20100312,BEAV,147677,653592,Q,
20100315,BEAV,67263,374686,Q,
20100316,BEAV,98894,497293,Q,
20100317,BEAV,78039,166349,Q,
20100318,BEAV,27027,118888,Q,
20100319,BEAV,144902,333580,Q,
20100322,BEAV,137491,339099,Q,
20100323,BEAV,125734,341964,Q,
20100324,BEAV,127195,457993,Q,
20100325,BEAV,148786,366118,Q,
20100326,BEAV,73533,155375,Q,
20100329,BEAV,148463,347966,Q,
20100330,BEAV,68145,223175,Q,
20100331,BEAV,102482,247821,Q,
20100401,BEAV,40232,222133,Q,
20100405,BEAV,70090,299611,Q,
20100406,BEAV,61406,342558,Q,
20100407,BEAV,53264,212188,Q,
20100408,BEAV,33788,176433,Q,
20100409,BEAV,50943,410945,Q,
20100412,BEAV,33062,139340,Q,
20100413,BEAV,50074,235774,Q,
20100414,BEAV,68263,193132,Q,
20100415,BEAV,30201,155152,Q,
20100416,BEAV,68225,237055,Q,
20100419,BEAV,70742,224992,Q,
20100420,BEAV,27043,182693,Q,
20100421,BEAV,83136,238199,Q,
20100422,BEAV,141786,560425,Q,
20100423,BEAV,90014,195035,Q,
20100426,BEAV,107117,247652,Q,
20100427,BEAV,281042,656232,Q,
20100428,BEAV,123102,488230,Q,
20100429,BEAV,183983,426277,Q,
20100430,BEAV,83776,219138,Q,
20100503,BEAV,49519,238438,Q,
20100504,BEAV,158938,515323,Q,
20100510,BEAV,108372,381421,Q,
20100511,BEAV,101937,374375,Q,
20100512,BEAV,161921,547354,Q,
20100513,BEAV,241505,599654,Q,
20100517,BEAV,135776,278931,Q,
20100518,BEAV,149519,366181,Q,
20100519,BEAV,161280,415187,Q,
20100520,BEAV,182799,505041,Q,
20100521,BEAV,217761,618469,Q,
20100524,BEAV,178662,443545,Q,
20100525,BEAV,167866,601324,Q,
20100526,BEAV,71739,232325,Q,
20100527,BEAV,131093,353062,Q,
20100528,BEAV,85120,171080,Q,
20100601,BEAV,102564,179265,Q,
20100602,BEAV,82740,178089,Q,
20100603,BEAV,49216,126517,Q,
20100604,BEAV,86538,175602,Q,
20100607,BEAV,137962,344672,Q,
20100608,BEAV,108517,258821,Q,
20100609,BEAV,63926,223983,Q,
20100610,BEAV,56520,194775,Q,
20100611,BEAV,86578,190793,Q,
20100614,BEAV,59465,269878,Q,
20100615,BEAV,73742,210239,Q,
20100616,BEAV,134286,308835,Q,
20100617,BEAV,40279,124278,Q,
20100618,BEAV,48931,128271,Q,
20100621,BEAV,50590,143880,Q,
20100622,BEAV,52073,141443,Q,
20100623,BEAV,50036,224933,Q,
20100624,BEAV,63706,164526,Q,
20100625,BEAV,86251,437361,Q,
20100628,BEAV,76938,151587,Q,
20100629,BEAV,206741,312618,Q,
20100630,BEAV,95840,206632,Q,
20100701,BEAV,122668,289347,Q,
20100702,BEAV,40504,94514,Q,
20100706,BEAV,88309,174839,Q,
20100707,BEAV,124746,241315,Q,
20100708,BEAV,88749,196205,Q,
20100709,BEAV,45900,80513,Q,
20110804,BEAV,74326,157357,,0.0
