,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,BELFB,1397,2997,Q,
20100105,BELFB,2700,3350,Q,
20100106,BELFB,1212,3050,Q,
20100107,BELFB,2046,6802,Q,
20100108,BELFB,100,700,Q,
20100111,BELFB,300,2100,Q,
20100112,BELFB,300,2390,Q,
20100113,BELFB,1400,2700,Q,
20100114,BELFB,1798,12993,Q,
20100115,BELFB,897,2997,Q,
20100119,BELFB,2151,5051,Q,
20100120,BELFB,3100,5854,Q,
20100121,BELFB,1400,4300,Q,
20100122,BELFB,900,2000,Q,
20100125,BELFB,200,1400,Q,
20100126,BELFB,2466,3833,Q,
20100127,BELFB,1876,2380,Q,
20100128,BELFB,3357,6020,Q,
20100129,BELFB,2644,8477,Q,
20100201,BELFB,1300,2407,Q,
20100202,BELFB,900,2296,Q,
20100203,BELFB,4555,11164,Q,
20100204,BELFB,1100,2300,Q,
20100205,BELFB,275,1275,Q,
20100208,BELFB,800,2900,Q,
20100209,BELFB,1347,3519,Q,
20100210,BELFB,1895,6195,Q,
20100211,BELFB,3800,6910,Q,
20100212,BELFB,1734,4969,Q,
20100216,BELFB,2600,4000,Q,
20100217,BELFB,3513,12010,Q,
20100218,BELFB,200,13259,Q,
20100219,BELFB,1800,1900,Q,
20100222,BELFB,716,6580,Q,
20100223,BELFB,504,2498,Q,
20100224,BELFB,200,1200,Q,
20100225,BELFB,1002,3302,Q,
20100226,BELFB,1312,2612,Q,
20100301,BELFB,1256,4756,Q,
20100302,BELFB,1600,5090,Q,
20100303,BELFB,1101,1601,Q,
20100304,BELFB,221,1019,Q,
20100305,BELFB,340,2208,Q,
20100309,BELFB,1514,2984,Q,
20100310,BELFB,855,3647,Q,
20100311,BELFB,300,500,Q,
20100312,BELFB,4120,8020,Q,
20100315,BELFB,800,2670,Q,
20100317,BELFB,1564,2164,Q,
20100318,BELFB,100,1575,Q,
20100322,BELFB,100,3575,Q,
20100323,BELFB,100,1100,Q,
20100324,BELFB,2996,4492,Q,
20100325,BELFB,200,2040,Q,
20100329,BELFB,500,1369,Q,
20100330,BELFB,2500,5600,Q,
20100331,BELFB,2117,4400,Q,
20100401,BELFB,300,3900,Q,
20100405,BELFB,3056,4456,Q,
20100406,BELFB,4700,6990,Q,
20100407,BELFB,4994,6772,Q,
20100408,BELFB,1108,4279,Q,
20100409,BELFB,2600,5325,Q,
20100412,BELFB,7502,8602,Q,
20100413,BELFB,1100,2200,Q,
20100414,BELFB,1600,5297,Q,
20100415,BELFB,1258,5139,Q,
20100416,BELFB,100,8342,Q,
20100419,BELFB,400,8595,Q,
20100420,BELFB,1283,2538,Q,
20100421,BELFB,700,2974,Q,
20100422,BELFB,683,1583,Q,
20100423,BELFB,1205,4770,Q,
20100426,BELFB,200,3006,Q,
20100427,BELFB,1891,5211,Q,
20100428,BELFB,2004,4022,Q,
20100429,BELFB,1652,3852,Q,
20100430,BELFB,2277,4827,Q,
20100503,BELFB,1700,7299,Q,
20100504,BELFB,300,2871,Q,
20100510,BELFB,1599,15564,Q,
20100511,BELFB,900,6221,Q,
20100512,BELFB,300,5210,Q,
20100513,BELFB,7194,9093,Q,
20100517,BELFB,1945,4545,Q,
20100518,BELFB,2078,9046,Q,
20100519,BELFB,2400,8144,Q,
20100520,BELFB,1845,4125,Q,
20100521,BELFB,1820,5186,Q,
20100524,BELFB,126,1876,Q,
20100525,BELFB,3300,7600,Q,
20100526,BELFB,400,3425,Q,
20100527,BELFB,3125,5525,Q,
20100528,BELFB,1200,14140,Q,
20100601,BELFB,900,6696,Q,
20100602,BELFB,2213,6477,Q,
20100603,BELFB,1444,7544,Q,
20100604,BELFB,2468,5727,Q,
20100607,BELFB,1622,6401,Q,
20100608,BELFB,4503,13343,Q,
20100609,BELFB,1100,5193,Q,
20100610,BELFB,2500,3947,Q,
20100611,BELFB,6259,9159,Q,
20100614,BELFB,5597,12453,Q,
20100615,BELFB,8781,10875,Q,
20100616,BELFB,13024,17064,Q,
20100617,BELFB,2500,9913,Q,
20100618,BELFB,3401,14001,Q,
20100621,BELFB,800,3100,Q,
20100622,BELFB,2091,7603,Q,
20100623,BELFB,100,580,Q,
20100624,BELFB,1612,2772,Q,
20100625,BELFB,3940,7840,Q,
20100628,BELFB,1284,2384,Q,
20100629,BELFB,2950,4286,Q,
20100630,BELFB,1643,5232,Q,
20100701,BELFB,1390,3750,Q,
20100702,BELFB,796,1696,Q,
20100706,BELFB,1501,2448,Q,
20100707,BELFB,492,1983,Q,
20100708,BELFB,750,2090,Q,
20100709,BELFB,272,847,Q,
20110804,BELFB,700,2030,,0.0
