,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,BFY,2595,4145,Q,
20100105,BFY,2200,7865,Q,
20100106,BFY,700,2500,Q,
20100108,BFY,400,1360,Q,
20100111,BFY,1250,4592,Q,
20100112,BFY,300,1445,Q,
20100113,BFY,500,4713,Q,
20100114,BFY,1250,1835,Q,
20100115,BFY,300,4689,Q,
20100119,BFY,133,2233,Q,
20100121,BFY,750,894,Q,
20100125,BFY,100,1110,Q,
20100127,BFY,6685,8920,Q,
20100128,BFY,400,3085,Q,
20100129,BFY,1800,4650,Q,
20100201,BFY,267,267,Q,
20100203,BFY,100,1964,Q,
20100205,BFY,3000,9751,Q,
20100208,BFY,950,3857,Q,
20100209,BFY,743,6367,Q,
20100210,BFY,1625,5184,Q,
20100212,BFY,1200,2400,Q,
20100217,BFY,5900,10172,Q,
20100218,BFY,1000,1000,Q,
20100219,BFY,636,9233,Q,
20100222,BFY,697,3647,Q,
20100223,BFY,1400,3636,Q,
20100224,BFY,200,3636,Q,
20100226,BFY,1100,5259,Q,
20100301,BFY,750,1858,Q,
20100302,BFY,5350,6722,Q,
20100303,BFY,2666,8311,Q,
20100304,BFY,600,3615,Q,
20100305,BFY,891,1841,Q,
20100308,BFY,2300,6808,Q,
20100309,BFY,800,910,Q,
20100310,BFY,3831,5333,Q,
20100312,BFY,1591,2371,Q,
20100315,BFY,3794,13794,Q,
20100316,BFY,130,430,Q,
20100317,BFY,600,4200,Q,
20100318,BFY,1000,5901,Q,
20100319,BFY,1000,3304,Q,
20100322,BFY,650,3290,Q,
20100323,BFY,5150,6250,Q,
20100324,BFY,4900,11700,Q,
20100325,BFY,1280,3836,Q,
20100326,BFY,1300,5099,Q,
20100329,BFY,2353,4549,Q,
20100330,BFY,500,2471,Q,
20100331,BFY,900,1032,Q,
20100401,BFY,1400,1600,Q,
20100405,BFY,102,761,Q,
20100406,BFY,2100,3886,Q,
20100407,BFY,5283,6367,Q,
20100408,BFY,400,4572,Q,
20100409,BFY,1005,4297,Q,
20100412,BFY,1350,3097,Q,
20100415,BFY,5585,5755,Q,
20100416,BFY,400,1420,Q,
20100419,BFY,513,3016,Q,
20100420,BFY,4616,7172,Q,
20100421,BFY,4450,4950,Q,
20100422,BFY,1400,3144,Q,
20100423,BFY,180,580,Q,
20100426,BFY,1500,2540,Q,
20100427,BFY,871,871,Q,
20100428,BFY,200,1634,Q,
20100429,BFY,100,900,Q,
20100430,BFY,859,2159,Q,
20100503,BFY,1962,3867,Q,
20100504,BFY,1396,2696,Q,
20100510,BFY,1100,7140,Q,
20100511,BFY,600,3600,Q,
20100513,BFY,1150,2588,Q,
20100517,BFY,200,2101,Q,
20100519,BFY,110,110,Q,
20100520,BFY,900,900,Q,
20100524,BFY,3900,5367,Q,
20100527,BFY,1500,1625,Q,
20100528,BFY,234,1032,Q,
20100601,BFY,550,550,Q,
20100602,BFY,200,5032,Q,
20100603,BFY,593,2414,Q,
20100604,BFY,601,12101,Q,
20100607,BFY,250,3750,Q,
20100608,BFY,740,1806,Q,
20100609,BFY,200,1245,Q,
20100614,BFY,3900,6425,Q,
20100616,BFY,500,1000,Q,
20100617,BFY,1458,1458,Q,
20100621,BFY,3800,4259,Q,
20100622,BFY,1200,4822,Q,
20100628,BFY,500,900,Q,
20100630,BFY,4335,4472,Q,
20100701,BFY,1100,5898,Q,
20100702,BFY,217,554,Q,
20100706,BFY,4196,11437,Q,
20100707,BFY,3740,4029,Q,
20100708,BFY,200,1376,Q,
20100709,BFY,2200,2927,Q,
