,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,BHLB,700,4133,Q,
20100105,BHLB,5040,60238,Q,
20100106,BHLB,11295,49737,Q,
20100107,BHLB,7188,55616,Q,
20100108,BHLB,3600,8400,Q,
20100111,BHLB,1200,46288,Q,
20100112,BHLB,4800,16925,Q,
20100113,BHLB,4046,14446,Q,
20100114,BHLB,1400,43392,Q,
20100115,BHLB,2664,11262,Q,
20100119,BHLB,4300,40237,Q,
20100120,BHLB,2100,106270,Q,
20100121,BHLB,7975,23715,Q,
20100122,BHLB,500,3211,Q,
20100125,BHLB,2010,8024,Q,
20100126,BHLB,522,1902,Q,
20100127,BHLB,800,5500,Q,
20100128,BHLB,500,7159,Q,
20100129,BHLB,20755,475164,Q,
20100201,BHLB,9999,24670,Q,
20100202,BHLB,140055,252455,Q,
20100203,BHLB,4000,24880,Q,
20100204,BHLB,3300,9745,Q,
20100205,BHLB,5678,11480,Q,
20100208,BHLB,5500,6600,Q,
20100209,BHLB,10900,12900,Q,
20100210,BHLB,3900,5184,Q,
20100211,BHLB,7060,14695,Q,
20100212,BHLB,6692,9654,Q,
20100216,BHLB,6074,11374,Q,
20100217,BHLB,11816,16981,Q,
20100218,BHLB,700,2009,Q,
20100219,BHLB,3399,5699,Q,
20100222,BHLB,811,4261,Q,
20100223,BHLB,400,2845,Q,
20100224,BHLB,1800,3600,Q,
20100225,BHLB,900,3593,Q,
20100226,BHLB,700,5075,Q,
20100301,BHLB,1827,4967,Q,
20100302,BHLB,2940,6640,Q,
20100303,BHLB,2100,9441,Q,
20100304,BHLB,2190,5425,Q,
20100305,BHLB,3300,5573,Q,
20100308,BHLB,1263,8052,Q,
20100309,BHLB,3373,6572,Q,
20100310,BHLB,1701,3025,Q,
20100311,BHLB,4734,6441,Q,
20100312,BHLB,2210,7706,Q,
20100315,BHLB,300,6000,Q,
20100316,BHLB,1935,2691,Q,
20100317,BHLB,3100,6299,Q,
20100318,BHLB,1100,1800,Q,
20100319,BHLB,1718,25223,Q,
20100322,BHLB,2100,5104,Q,
20100323,BHLB,1800,6300,Q,
20100324,BHLB,2900,6229,Q,
20100325,BHLB,900,2640,Q,
20100326,BHLB,1765,6216,Q,
20100329,BHLB,1100,4399,Q,
20100330,BHLB,1400,4076,Q,
20100331,BHLB,774,5957,Q,
20100401,BHLB,1049,2948,Q,
20100405,BHLB,3022,17930,Q,
20100406,BHLB,1130,5316,Q,
20100407,BHLB,3598,6288,Q,
20100408,BHLB,861,4061,Q,
20100409,BHLB,4786,5805,Q,
20100412,BHLB,4015,5997,Q,
20100413,BHLB,100,1650,Q,
20100414,BHLB,1000,2272,Q,
20100415,BHLB,4985,9508,Q,
20100416,BHLB,15069,19683,Q,
20100419,BHLB,2037,3442,Q,
20100420,BHLB,700,1845,Q,
20100421,BHLB,405,3205,Q,
20100422,BHLB,7822,11713,Q,
20100423,BHLB,5991,25555,Q,
20100426,BHLB,60400,77914,Q,
20100427,BHLB,600,6151,Q,
20100428,BHLB,200,4139,Q,
20100429,BHLB,100,9325,Q,
20100430,BHLB,7260,20929,Q,
20100503,BHLB,503,3113,Q,
20100504,BHLB,1200,5438,Q,
20100510,BHLB,4400,6069,Q,
20100511,BHLB,900,3575,Q,
20100513,BHLB,877,4706,Q,
20100517,BHLB,3824,8803,Q,
20100518,BHLB,600,2300,Q,
20100519,BHLB,600,2400,Q,
20100520,BHLB,1300,3290,Q,
20100521,BHLB,1600,3500,Q,
20100524,BHLB,7959,12224,Q,
20100525,BHLB,13474,22116,Q,
20100526,BHLB,1800,8010,Q,
20100527,BHLB,300,4016,Q,
20100528,BHLB,2893,7076,Q,
20100601,BHLB,2900,13758,Q,
20100602,BHLB,1454,12446,Q,
20100603,BHLB,1307,5198,Q,
20100604,BHLB,2232,3032,Q,
20100607,BHLB,400,6223,Q,
20100608,BHLB,2100,7925,Q,
20100609,BHLB,900,3202,Q,
20100610,BHLB,800,4300,Q,
20100611,BHLB,200,7008,Q,
20100614,BHLB,1600,4669,Q,
20100615,BHLB,2025,5717,Q,
20100616,BHLB,2400,9105,Q,
20100617,BHLB,2600,8206,Q,
20100618,BHLB,1409,4482,Q,
20100621,BHLB,782,2039,Q,
20100622,BHLB,1106,1506,Q,
20100623,BHLB,1496,3396,Q,
20100624,BHLB,3001,4801,Q,
20100625,BHLB,2747,12563,Q,
20100628,BHLB,1700,3344,Q,
20100629,BHLB,3970,5348,Q,
20100630,BHLB,3230,5370,Q,
20100701,BHLB,4136,6436,Q,
20100702,BHLB,642,842,Q,
20100706,BHLB,2873,4639,Q,
20100707,BHLB,3272,4391,Q,
20100708,BHLB,900,1800,Q,
20100709,BHLB,365,1965,Q,
20110804,BHLB,2578,6238,,0.0
