,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,BID,81486,147304,Q,
20100105,BID,55743,110167,Q,
20100106,BID,41352,71736,Q,
20100107,BID,37100,197683,Q,
20100108,BID,36563,333869,Q,
20100111,BID,50460,208730,Q,
20100112,BID,146031,444884,Q,
20100113,BID,477131,855661,Q,
20100114,BID,136035,225450,Q,
20100115,BID,185961,309004,Q,
20100119,BID,72360,244153,Q,
20100120,BID,78302,170067,Q,
20100121,BID,182369,396314,Q,
20100122,BID,199380,401591,Q,
20100125,BID,92796,151904,Q,
20100126,BID,125552,258266,Q,
20100127,BID,42258,136727,Q,
20100128,BID,109080,369179,Q,
20100129,BID,87076,185724,Q,
20100201,BID,126440,312916,Q,
20100202,BID,119396,256462,Q,
20100203,BID,195272,374704,Q,
20100204,BID,240424,450592,Q,
20100205,BID,167310,313099,Q,
20100208,BID,33035,78382,Q,
20100209,BID,50682,164236,Q,
20100210,BID,47919,124668,Q,
20100211,BID,106613,157709,Q,
20100212,BID,115528,196212,Q,
20100216,BID,42974,73218,Q,
20100217,BID,96445,155505,Q,
20100218,BID,181338,300577,Q,
20100219,BID,41887,76547,Q,
20100222,BID,16627,50370,Q,
20100223,BID,38513,97995,Q,
20100224,BID,21642,107809,Q,
20100225,BID,54171,146141,Q,
20100226,BID,84046,162144,Q,
20100301,BID,339708,667581,Q,
20100302,BID,618448,1585228,Q,
20100303,BID,587955,1322615,Q,
20100304,BID,209722,530215,Q,
20100305,BID,400582,847138,Q,
20100308,BID,151388,399110,Q,
20100309,BID,154777,477766,Q,
20100310,BID,98630,204523,Q,
20100311,BID,129327,343677,Q,
20100312,BID,58786,284234,Q,
20100315,BID,66395,217284,Q,
20100316,BID,121492,374657,Q,
20100317,BID,62480,230688,Q,
20100318,BID,59934,139884,Q,
20100319,BID,87079,246226,Q,
20100322,BID,187970,410293,Q,
20100323,BID,186697,716576,Q,
20100324,BID,74756,209671,Q,
20100325,BID,124655,255919,Q,
20100326,BID,162891,499835,Q,
20100329,BID,57071,127682,Q,
20100330,BID,35031,210619,Q,
20100331,BID,39694,109089,Q,
20100401,BID,68317,140858,Q,
20100405,BID,84755,240499,Q,
20100406,BID,66355,195656,Q,
20100407,BID,145149,338171,Q,
20100408,BID,140272,298916,Q,
20100409,BID,154576,336370,Q,
20100412,BID,118410,207628,Q,
20100413,BID,161630,325608,Q,
20100414,BID,316674,608034,Q,
20100415,BID,157144,541910,Q,
20100416,BID,275749,610607,Q,
20100419,BID,294202,670054,Q,
20100420,BID,145830,561548,Q,
20100421,BID,146220,410407,Q,
20100422,BID,79109,391808,Q,
20100423,BID,89310,545756,Q,
20100426,BID,145425,381783,Q,
20100427,BID,144204,575800,Q,
20100428,BID,140579,654537,Q,
20100429,BID,164187,417239,Q,
20100430,BID,225054,420123,Q,
20100503,BID,85796,494796,Q,
20100504,BID,109572,527197,Q,
20100510,BID,374912,1014604,Q,
20100511,BID,381334,721199,Q,
20100512,BID,343362,845878,Q,
20100513,BID,170100,282287,Q,
20100517,BID,193784,618758,Q,
20100518,BID,161846,531626,Q,
20100519,BID,288733,659670,Q,
20100520,BID,417317,872997,Q,
20100521,BID,155069,365737,Q,
20100524,BID,127464,307936,Q,
20100525,BID,245491,458649,Q,
20100526,BID,161517,283239,Q,
20100527,BID,274698,508258,Q,
20100528,BID,431806,590896,Q,
20100601,BID,120026,290750,Q,
20100602,BID,274411,414704,Q,
20100603,BID,227708,296852,Q,
20100604,BID,215981,350569,Q,
20100607,BID,112669,201952,Q,
20100608,BID,262903,373094,Q,
20100609,BID,145765,435434,Q,
20100610,BID,155007,516066,Q,
20100611,BID,107801,171455,Q,
20100614,BID,128124,199425,Q,
20100615,BID,130759,196995,Q,
20100616,BID,63407,131078,Q,
20100617,BID,55891,153605,Q,
20100618,BID,152374,269071,Q,
20100621,BID,69145,250672,Q,
20100622,BID,222493,584649,Q,
20100623,BID,195005,576774,Q,
20100624,BID,826773,1941697,Q,
20100625,BID,357833,674141,Q,
20100628,BID,233144,920266,Q,
20100629,BID,571647,1542368,Q,
20100630,BID,273766,797322,Q,
20100701,BID,127940,294591,Q,
20100702,BID,84851,168667,Q,
20100706,BID,269556,585334,Q,
20100707,BID,222505,375196,Q,
20100708,BID,89903,175142,Q,
20100709,BID,171498,265963,Q,
20110804,BID,312932,821597,,0.0
