,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100105,BLJ,1000,2300,Q,
20100106,BLJ,1559,7925,Q,
20100108,BLJ,956,1837,Q,
20100111,BLJ,600,1590,Q,
20100113,BLJ,148,3368,Q,
20100115,BLJ,291,1869,Q,
20100119,BLJ,3100,8800,Q,
20100125,BLJ,300,1027,Q,
20100129,BLJ,1600,3466,Q,
20100201,BLJ,1291,2100,Q,
20100212,BLJ,100,600,Q,
20100216,BLJ,119,119,Q,
20100217,BLJ,1048,2748,Q,
20100218,BLJ,1000,1000,Q,
20100219,BLJ,5626,6751,Q,
20100222,BLJ,1093,1593,Q,
20100223,BLJ,700,1900,Q,
20100225,BLJ,2109,3248,Q,
20100301,BLJ,458,701,Q,
20100302,BLJ,433,1125,Q,
20100303,BLJ,1447,3347,Q,
20100304,BLJ,1600,1600,Q,
20100305,BLJ,398,1899,Q,
20100308,BLJ,1500,1667,Q,
20100311,BLJ,274,939,Q,
20100312,BLJ,200,886,Q,
20100316,BLJ,374,724,Q,
20100317,BLJ,713,1657,Q,
20100318,BLJ,400,4112,Q,
20100322,BLJ,3800,7400,Q,
20100323,BLJ,5616,11239,Q,
20100324,BLJ,635,3089,Q,
20100329,BLJ,300,400,Q,
20100331,BLJ,2200,4100,Q,
20100401,BLJ,700,1200,Q,
20100405,BLJ,350,1336,Q,
20100406,BLJ,150,350,Q,
20100408,BLJ,400,1100,Q,
20100409,BLJ,2100,2800,Q,
20100412,BLJ,4353,6304,Q,
20100414,BLJ,700,800,Q,
20100416,BLJ,1342,1542,Q,
20100419,BLJ,1418,2418,Q,
20100420,BLJ,201,301,Q,
20100421,BLJ,700,1300,Q,
20100426,BLJ,650,650,Q,
20100428,BLJ,200,2556,Q,
20100429,BLJ,1360,4010,Q,
20100430,BLJ,950,950,Q,
20100504,BLJ,500,500,Q,
20100510,BLJ,446,1736,Q,
20100513,BLJ,500,1699,Q,
20100519,BLJ,600,941,Q,
20100526,BLJ,135,3641,Q,
20100527,BLJ,1667,3917,Q,
20100528,BLJ,300,1700,Q,
20100601,BLJ,1229,1669,Q,
20100609,BLJ,100,100,Q,
20100610,BLJ,500,1000,Q,
20100623,BLJ,325,325,Q,
20100624,BLJ,200,200,Q,
20100630,BLJ,400,700,Q,
20100707,BLJ,1806,4104,Q,
20100708,BLJ,354,554,Q,
20110804,BLJ,300,1620,,0.0
