,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,BLKB,2385,30959,Q,
20100105,BLKB,8113,28007,Q,
20100106,BLKB,12936,52083,Q,
20100107,BLKB,21293,51078,Q,
20100108,BLKB,5825,18550,Q,
20100111,BLKB,7866,35645,Q,
20100112,BLKB,19863,66040,Q,
20100113,BLKB,10529,43530,Q,
20100114,BLKB,2305,27215,Q,
20100115,BLKB,14409,48025,Q,
20100119,BLKB,7997,108604,Q,
20100120,BLKB,22479,77766,Q,
20100121,BLKB,16255,54633,Q,
20100122,BLKB,13192,54240,Q,
20100125,BLKB,7882,39011,Q,
20100126,BLKB,13672,64667,Q,
20100127,BLKB,12705,28154,Q,
20100128,BLKB,66137,100656,Q,
20100129,BLKB,26487,71718,Q,
20100201,BLKB,14350,130146,Q,
20100202,BLKB,10976,40715,Q,
20100203,BLKB,30793,45964,Q,
20100204,BLKB,219197,257753,Q,
20100205,BLKB,25874,84001,Q,
20100208,BLKB,11750,34905,Q,
20100209,BLKB,6204,28886,Q,
20100210,BLKB,20215,27038,Q,
20100211,BLKB,13317,25257,Q,
20100212,BLKB,30410,59812,Q,
20100216,BLKB,18471,49104,Q,
20100217,BLKB,10698,21494,Q,
20100218,BLKB,208124,251801,Q,
20100219,BLKB,12173,37442,Q,
20100222,BLKB,7913,22040,Q,
20100223,BLKB,22919,39126,Q,
20100224,BLKB,11196,23423,Q,
20100225,BLKB,13591,32886,Q,
20100226,BLKB,5559,21594,Q,
20100301,BLKB,21661,41696,Q,
20100302,BLKB,14605,40370,Q,
20100303,BLKB,33310,63432,Q,
20100304,BLKB,30730,42013,Q,
20100305,BLKB,14088,33672,Q,
20100308,BLKB,12658,29142,Q,
20100309,BLKB,11786,32940,Q,
20100310,BLKB,25219,42070,Q,
20100311,BLKB,11042,25116,Q,
20100312,BLKB,8899,26000,Q,
20100315,BLKB,11781,22291,Q,
20100316,BLKB,12468,38850,Q,
20100317,BLKB,19910,81228,Q,
20100318,BLKB,7441,19418,Q,
20100319,BLKB,24809,127371,Q,
20100322,BLKB,4813,15095,Q,
20100323,BLKB,9762,17926,Q,
20100324,BLKB,6195,15835,Q,
20100325,BLKB,7900,16368,Q,
20100326,BLKB,9833,29184,Q,
20100329,BLKB,9927,19569,Q,
20100330,BLKB,6873,65745,Q,
20100331,BLKB,3782,13766,Q,
20100401,BLKB,78095,113759,Q,
20100405,BLKB,16844,29329,Q,
20100406,BLKB,5853,13698,Q,
20100407,BLKB,43562,91814,Q,
20100408,BLKB,7184,36781,Q,
20100409,BLKB,15042,40270,Q,
20100412,BLKB,6896,39877,Q,
20100413,BLKB,7223,24634,Q,
20100414,BLKB,57829,83288,Q,
20100415,BLKB,14297,26656,Q,
20100416,BLKB,25927,48929,Q,
20100419,BLKB,20311,48625,Q,
20100420,BLKB,23469,40659,Q,
20100421,BLKB,27139,45788,Q,
20100422,BLKB,28089,112182,Q,
20100423,BLKB,12766,32115,Q,
20100426,BLKB,5444,24911,Q,
20100427,BLKB,22430,42010,Q,
20100428,BLKB,68637,196454,Q,
20100429,BLKB,58870,168115,Q,
20100430,BLKB,29144,56250,Q,
20100503,BLKB,25374,93850,Q,
20100504,BLKB,24801,45271,Q,
20100510,BLKB,23479,39781,Q,
20100511,BLKB,9293,25731,Q,
20100512,BLKB,8565,23035,Q,
20100513,BLKB,17838,65824,Q,
20100517,BLKB,32225,59318,Q,
20100518,BLKB,35039,47483,Q,
20100519,BLKB,14236,29340,Q,
20100520,BLKB,29060,64153,Q,
20100521,BLKB,27609,59633,Q,
20100524,BLKB,15119,36975,Q,
20100525,BLKB,53792,95278,Q,
20100526,BLKB,21494,79063,Q,
20100527,BLKB,9688,57293,Q,
20100528,BLKB,6743,52958,Q,
20100601,BLKB,20997,72778,Q,
20100602,BLKB,19053,37280,Q,
20100603,BLKB,7997,28002,Q,
20100604,BLKB,18485,33960,Q,
20100607,BLKB,11174,17302,Q,
20100608,BLKB,12114,19975,Q,
20100609,BLKB,12116,30121,Q,
20100610,BLKB,12606,23259,Q,
20100611,BLKB,13026,31102,Q,
20100614,BLKB,5088,15140,Q,
20100615,BLKB,13697,29089,Q,
20100616,BLKB,9628,39602,Q,
20100617,BLKB,11652,42038,Q,
20100618,BLKB,4916,67906,Q,
20100621,BLKB,11846,22721,Q,
20100622,BLKB,11568,25791,Q,
20100623,BLKB,5379,26406,Q,
20100624,BLKB,25898,43898,Q,
20100625,BLKB,6597,66091,Q,
20100628,BLKB,12695,27787,Q,
20100629,BLKB,25814,40411,Q,
20100630,BLKB,10192,17088,Q,
20100701,BLKB,27862,72867,Q,
20100702,BLKB,6135,26089,Q,
20100706,BLKB,7609,23360,Q,
20100707,BLKB,7576,19293,Q,
20100708,BLKB,2575,8641,Q,
20100709,BLKB,4098,8838,Q,
20110804,BLKB,17513,30825,,0.0
