,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,BONT,3250,33863,Q,
20100105,BONT,13585,34805,Q,
20100106,BONT,24365,57339,Q,
20100107,BONT,33123,58230,Q,
20100108,BONT,9898,26697,Q,
20100111,BONT,10284,27639,Q,
20100112,BONT,34741,95651,Q,
20100113,BONT,16058,47021,Q,
20100114,BONT,13886,33598,Q,
20100115,BONT,15334,34423,Q,
20100119,BONT,18199,45071,Q,
20100120,BONT,10094,17994,Q,
20100121,BONT,20947,47256,Q,
20100122,BONT,41600,227713,Q,
20100125,BONT,17843,79628,Q,
20100126,BONT,9603,28180,Q,
20100127,BONT,12394,33749,Q,
20100128,BONT,18501,61554,Q,
20100129,BONT,17300,32955,Q,
20100201,BONT,33611,66040,Q,
20100202,BONT,9400,18033,Q,
20100203,BONT,13126,40060,Q,
20100204,BONT,34159,56845,Q,
20100205,BONT,26038,43653,Q,
20100208,BONT,8800,20224,Q,
20100209,BONT,22219,73613,Q,
20100210,BONT,7803,18232,Q,
20100211,BONT,5300,64101,Q,
20100212,BONT,6263,154977,Q,
20100216,BONT,12986,22680,Q,
20100217,BONT,8949,36866,Q,
20100218,BONT,5790,29528,Q,
20100219,BONT,7726,22298,Q,
20100222,BONT,18533,98793,Q,
20100223,BONT,10109,45063,Q,
20100224,BONT,11400,19700,Q,
20100225,BONT,18352,20260,Q,
20100226,BONT,13803,18128,Q,
20100301,BONT,17420,32830,Q,
20100302,BONT,26334,55803,Q,
20100303,BONT,24912,53276,Q,
20100304,BONT,22755,53367,Q,
20100305,BONT,25902,73145,Q,
20100308,BONT,26537,64163,Q,
20100309,BONT,61726,126119,Q,
20100310,BONT,81440,282024,Q,
20100311,BONT,38226,91004,Q,
20100312,BONT,44446,79194,Q,
20100315,BONT,10150,40933,Q,
20100316,BONT,8660,22623,Q,
20100317,BONT,8014,30418,Q,
20100318,BONT,4628,29114,Q,
20100319,BONT,24185,100721,Q,
20100322,BONT,20730,92056,Q,
20100323,BONT,10006,64361,Q,
20100324,BONT,16183,42944,Q,
20100325,BONT,14014,24980,Q,
20100326,BONT,36302,51872,Q,
20100329,BONT,33147,55065,Q,
20100330,BONT,39873,74331,Q,
20100331,BONT,21642,107442,Q,
20100401,BONT,18643,27325,Q,
20100405,BONT,27201,64717,Q,
20100406,BONT,26315,50488,Q,
20100407,BONT,55346,92573,Q,
20100408,BONT,80465,159045,Q,
20100409,BONT,89127,198877,Q,
20100412,BONT,62977,170464,Q,
20100413,BONT,102209,196626,Q,
20100414,BONT,49158,169815,Q,
20100415,BONT,43881,158793,Q,
20100416,BONT,25950,100363,Q,
20100419,BONT,13710,109257,Q,
20100420,BONT,53422,135907,Q,
20100421,BONT,37952,74593,Q,
20100422,BONT,22604,51376,Q,
20100423,BONT,27374,82700,Q,
20100426,BONT,16398,59561,Q,
20100427,BONT,16842,89944,Q,
20100428,BONT,49478,91165,Q,
20100429,BONT,87749,187009,Q,
20100430,BONT,39289,93805,Q,
20100503,BONT,27595,81394,Q,
20100504,BONT,52787,171868,Q,
20100510,BONT,34846,223170,Q,
20100511,BONT,20585,88119,Q,
20100512,BONT,23595,41092,Q,
20100513,BONT,14800,71481,Q,
20100517,BONT,38293,84709,Q,
20100518,BONT,27078,68830,Q,
20100519,BONT,32395,78468,Q,
20100520,BONT,91874,158001,Q,
20100521,BONT,21372,125932,Q,
20100524,BONT,15126,77305,Q,
20100525,BONT,53469,117546,Q,
20100526,BONT,10593,31731,Q,
20100527,BONT,19940,112099,Q,
20100528,BONT,8062,44369,Q,
20100601,BONT,22896,70840,Q,
20100602,BONT,22330,85561,Q,
20100603,BONT,10400,178454,Q,
20100604,BONT,40509,169126,Q,
20100607,BONT,20343,88976,Q,
20100608,BONT,12500,177195,Q,
20100609,BONT,20646,51089,Q,
20100610,BONT,23382,71739,Q,
20100611,BONT,46169,86871,Q,
20100614,BONT,19631,47833,Q,
20100615,BONT,54191,93052,Q,
20100616,BONT,76252,95794,Q,
20100617,BONT,31082,70859,Q,
20100618,BONT,10328,26634,Q,
20100621,BONT,26147,93231,Q,
20100622,BONT,35837,87742,Q,
20100623,BONT,221400,355899,Q,
20100624,BONT,83374,156665,Q,
20100625,BONT,168837,250359,Q,
20100628,BONT,40541,88269,Q,
20100629,BONT,53130,153007,Q,
20100630,BONT,53099,153775,Q,
20100701,BONT,61185,136800,Q,
20100702,BONT,38140,79035,Q,
20100706,BONT,34881,72627,Q,
20100707,BONT,52120,90427,Q,
20100708,BONT,39773,55353,Q,
20100709,BONT,18515,22615,Q,
20110804,BONT,31391,144395,,700.0
