,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100107,BQI.WS.A,100,1300,Q,
20100108,BQI.WS.A,2000,2200,Q,
20100205,BQI.WS.A,3000,20900,Q,
20100209,BQI.WS.A,2000,2200,Q,
20100210,BQI.WS.A,4100,4200,Q,
20100211,BQI.WS.A,3000,3000,Q,
20100216,BQI.WS.A,6000,6000,Q,
20100222,BQI.WS.A,12100,17400,Q,
20100223,BQI.WS.A,4800,11700,Q,
20100225,BQI.WS.A,500,500,Q,
20100312,BQI.WS.A,100,100,Q,
20100331,BQI.WS.A,200,200,Q,
20100405,BQI.WS.A,10900,34900,Q,
20100406,BQI.WS.A,3000,5000,Q,
20100415,BQI.WS.A,1200,1900,Q,
20100423,BQI.WS.A,1000,1500,Q,
20100427,BQI.WS.A,6500,16500,Q,
20100428,BQI.WS.A,97401,176802,Q,
20100429,BQI.WS.A,14300,103800,Q,
20100430,BQI.WS.A,57477,116087,Q,
20100503,BQI.WS.A,40860,78880,Q,
20100504,BQI.WS.A,1500,10000,Q,
20100512,BQI.WS.A,12200,33100,Q,
20100513,BQI.WS.A,9100,9100,Q,
20100517,BQI.WS.A,62200,103000,Q,
20100518,BQI.WS.A,20000,20100,Q,
20100601,BQI.WS.A,2499,2499,Q,
20100609,BQI.WS.A,500,700,Q,
20100616,BQI.WS.A,3600,25500,Q,
20100629,BQI.WS.A,300,3400,Q,
20100706,BQI.WS.A,15000,16500,Q,
20100707,BQI.WS.A,43500,47473,Q,
20100709,BQI.WS.A,100,100,Q,
