,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,BSX,2591147,5188603,Q,
20100105,BSX,1151686,2416403,Q,
20100106,BSX,1650337,3452854,Q,
20100107,BSX,1499438,4300048,Q,
20100108,BSX,2534096,6079767,Q,
20100111,BSX,883369,2528590,Q,
20100112,BSX,2182858,4072875,Q,
20100113,BSX,1000378,2612872,Q,
20100114,BSX,2617307,5839368,Q,
20100115,BSX,1773315,3559692,Q,
20100119,BSX,1594352,3637481,Q,
20100120,BSX,4090424,11531422,Q,
20100121,BSX,2745299,7063129,Q,
20100122,BSX,2092592,7568419,Q,
20100125,BSX,1499234,3379728,Q,
20100126,BSX,1124889,2851232,Q,
20100127,BSX,2298379,5803418,Q,
20100128,BSX,1361470,4647141,Q,
20100129,BSX,869973,2881591,Q,
20100201,BSX,8751530,25104880,Q,
20100202,BSX,2262144,10595436,Q,
20100203,BSX,898634,3436561,Q,
20100204,BSX,2083792,6674928,Q,
20100205,BSX,2225277,5020645,Q,
20100208,BSX,1316823,4141115,Q,
20100209,BSX,1306959,4988761,Q,
20100210,BSX,3519100,6903202,Q,
20100211,BSX,14453128,47624235,Q,
20100212,BSX,8110352,21412209,Q,
20100216,BSX,4381152,10783887,Q,
20100217,BSX,3659703,11799069,Q,
20100218,BSX,1822725,4711248,Q,
20100219,BSX,1221942,4010071,Q,
20100222,BSX,3826521,8322353,Q,
20100223,BSX,2565359,5751105,Q,
20100224,BSX,2715464,4886306,Q,
20100225,BSX,2851962,5242856,Q,
20100226,BSX,2385217,6186503,Q,
20100301,BSX,3873971,6981442,Q,
20100302,BSX,4686586,8278155,Q,
20100303,BSX,2461005,6633816,Q,
20100304,BSX,5379318,11488555,Q,
20100305,BSX,3185499,11276494,Q,
20100308,BSX,2919625,9259729,Q,
20100309,BSX,2966278,9793161,Q,
20100310,BSX,2746872,6408503,Q,
20100311,BSX,2761284,7216988,Q,
20100312,BSX,2121099,5344812,Q,
20100315,BSX,36488159,90974765,Q,
20100316,BSX,21347377,54732222,Q,
20100317,BSX,9700705,24206959,Q,
20100318,BSX,7976367,35409941,Q,
20100319,BSX,6967619,15708648,Q,
20100322,BSX,4814008,12991269,Q,
20100323,BSX,7718701,16158363,Q,
20100324,BSX,3200480,5825598,Q,
20100325,BSX,15459618,32087394,Q,
20100326,BSX,5250316,10488007,Q,
20100329,BSX,4290904,12007208,Q,
20100330,BSX,10642546,23947162,Q,
20100331,BSX,4898880,8230657,Q,
20100401,BSX,5693276,14051956,Q,
20100405,BSX,1825255,5147613,Q,
20100406,BSX,4450183,11540173,Q,
20100407,BSX,2301781,6234807,Q,
20100408,BSX,4059629,11325320,Q,
20100409,BSX,5915488,15388311,Q,
20100412,BSX,2366919,6777906,Q,
20100413,BSX,6068016,16829019,Q,
20100414,BSX,5806419,17635631,Q,
20100415,BSX,2448450,6765898,Q,
20100416,BSX,12421987,34992689,Q,
20100419,BSX,5333044,11049188,Q,
20100420,BSX,3001595,6863422,Q,
20100421,BSX,2767312,10166649,Q,
20100422,BSX,3660546,9047489,Q,
20100423,BSX,1738657,6432777,Q,
20100426,BSX,4185759,14095789,Q,
20100427,BSX,8134206,22680890,Q,
20100428,BSX,5798450,11088406,Q,
20100429,BSX,3230072,7163890,Q,
20100430,BSX,1520599,4141215,Q,
20100503,BSX,1797666,4126934,Q,
20100504,BSX,2335319,5737888,Q,
20100510,BSX,1865995,5489619,Q,
20100511,BSX,1882739,5181174,Q,
20100512,BSX,5410329,11535099,Q,
20100513,BSX,2262265,4591246,Q,
20100517,BSX,4438294,9763536,Q,
20100518,BSX,2864007,5584170,Q,
20100519,BSX,2825826,6707304,Q,
20100520,BSX,2489272,7178562,Q,
20100521,BSX,3714655,9743740,Q,
20100524,BSX,3170839,6515399,Q,
20100525,BSX,6383572,14313080,Q,
20100526,BSX,4457484,9255536,Q,
20100527,BSX,3679134,6696545,Q,
20100528,BSX,2162510,5465398,Q,
20100601,BSX,3557749,7189079,Q,
20100602,BSX,4298259,8275106,Q,
20100603,BSX,3408474,6608470,Q,
20100604,BSX,4786812,10409691,Q,
20100607,BSX,3767713,9295019,Q,
20100608,BSX,3965832,10134742,Q,
20100609,BSX,2481577,5793562,Q,
20100610,BSX,2664873,5002435,Q,
20100611,BSX,5984300,12395294,Q,
20100614,BSX,2996021,7055238,Q,
20100615,BSX,3630561,9996584,Q,
20100616,BSX,4964060,9446015,Q,
20100617,BSX,2538949,4527886,Q,
20100618,BSX,6716425,12425664,Q,
20100621,BSX,3803342,6107490,Q,
20100622,BSX,2091302,3767289,Q,
20100623,BSX,3294377,5290453,Q,
20100624,BSX,3254699,8257482,Q,
20100625,BSX,4098540,6861209,Q,
20100628,BSX,3543608,8260769,Q,
20100629,BSX,3969904,9984719,Q,
20100630,BSX,3056261,5472921,Q,
20100701,BSX,5084333,8848698,Q,
20100702,BSX,5063047,7709544,Q,
20100706,BSX,4854330,7425667,Q,
20100707,BSX,3434441,5671950,Q,
20100708,BSX,4391660,7886865,Q,
20100709,BSX,4257842,6339911,Q,
20110804,BSX,1720598,4288042,,3000.0
