,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,BT,6014,51588,Q,
20100105,BT,3772,20292,Q,
20100106,BT,376,13114,Q,
20100107,BT,1704,10542,Q,
20100108,BT,506,9551,Q,
20100111,BT,1130,16138,Q,
20100112,BT,2500,15739,Q,
20100113,BT,1264,24047,Q,
20100114,BT,2300,93073,Q,
20100115,BT,1700,13819,Q,
20100119,BT,573,15837,Q,
20100120,BT,11415,20356,Q,
20100121,BT,2060,19010,Q,
20100122,BT,2411,14691,Q,
20100125,BT,4361,21978,Q,
20100126,BT,300,12803,Q,
20100127,BT,700,10301,Q,
20100128,BT,4000,17491,Q,
20100129,BT,4633,22716,Q,
20100201,BT,2949,19180,Q,
20100202,BT,2905,12723,Q,
20100203,BT,2111,18593,Q,
20100204,BT,1629,49008,Q,
20100205,BT,2600,19283,Q,
20100208,BT,2174,15795,Q,
20100209,BT,6310,18348,Q,
20100210,BT,4541,16732,Q,
20100211,BT,14776,42254,Q,
20100212,BT,9165,37679,Q,
20100216,BT,4037,26675,Q,
20100217,BT,15080,42508,Q,
20100218,BT,9017,35907,Q,
20100219,BT,3604,13355,Q,
20100222,BT,4410,13244,Q,
20100223,BT,3086,23824,Q,
20100224,BT,4274,24215,Q,
20100225,BT,5429,17850,Q,
20100226,BT,8323,22166,Q,
20100301,BT,10654,56024,Q,
20100302,BT,6514,26355,Q,
20100303,BT,9122,20148,Q,
20100304,BT,3810,16373,Q,
20100305,BT,5888,97858,Q,
20100308,BT,3137,24339,Q,
20100309,BT,7480,28842,Q,
20100310,BT,8659,27233,Q,
20100311,BT,15769,46892,Q,
20100312,BT,38240,73746,Q,
20100315,BT,20243,35077,Q,
20100316,BT,16546,162453,Q,
20100317,BT,4490,37858,Q,
20100318,BT,2525,73114,Q,
20100319,BT,4523,73814,Q,
20100322,BT,5579,39177,Q,
20100323,BT,1026,68444,Q,
20100324,BT,8774,32875,Q,
20100325,BT,1962,16940,Q,
20100326,BT,300,11150,Q,
20100329,BT,1820,24430,Q,
20100330,BT,2060,19899,Q,
20100331,BT,5924,149434,Q,
20100401,BT,4065,27566,Q,
20100405,BT,2700,28266,Q,
20100406,BT,1024,13289,Q,
20100407,BT,960,58151,Q,
20100408,BT,1350,23294,Q,
20100409,BT,1100,19493,Q,
20100412,BT,5174,22747,Q,
20100413,BT,2962,17755,Q,
20100414,BT,5867,31792,Q,
20100415,BT,1600,25657,Q,
20100416,BT,11973,111733,Q,
20100419,BT,9813,27497,Q,
20100420,BT,7279,18962,Q,
20100421,BT,8060,17783,Q,
20100422,BT,2923,13920,Q,
20100423,BT,1900,9884,Q,
20100426,BT,4800,18612,Q,
20100427,BT,101200,310428,Q,
20100428,BT,5303,26079,Q,
20100429,BT,1572,12282,Q,
20100430,BT,4810,12256,Q,
20100503,BT,5608,17733,Q,
20100504,BT,4147,19789,Q,
20100510,BT,3226,18105,Q,
20100511,BT,23622,59652,Q,
20100512,BT,16459,41492,Q,
20100513,BT,48557,180980,Q,
20100517,BT,10009,30992,Q,
20100518,BT,6800,25002,Q,
20100519,BT,4434,425260,Q,
20100520,BT,7499,25182,Q,
20100521,BT,3197,17169,Q,
20100524,BT,978,7672,Q,
20100525,BT,10343,45034,Q,
20100526,BT,3395,17043,Q,
20100527,BT,9265,19117,Q,
20100528,BT,6635,18951,Q,
20100601,BT,13366,27033,Q,
20100602,BT,6619,24272,Q,
20100603,BT,12958,68708,Q,
20100604,BT,12796,37167,Q,
20100607,BT,5052,11635,Q,
20100608,BT,7582,17103,Q,
20100609,BT,5018,17088,Q,
20100610,BT,2381,20283,Q,
20100611,BT,8107,26214,Q,
20100614,BT,17905,38074,Q,
20100615,BT,6225,38376,Q,
20100616,BT,7234,17311,Q,
20100617,BT,4435,29561,Q,
20100618,BT,2555,10374,Q,
20100621,BT,2550,8393,Q,
20100622,BT,801,8845,Q,
20100623,BT,2450,9990,Q,
20100624,BT,1121,20855,Q,
20100625,BT,3641,12231,Q,
20100628,BT,1951,8241,Q,
20100629,BT,1700,13939,Q,
20100630,BT,8812,15122,Q,
20100701,BT,7813,17987,Q,
20100702,BT,1171,6856,Q,
20100706,BT,5514,13325,Q,
20100707,BT,8065,16009,Q,
20100708,BT,8207,19411,Q,
20100709,BT,20977,35173,Q,
20110804,BT,12787,46714,,0.0
