,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,BUCY,791911,1884234,Q,
20100105,BUCY,550771,1547644,Q,
20100106,BUCY,396282,1118425,Q,
20100107,BUCY,341373,824946,Q,
20100108,BUCY,386669,820218,Q,
20100111,BUCY,328298,865456,Q,
20100112,BUCY,306198,759316,Q,
20100113,BUCY,409003,895602,Q,
20100114,BUCY,355117,871122,Q,
20100115,BUCY,145417,700376,Q,
20100119,BUCY,275317,703838,Q,
20100120,BUCY,301050,704181,Q,
20100121,BUCY,395452,1372357,Q,
20100122,BUCY,604034,1674697,Q,
20100125,BUCY,444570,1115119,Q,
20100126,BUCY,413311,1165175,Q,
20100127,BUCY,335922,1354971,Q,
20100128,BUCY,198066,910940,Q,
20100129,BUCY,318661,1228321,Q,
20100201,BUCY,363242,1059842,Q,
20100202,BUCY,354950,1016892,Q,
20100203,BUCY,333597,782663,Q,
20100204,BUCY,321572,1259178,Q,
20100205,BUCY,365520,1982723,Q,
20100208,BUCY,431557,1288549,Q,
20100209,BUCY,491475,1356699,Q,
20100210,BUCY,437748,871062,Q,
20100211,BUCY,479575,1243617,Q,
20100212,BUCY,767521,1575691,Q,
20100216,BUCY,529121,1189115,Q,
20100217,BUCY,494656,1395347,Q,
20100218,BUCY,575247,1261114,Q,
20100219,BUCY,674829,1558463,Q,
20100222,BUCY,773925,1542910,Q,
20100223,BUCY,617515,1269180,Q,
20100224,BUCY,662004,2020103,Q,
20100225,BUCY,654832,1503324,Q,
20100226,BUCY,314134,814491,Q,
20100301,BUCY,325160,972350,Q,
20100302,BUCY,458990,1220750,Q,
20100303,BUCY,514575,1752786,Q,
20100304,BUCY,447732,948100,Q,
20100305,BUCY,444107,932677,Q,
20100308,BUCY,385640,700482,Q,
20100309,BUCY,318914,1012745,Q,
20100310,BUCY,639427,1491152,Q,
20100311,BUCY,701913,1416193,Q,
20100312,BUCY,324472,901713,Q,
20100315,BUCY,383373,947652,Q,
20100316,BUCY,283251,831794,Q,
20100317,BUCY,364244,804641,Q,
20100318,BUCY,501098,1064056,Q,
20100319,BUCY,556263,1280841,Q,
20100322,BUCY,379670,850969,Q,
20100323,BUCY,677833,1839296,Q,
20100324,BUCY,528848,1122698,Q,
20100325,BUCY,490437,1207017,Q,
20100326,BUCY,373037,1059639,Q,
20100329,BUCY,413488,1101417,Q,
20100330,BUCY,352220,684912,Q,
20100331,BUCY,753467,2076117,Q,
20100401,BUCY,477227,1284556,Q,
20100405,BUCY,407865,1087839,Q,
20100406,BUCY,357194,736465,Q,
20100407,BUCY,455209,868004,Q,
20100408,BUCY,503254,809231,Q,
20100409,BUCY,685221,1492821,Q,
20100412,BUCY,462045,948831,Q,
20100413,BUCY,466103,982581,Q,
20100414,BUCY,329850,690754,Q,
20100415,BUCY,608682,1124997,Q,
20100416,BUCY,863283,1705841,Q,
20100419,BUCY,436134,1474499,Q,
20100420,BUCY,405188,1009914,Q,
20100421,BUCY,418025,927149,Q,
20100422,BUCY,610437,1248955,Q,
20100423,BUCY,1179787,3135403,Q,
20100426,BUCY,619860,1740742,Q,
20100427,BUCY,790574,1665774,Q,
20100428,BUCY,666171,1414462,Q,
20100429,BUCY,528725,1131531,Q,
20100430,BUCY,566383,1552227,Q,
20100503,BUCY,524741,1622433,Q,
20100504,BUCY,520728,2239688,Q,
20100510,BUCY,399781,1306004,Q,
20100511,BUCY,499963,1471191,Q,
20100512,BUCY,398267,1128023,Q,
20100513,BUCY,516347,1452430,Q,
20100517,BUCY,747947,2005347,Q,
20100518,BUCY,392421,1006662,Q,
20100519,BUCY,994783,2524901,Q,
20100520,BUCY,787280,1851095,Q,
20100521,BUCY,877653,2052983,Q,
20100524,BUCY,440855,1258483,Q,
20100525,BUCY,703362,2054314,Q,
20100526,BUCY,910739,1969988,Q,
20100527,BUCY,718207,1444004,Q,
20100528,BUCY,554291,1027827,Q,
20100601,BUCY,538320,1386450,Q,
20100602,BUCY,473545,1251748,Q,
20100603,BUCY,1123622,2416697,Q,
20100604,BUCY,876674,1764763,Q,
20100607,BUCY,417681,938428,Q,
20100608,BUCY,540623,1420395,Q,
20100609,BUCY,716658,1418385,Q,
20100610,BUCY,420027,1145497,Q,
20100611,BUCY,442662,967199,Q,
20100614,BUCY,426265,1413970,Q,
20100615,BUCY,352777,910468,Q,
20100616,BUCY,316881,715865,Q,
20100617,BUCY,560473,1355851,Q,
20100618,BUCY,356532,969362,Q,
20100621,BUCY,393012,1191088,Q,
20100622,BUCY,657365,1284822,Q,
20100623,BUCY,528948,1154403,Q,
20100624,BUCY,548426,952298,Q,
20100625,BUCY,532080,1065774,Q,
20100628,BUCY,484776,1052431,Q,
20100629,BUCY,833958,1361911,Q,
20100630,BUCY,1001608,1926118,Q,
20100701,BUCY,848353,1523220,Q,
20100702,BUCY,910333,1328392,Q,
20100706,BUCY,894571,1551102,Q,
20100707,BUCY,946582,1711154,Q,
20100708,BUCY,611399,1218910,Q,
20100709,BUCY,433689,762928,Q,
