,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,CELL,108293,279485,Q,
20100105,CELL,1194245,3212009,Q,
20100106,CELL,259198,654186,Q,
20100107,CELL,254184,902105,Q,
20100108,CELL,201635,577413,Q,
20100111,CELL,303127,479040,Q,
20100112,CELL,484529,877862,Q,
20100113,CELL,235761,819216,Q,
20100114,CELL,129601,269838,Q,
20100115,CELL,133615,605570,Q,
20100119,CELL,78404,652007,Q,
20100120,CELL,108495,362851,Q,
20100121,CELL,91211,201469,Q,
20100122,CELL,82155,265553,Q,
20100125,CELL,49866,297349,Q,
20100126,CELL,38318,186274,Q,
20100127,CELL,42190,172733,Q,
20100128,CELL,105996,281703,Q,
20100129,CELL,161547,545967,Q,
20100201,CELL,69305,290728,Q,
20100202,CELL,72447,219103,Q,
20100203,CELL,183145,373981,Q,
20100204,CELL,315962,831142,Q,
20100205,CELL,183364,356751,Q,
20100208,CELL,164886,393142,Q,
20100209,CELL,150244,339339,Q,
20100210,CELL,176499,380248,Q,
20100211,CELL,156501,292528,Q,
20100212,CELL,57576,239796,Q,
20100216,CELL,51304,236608,Q,
20100217,CELL,28003,110860,Q,
20100218,CELL,31913,188934,Q,
20100219,CELL,35580,215896,Q,
20100222,CELL,21884,134246,Q,
20100223,CELL,99306,478703,Q,
20100224,CELL,21640,98222,Q,
20100225,CELL,105569,220351,Q,
20100226,CELL,26109,132575,Q,
20100301,CELL,112098,295983,Q,
20100302,CELL,103647,305621,Q,
20100303,CELL,48833,129774,Q,
20100304,CELL,18537,77676,Q,
20100305,CELL,28536,107103,Q,
20100308,CELL,53745,173446,Q,
20100309,CELL,21493,154579,Q,
20100310,CELL,44972,110299,Q,
20100311,CELL,31141,87884,Q,
20100312,CELL,27260,117370,Q,
20100315,CELL,37396,109832,Q,
20100316,CELL,27200,92335,Q,
20100317,CELL,13782,67916,Q,
20100318,CELL,19600,93265,Q,
20100319,CELL,53363,153965,Q,
20100322,CELL,17768,94603,Q,
20100323,CELL,18866,73651,Q,
20100324,CELL,16115,77784,Q,
20100325,CELL,50356,287742,Q,
20100326,CELL,31690,133058,Q,
20100329,CELL,24105,151788,Q,
20100330,CELL,29181,80749,Q,
20100331,CELL,56819,144267,Q,
20100401,CELL,53859,152045,Q,
20100405,CELL,29634,84048,Q,
20100406,CELL,51499,167672,Q,
20100407,CELL,42693,99074,Q,
20100408,CELL,27656,70626,Q,
20100409,CELL,56604,138335,Q,
20100412,CELL,35760,134193,Q,
20100413,CELL,36107,158783,Q,
20100414,CELL,44164,150269,Q,
20100415,CELL,30219,107168,Q,
20100416,CELL,78246,166130,Q,
20100419,CELL,46774,105774,Q,
20100420,CELL,26505,338007,Q,
20100421,CELL,60060,303601,Q,
20100422,CELL,42572,149516,Q,
20100423,CELL,38580,85534,Q,
20100426,CELL,55428,273590,Q,
20100427,CELL,68612,193926,Q,
20100428,CELL,31180,85133,Q,
20100429,CELL,345220,410355,Q,
20100430,CELL,17165,65722,Q,
20100503,CELL,35849,184362,Q,
20100504,CELL,80345,252300,Q,
20100510,CELL,78564,192194,Q,
20100511,CELL,67735,217302,Q,
20100512,CELL,30405,77837,Q,
20100513,CELL,45482,87611,Q,
20100517,CELL,72524,132666,Q,
20100518,CELL,94639,146961,Q,
20100519,CELL,68069,105409,Q,
20100520,CELL,96783,237245,Q,
20100521,CELL,84256,138142,Q,
20100524,CELL,48220,81458,Q,
20100525,CELL,67773,312353,Q,
20100526,CELL,30887,318251,Q,
20100527,CELL,39239,184457,Q,
20100528,CELL,29474,80658,Q,
20100601,CELL,106153,219683,Q,
20100602,CELL,76033,366968,Q,
20100603,CELL,43798,114185,Q,
20100604,CELL,622146,715288,Q,
20100607,CELL,150595,551938,Q,
20100608,CELL,442677,536066,Q,
20100609,CELL,284280,408966,Q,
20100610,CELL,304975,503195,Q,
20100611,CELL,36913,70141,Q,
20100614,CELL,128182,234961,Q,
20100615,CELL,52438,206398,Q,
20100616,CELL,135035,199278,Q,
20100617,CELL,17146,56274,Q,
20100618,CELL,25915,78433,Q,
20100621,CELL,70455,138890,Q,
20100622,CELL,70179,131087,Q,
20100623,CELL,43049,70072,Q,
20100624,CELL,37103,92697,Q,
20100625,CELL,88401,275065,Q,
20100628,CELL,51165,121326,Q,
20100629,CELL,101895,239870,Q,
20100630,CELL,65861,180308,Q,
20100701,CELL,74668,158797,Q,
20100702,CELL,29725,54404,Q,
20100706,CELL,110752,171477,Q,
20100707,CELL,35417,85171,Q,
20100708,CELL,31754,46479,Q,
20100709,CELL,25791,39519,Q,
20110804,CELL,52081,120636,,0.0
