,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100129,CELM,34396,205983,Q,
20100201,CELM,2690,36849,Q,
20100202,CELM,12401,39788,Q,
20100203,CELM,40837,140964,Q,
20100204,CELM,24133,91465,Q,
20100205,CELM,10001,47901,Q,
20100208,CELM,7058,17758,Q,
20100209,CELM,21550,103091,Q,
20100210,CELM,3150,58082,Q,
20100211,CELM,8800,32425,Q,
20100212,CELM,5875,20770,Q,
20100216,CELM,7420,19612,Q,
20100217,CELM,3100,11409,Q,
20100218,CELM,660,13224,Q,
20100219,CELM,4679,12912,Q,
20100222,CELM,22984,87639,Q,
20100223,CELM,2372,37148,Q,
20100224,CELM,5200,28053,Q,
20100225,CELM,1900,21874,Q,
20100226,CELM,2150,17150,Q,
20100301,CELM,4300,28079,Q,
20100302,CELM,19298,41888,Q,
20100303,CELM,169747,394394,Q,
20100304,CELM,117696,267321,Q,
20100305,CELM,108915,199599,Q,
20100308,CELM,84916,160387,Q,
20100309,CELM,205469,497365,Q,
20100310,CELM,61864,190944,Q,
20100311,CELM,7939,72461,Q,
20100312,CELM,5200,53879,Q,
20100315,CELM,4934,48434,Q,
20100316,CELM,6150,35471,Q,
20100317,CELM,37711,163665,Q,
20100318,CELM,14715,81982,Q,
20100319,CELM,24642,211246,Q,
20100322,CELM,12816,32252,Q,
20100323,CELM,19639,49242,Q,
20100324,CELM,35473,57100,Q,
20100325,CELM,8900,31212,Q,
20100326,CELM,45440,91828,Q,
20100329,CELM,53146,133425,Q,
20100330,CELM,89599,182724,Q,
20100331,CELM,126088,380715,Q,
20100401,CELM,86418,207892,Q,
20100405,CELM,70785,126234,Q,
20100406,CELM,126814,278397,Q,
20100407,CELM,382929,941570,Q,
20100408,CELM,131161,424700,Q,
20100409,CELM,142428,388736,Q,
20100412,CELM,203655,464556,Q,
20100413,CELM,172093,394673,Q,
20100414,CELM,194738,390582,Q,
20100415,CELM,64005,281023,Q,
20100416,CELM,318064,676054,Q,
20100419,CELM,154086,310366,Q,
20100420,CELM,67667,150766,Q,
20100421,CELM,65340,133515,Q,
20100422,CELM,120423,290109,Q,
20100423,CELM,144104,382330,Q,
20100426,CELM,135007,283604,Q,
20100427,CELM,94173,210186,Q,
20100428,CELM,291139,446757,Q,
20100429,CELM,169769,373854,Q,
20100430,CELM,79017,127887,Q,
20100503,CELM,114812,206075,Q,
20100504,CELM,79186,220256,Q,
20100510,CELM,114726,244132,Q,
20100511,CELM,82630,176568,Q,
20100512,CELM,89413,179437,Q,
20100513,CELM,47833,108107,Q,
20100517,CELM,75913,351668,Q,
20100518,CELM,79758,479856,Q,
20100519,CELM,64735,228571,Q,
20100520,CELM,26790,111339,Q,
20100521,CELM,29990,115550,Q,
20100524,CELM,27421,95372,Q,
20100525,CELM,30662,151982,Q,
20100526,CELM,27748,100126,Q,
20100527,CELM,30541,56288,Q,
20100528,CELM,29690,66976,Q,
20100601,CELM,24099,75218,Q,
20100602,CELM,17850,100290,Q,
20100603,CELM,17120,67409,Q,
20100604,CELM,17209,76095,Q,
20100607,CELM,19931,113236,Q,
20100608,CELM,17364,104832,Q,
20100609,CELM,53783,109865,Q,
20100610,CELM,34645,73370,Q,
20100611,CELM,36519,85298,Q,
20100614,CELM,70768,166862,Q,
20100615,CELM,9190,58195,Q,
20100616,CELM,20530,61607,Q,
20100617,CELM,12422,26946,Q,
20100618,CELM,18261,42885,Q,
20100621,CELM,32638,77636,Q,
20100622,CELM,15632,47913,Q,
20100623,CELM,23550,41522,Q,
20100624,CELM,3255,33769,Q,
20100625,CELM,6100,42128,Q,
20100628,CELM,5501,45186,Q,
20100629,CELM,7948,51075,Q,
20100630,CELM,5498,53434,Q,
20100701,CELM,5150,64112,Q,
20100702,CELM,262,25239,Q,
20100706,CELM,5350,61600,Q,
20100707,CELM,12100,50467,Q,
20100708,CELM,22693,69854,Q,
20100709,CELM,27069,80090,Q,
