,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,CENX,781464,1668982,Q,
20100105,CENX,931376,2589416,Q,
20100106,CENX,709183,1719390,Q,
20100107,CENX,763826,1592925,Q,
20100108,CENX,1009700,2015001,Q,
20100111,CENX,1043816,2376300,Q,
20100112,CENX,1354564,3161307,Q,
20100113,CENX,843148,1656726,Q,
20100114,CENX,451116,796783,Q,
20100115,CENX,630909,1734786,Q,
20100119,CENX,805040,1729472,Q,
20100120,CENX,713073,1518485,Q,
20100121,CENX,829038,2405657,Q,
20100122,CENX,967976,2655409,Q,
20100125,CENX,1038956,2191487,Q,
20100126,CENX,890639,1968839,Q,
20100127,CENX,1140453,2641233,Q,
20100128,CENX,1253638,3079091,Q,
20100129,CENX,1172328,2691326,Q,
20100201,CENX,1074579,2232263,Q,
20100202,CENX,1315357,2399919,Q,
20100203,CENX,1177022,2461785,Q,
20100204,CENX,1384066,3289739,Q,
20100205,CENX,1954580,4619745,Q,
20100208,CENX,960224,2187380,Q,
20100209,CENX,1140092,2780018,Q,
20100210,CENX,1210139,2413823,Q,
20100211,CENX,1114592,2533216,Q,
20100212,CENX,1122368,2820650,Q,
20100216,CENX,766819,2125072,Q,
20100217,CENX,996558,2581841,Q,
20100218,CENX,848326,1779372,Q,
20100219,CENX,813049,1846520,Q,
20100222,CENX,879953,1875648,Q,
20100223,CENX,1416396,2948615,Q,
20100224,CENX,2754920,5212368,Q,
20100225,CENX,1616459,3074825,Q,
20100226,CENX,1254310,2366776,Q,
20100301,CENX,1007576,2679261,Q,
20100302,CENX,2313004,4300099,Q,
20100303,CENX,1113482,2741158,Q,
20100304,CENX,1193638,2717055,Q,
20100305,CENX,1317527,3117972,Q,
20100308,CENX,1233802,2814850,Q,
20100309,CENX,733192,1950226,Q,
20100310,CENX,1168889,2484451,Q,
20100311,CENX,1225798,2329219,Q,
20100312,CENX,714850,1607030,Q,
20100315,CENX,749751,1627314,Q,
20100316,CENX,599629,1514678,Q,
20100317,CENX,736032,1980768,Q,
20100318,CENX,883072,1602192,Q,
20100319,CENX,1074144,2227181,Q,
20100322,CENX,1019091,1884472,Q,
20100323,CENX,839368,1854010,Q,
20100324,CENX,883632,1645868,Q,
20100325,CENX,939845,1915826,Q,
20100326,CENX,1435046,2211635,Q,
20100329,CENX,921138,3042324,Q,
20100330,CENX,1216753,3535585,Q,
20100331,CENX,886995,4155755,Q,
20100401,CENX,1430259,3961222,Q,
20100405,CENX,1713627,2855211,Q,
20100406,CENX,876193,2955598,Q,
20100407,CENX,1175374,2925863,Q,
20100408,CENX,607499,1442042,Q,
20100409,CENX,412872,1677570,Q,
20100412,CENX,498660,1217820,Q,
20100413,CENX,822194,1706042,Q,
20100414,CENX,774443,1542476,Q,
20100415,CENX,468380,1137034,Q,
20100416,CENX,925881,2500896,Q,
20100419,CENX,916527,2304134,Q,
20100420,CENX,548559,1133625,Q,
20100421,CENX,687524,1813173,Q,
20100422,CENX,575864,1481935,Q,
20100423,CENX,582804,1481705,Q,
20100426,CENX,938588,1884655,Q,
20100427,CENX,1318803,2768487,Q,
20100428,CENX,1199845,2563149,Q,
20100429,CENX,649036,1348891,Q,
20100430,CENX,927238,1687067,Q,
20100503,CENX,1007623,1942037,Q,
20100504,CENX,1203243,2399684,Q,
20100510,CENX,760238,1705897,Q,
20100511,CENX,755552,1330763,Q,
20100512,CENX,685960,1307227,Q,
20100513,CENX,1301464,2967300,Q,
20100517,CENX,1073930,2037204,Q,
20100518,CENX,1100874,2317624,Q,
20100519,CENX,801999,2174961,Q,
20100520,CENX,1488045,3788098,Q,
20100521,CENX,804858,3058987,Q,
20100524,CENX,720557,1928475,Q,
20100525,CENX,979029,2868153,Q,
20100526,CENX,587537,2235648,Q,
20100527,CENX,574234,2294323,Q,
20100528,CENX,678216,1928807,Q,
20100601,CENX,1195951,2441158,Q,
20100602,CENX,789301,1693234,Q,
20100603,CENX,984844,1974650,Q,
20100604,CENX,1116671,2249435,Q,
20100607,CENX,1031930,2372320,Q,
20100608,CENX,898614,1795027,Q,
20100609,CENX,824211,2203344,Q,
20100610,CENX,584571,1808014,Q,
20100611,CENX,389216,1175797,Q,
20100614,CENX,717012,1836773,Q,
20100615,CENX,651181,1638567,Q,
20100616,CENX,785730,1448444,Q,
20100617,CENX,547109,965742,Q,
20100618,CENX,305275,612957,Q,
20100621,CENX,1188249,2755274,Q,
20100622,CENX,820094,1490423,Q,
20100623,CENX,630350,1400090,Q,
20100624,CENX,456678,1388495,Q,
20100625,CENX,726130,1779169,Q,
20100628,CENX,552829,1056789,Q,
20100629,CENX,907601,1870035,Q,
20100630,CENX,762978,1607974,Q,
20100701,CENX,887522,1959447,Q,
20100702,CENX,445375,1079029,Q,
20100706,CENX,486405,1672616,Q,
20100707,CENX,553617,1929570,Q,
20100708,CENX,649573,1564911,Q,
20100709,CENX,359651,1736688,Q,
20110804,CENX,154856,616756,,100.0
