,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,CERN,64296,220454,Q,
20100105,CERN,311321,483240,Q,
20100106,CERN,186736,440987,Q,
20100107,CERN,113291,241702,Q,
20100108,CERN,149716,224479,Q,
20100111,CERN,77037,461519,Q,
20100112,CERN,87644,218956,Q,
20100113,CERN,104514,209078,Q,
20100114,CERN,41160,70273,Q,
20100115,CERN,47545,98190,Q,
20100119,CERN,66688,128740,Q,
20100120,CERN,105161,203486,Q,
20100121,CERN,141824,262651,Q,
20100122,CERN,87315,181134,Q,
20100125,CERN,42979,130018,Q,
20100126,CERN,93120,195190,Q,
20100127,CERN,77371,115862,Q,
20100128,CERN,74167,171563,Q,
20100129,CERN,197213,516742,Q,
20100201,CERN,184545,428220,Q,
20100202,CERN,74931,158088,Q,
20100203,CERN,139757,221795,Q,
20100204,CERN,38994,123333,Q,
20100205,CERN,95528,282476,Q,
20100208,CERN,190859,312211,Q,
20100209,CERN,119353,214606,Q,
20100210,CERN,566952,924324,Q,
20100211,CERN,150399,460739,Q,
20100212,CERN,53505,95609,Q,
20100216,CERN,33515,122859,Q,
20100217,CERN,60146,111349,Q,
20100218,CERN,36339,124356,Q,
20100219,CERN,36874,121180,Q,
20100222,CERN,61315,149702,Q,
20100223,CERN,99705,244698,Q,
20100224,CERN,40938,158385,Q,
20100225,CERN,62332,114125,Q,
20100226,CERN,75148,152919,Q,
20100301,CERN,81283,154715,Q,
20100302,CERN,49738,141389,Q,
20100303,CERN,48797,167589,Q,
20100304,CERN,22941,110768,Q,
20100305,CERN,28760,140381,Q,
20100308,CERN,25200,88325,Q,
20100309,CERN,13455,53063,Q,
20100310,CERN,30779,96655,Q,
20100311,CERN,73332,154112,Q,
20100312,CERN,83442,156417,Q,
20100315,CERN,19745,55471,Q,
20100316,CERN,57124,99699,Q,
20100317,CERN,62713,125353,Q,
20100318,CERN,32448,68233,Q,
20100319,CERN,99662,322969,Q,
20100322,CERN,84174,158282,Q,
20100323,CERN,64153,133148,Q,
20100324,CERN,67669,129557,Q,
20100325,CERN,64969,133245,Q,
20100326,CERN,59861,126850,Q,
20100329,CERN,26397,131957,Q,
20100330,CERN,24906,86393,Q,
20100331,CERN,65366,145088,Q,
20100401,CERN,43201,108068,Q,
20100405,CERN,48141,96241,Q,
20100406,CERN,22724,57562,Q,
20100407,CERN,33480,110487,Q,
20100408,CERN,48853,133511,Q,
20100409,CERN,39031,107864,Q,
20100412,CERN,28162,117644,Q,
20100413,CERN,29961,98207,Q,
20100414,CERN,34426,143482,Q,
20100415,CERN,34731,91636,Q,
20100416,CERN,104066,235540,Q,
20100419,CERN,94768,179235,Q,
20100420,CERN,57203,326863,Q,
20100421,CERN,110076,225341,Q,
20100422,CERN,45330,94939,Q,
20100423,CERN,64127,218519,Q,
20100426,CERN,88514,182299,Q,
20100427,CERN,30964,140953,Q,
20100428,CERN,86606,212209,Q,
20100429,CERN,369213,826005,Q,
20100430,CERN,141214,464886,Q,
20100503,CERN,125499,290796,Q,
20100504,CERN,62380,129969,Q,
20100510,CERN,59910,153985,Q,
20100511,CERN,25542,98825,Q,
20100512,CERN,20433,90298,Q,
20100513,CERN,70486,202115,Q,
20100517,CERN,37891,82192,Q,
20100518,CERN,83547,160339,Q,
20100519,CERN,31058,65779,Q,
20100520,CERN,85852,169498,Q,
20100521,CERN,92894,166858,Q,
20100524,CERN,41023,141968,Q,
20100525,CERN,62750,168902,Q,
20100526,CERN,170067,278393,Q,
20100527,CERN,51797,101164,Q,
20100528,CERN,39282,87274,Q,
20100601,CERN,35485,83444,Q,
20100602,CERN,45201,112992,Q,
20100603,CERN,43370,100917,Q,
20100604,CERN,88308,152845,Q,
20100607,CERN,89770,189287,Q,
20100608,CERN,79465,137226,Q,
20100609,CERN,240888,310722,Q,
20100610,CERN,69876,163586,Q,
20100611,CERN,25497,129844,Q,
20100614,CERN,73049,252303,Q,
20100615,CERN,42881,124909,Q,
20100616,CERN,32468,82240,Q,
20100617,CERN,39566,106955,Q,
20100618,CERN,50542,216545,Q,
20100621,CERN,78102,188649,Q,
20100622,CERN,46703,211058,Q,
20100623,CERN,90984,250617,Q,
20100624,CERN,302936,504828,Q,
20100625,CERN,69210,203608,Q,
20100628,CERN,45752,144495,Q,
20100629,CERN,124441,344136,Q,
20100630,CERN,131632,236578,Q,
20100701,CERN,206386,322856,Q,
20100702,CERN,95045,180183,Q,
20100706,CERN,230967,333182,Q,
20100707,CERN,99324,169150,Q,
20100708,CERN,125034,198743,Q,
20100709,CERN,29635,82837,Q,
20110804,CERN,114193,322656,,100.0
