,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,CFW,43949,76995,Q,
20100105,CFW,3343,57654,Q,
20100106,CFW,64906,195858,Q,
20100107,CFW,96151,140751,Q,
20100108,CFW,19973,50061,Q,
20100111,CFW,86392,169903,Q,
20100112,CFW,29197,92404,Q,
20100113,CFW,22350,97151,Q,
20100114,CFW,21954,72797,Q,
20100115,CFW,42659,124534,Q,
20100119,CFW,17477,72450,Q,
20100120,CFW,123573,226163,Q,
20100121,CFW,33543,76041,Q,
20100122,CFW,22090,44799,Q,
20100125,CFW,22410,49432,Q,
20100126,CFW,35724,76852,Q,
20100127,CFW,2300,11437,Q,
20100128,CFW,28300,87552,Q,
20100129,CFW,16450,71011,Q,
20100201,CFW,4350,87529,Q,
20100202,CFW,4700,37648,Q,
20100203,CFW,1845,46304,Q,
20100204,CFW,9505,74274,Q,
20100205,CFW,7496,73904,Q,
20100208,CFW,22000,53929,Q,
20100209,CFW,9322,67520,Q,
20100210,CFW,7735,113011,Q,
20100211,CFW,860,22431,Q,
20100216,CFW,21342,116009,Q,
20100217,CFW,8500,146402,Q,
20100218,CFW,1700,52029,Q,
20100219,CFW,34632,72753,Q,
20100222,CFW,1851,18127,Q,
20100223,CFW,3016,31281,Q,
20100224,CFW,4300,21123,Q,
20100225,CFW,11525,556083,Q,
20100226,CFW,5700,37173,Q,
20100301,CFW,8100,68328,Q,
20100302,CFW,10000,65993,Q,
20100303,CFW,18666,82406,Q,
20100304,CFW,47650,84753,Q,
20100305,CFW,68751,705909,Q,
20100308,CFW,71013,216120,Q,
20100309,CFW,15590,70943,Q,
20100310,CFW,14504,70971,Q,
20100311,CFW,38048,134280,Q,
20100312,CFW,30250,131607,Q,
20100315,CFW,50956,176631,Q,
20100316,CFW,103073,235329,Q,
20100317,CFW,82409,162145,Q,
20100318,CFW,67925,130875,Q,
20100319,CFW,15734,100555,Q,
20100322,CFW,60446,121125,Q,
20100323,CFW,118040,204306,Q,
20100324,CFW,143669,235875,Q,
20100325,CFW,190125,416417,Q,
20100326,CFW,76096,198110,Q,
20100329,CFW,87907,186968,Q,
20100330,CFW,6874,111687,Q,
20100331,CFW,34485,94479,Q,
20100401,CFW,60179,258753,Q,
20100405,CFW,49954,137769,Q,
20100406,CFW,9212,106454,Q,
20100407,CFW,33966,81129,Q,
20100408,CFW,28027,91358,Q,
20100409,CFW,16241,146613,Q,
20100412,CFW,210870,414200,Q,
20100413,CFW,99866,272510,Q,
20100414,CFW,65254,258833,Q,
20100415,CFW,19180,59030,Q,
20100416,CFW,6800,47611,Q,
20100419,CFW,7400,74613,Q,
20100421,CFW,40674,63480,Q,
20100422,CFW,17100,51715,Q,
20100423,CFW,54212,164062,Q,
20100426,CFW,29020,71168,Q,
20100427,CFW,3300,65347,Q,
20100428,CFW,6700,36400,Q,
20100429,CFW,20400,102789,Q,
20100430,CFW,4600,44823,Q,
20100503,CFW,51123,165926,Q,
20100504,CFW,37622,105020,Q,
20100510,CFW,3825,53681,Q,
20100511,CFW,25943,73234,Q,
20100512,CFW,29841,111219,Q,
20100513,CFW,38262,65867,Q,
20100517,CFW,32364,78720,Q,
20100518,CFW,23060,46460,Q,
20100519,CFW,25130,276524,Q,
20100520,CFW,12750,84916,Q,
20100521,CFW,31050,71050,Q,
20100524,CFW,6800,21008,Q,
20100525,CFW,27922,133342,Q,
20100526,CFW,15500,101200,Q,
20100527,CFW,59773,126942,Q,
20100528,CFW,30253,99712,Q,
20100601,CFW,28871,47515,Q,
20100602,CFW,1300,40684,Q,
20100603,CFW,32431,68149,Q,
20100604,CFW,39470,70373,Q,
20100607,CFW,44918,136398,Q,
20100608,CFW,18685,127424,Q,
20100609,CFW,39360,75929,Q,
20100610,CFW,6600,28325,Q,
20100611,CFW,4260,46400,Q,
20100614,CFW,19300,72412,Q,
20100615,CFW,8500,62805,Q,
20100616,CFW,18360,59750,Q,
20100617,CFW,59106,122750,Q,
20100618,CFW,74928,199206,Q,
20100621,CFW,41746,76111,Q,
20100622,CFW,51804,105732,Q,
20100623,CFW,17125,87604,Q,
20100624,CFW,46791,142780,Q,
20100625,CFW,5930,43678,Q,
20100628,CFW,20622,63696,Q,
20100629,CFW,29300,200115,Q,
20100630,CFW,163251,849501,Q,
20100701,CFW,30341,140611,Q,
20100702,CFW,80740,190112,Q,
20100706,CFW,76659,303060,Q,
20100707,CFW,145350,871930,Q,
20100708,CFW,183074,514674,Q,
20100709,CFW,97176,308152,Q,
20110804,CFW,41500,212313,,0.0
