,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,CGW,30142,73276,Q,
20100105,CGW,35384,55512,Q,
20100106,CGW,10943,184377,Q,
20100107,CGW,1960,28516,Q,
20100108,CGW,10822,67906,Q,
20100111,CGW,25839,59068,Q,
20100112,CGW,17997,34865,Q,
20100113,CGW,18828,36504,Q,
20100114,CGW,8805,16920,Q,
20100115,CGW,6373,52243,Q,
20100119,CGW,12520,53486,Q,
20100120,CGW,9564,52362,Q,
20100121,CGW,8270,47410,Q,
20100122,CGW,19513,78166,Q,
20100125,CGW,6694,43052,Q,
20100126,CGW,30666,85385,Q,
20100128,CGW,5700,57450,Q,
20100129,CGW,1958,28050,Q,
20100201,CGW,9095,34287,Q,
20100202,CGW,10994,27790,Q,
20100203,CGW,6062,30151,Q,
20100204,CGW,8437,44615,Q,
20100205,CGW,6790,67206,Q,
20100208,CGW,1447,16962,Q,
20100209,CGW,8884,37469,Q,
20100210,CGW,12484,28802,Q,
20100211,CGW,13712,46110,Q,
20100212,CGW,3015,28201,Q,
20100216,CGW,9234,36563,Q,
20100217,CGW,15790,29858,Q,
20100218,CGW,10646,21142,Q,
20100219,CGW,13821,33550,Q,
20100222,CGW,19473,51704,Q,
20100223,CGW,17938,30378,Q,
20100224,CGW,4909,196705,Q,
20100225,CGW,2738,26366,Q,
20100226,CGW,4615,27590,Q,
20100301,CGW,2683,28452,Q,
20100302,CGW,8881,33227,Q,
20100303,CGW,11960,28880,Q,
20100304,CGW,9718,90609,Q,
20100305,CGW,2330,38626,Q,
20100308,CGW,1942,19189,Q,
20100309,CGW,7265,21840,Q,
20100310,CGW,5331,26673,Q,
20100311,CGW,5100,24122,Q,
20100312,CGW,10567,33040,Q,
20100315,CGW,6915,14611,Q,
20100316,CGW,5423,34398,Q,
20100317,CGW,6444,33836,Q,
20100318,CGW,4757,24316,Q,
20100319,CGW,5103,25935,Q,
20100322,CGW,6735,22546,Q,
20100323,CGW,5659,34059,Q,
20100324,CGW,11047,27005,Q,
20100325,CGW,40847,65321,Q,
20100326,CGW,1060,18383,Q,
20100329,CGW,4445,28556,Q,
20100330,CGW,4891,28337,Q,
20100331,CGW,5185,18511,Q,
20100401,CGW,8777,33018,Q,
20100405,CGW,11263,31801,Q,
20100406,CGW,12650,35389,Q,
20100407,CGW,4750,24365,Q,
20100408,CGW,436,9797,Q,
20100409,CGW,6400,77704,Q,
20100412,CGW,6739,21613,Q,
20100413,CGW,4444,26015,Q,
20100414,CGW,6799,25869,Q,
20100415,CGW,5149,22933,Q,
20100416,CGW,6900,31003,Q,
20100419,CGW,4234,27855,Q,
20100420,CGW,5998,17649,Q,
20100421,CGW,3495,13561,Q,
20100422,CGW,8196,21380,Q,
20100423,CGW,6144,13616,Q,
20100426,CGW,5332,27818,Q,
20100427,CGW,2431,27863,Q,
20100428,CGW,3104,27432,Q,
20100429,CGW,5268,21883,Q,
20100430,CGW,1302,14505,Q,
20100503,CGW,1568,12944,Q,
20100504,CGW,2260,20825,Q,
20100510,CGW,3145,19564,Q,
20100511,CGW,18122,46868,Q,
20100512,CGW,3100,24824,Q,
20100513,CGW,900,12567,Q,
20100517,CGW,2847,15289,Q,
20100518,CGW,4381,16930,Q,
20100519,CGW,2953,24664,Q,
20100520,CGW,750,39341,Q,
20100521,CGW,2854,27657,Q,
20100525,CGW,6635,53124,Q,
20100526,CGW,2260,17665,Q,
20100527,CGW,3098,19083,Q,
20100528,CGW,2798,17410,Q,
20100601,CGW,650,18904,Q,
20100602,CGW,2450,10268,Q,
20100603,CGW,635,24179,Q,
20100604,CGW,7522,178411,Q,
20100607,CGW,3139,21156,Q,
20100608,CGW,14676,41096,Q,
20100609,CGW,3663,19230,Q,
20100610,CGW,11123,229734,Q,
20100611,CGW,1338,11803,Q,
20100614,CGW,7355,24738,Q,
20100615,CGW,1500,12514,Q,
20100617,CGW,2800,27123,Q,
20100618,CGW,1688,17568,Q,
20100621,CGW,4055,31219,Q,
20100622,CGW,3082,15151,Q,
20100623,CGW,1800,107745,Q,
20100628,CGW,795,166133,Q,
20100629,CGW,49030,68916,Q,
20100630,CGW,2000,28297,Q,
20100701,CGW,5253,22910,Q,
20100702,CGW,300,16590,Q,
20100706,CGW,525,16443,Q,
20100708,CGW,100,14870,Q,
20110804,CGW,5727,40632,,0.0
