,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100304,CHGS,125774,214473,Q,
20100305,CHGS,297477,597175,Q,
20100308,CHGS,242621,561101,Q,
20100309,CHGS,48394,165972,Q,
20100310,CHGS,58287,224293,Q,
20100311,CHGS,69784,180487,Q,
20100312,CHGS,65601,130085,Q,
20100315,CHGS,17993,150844,Q,
20100316,CHGS,28951,162091,Q,
20100317,CHGS,16655,86528,Q,
20100318,CHGS,32995,212623,Q,
20100319,CHGS,59735,159132,Q,
20100322,CHGS,51905,108869,Q,
20100323,CHGS,120273,232746,Q,
20100324,CHGS,115784,224622,Q,
20100325,CHGS,36845,140681,Q,
20100326,CHGS,10010,65956,Q,
20100329,CHGS,34188,129303,Q,
20100330,CHGS,179004,403680,Q,
20100331,CHGS,15435,165571,Q,
20100401,CHGS,25508,153617,Q,
20100405,CHGS,30350,156094,Q,
20100406,CHGS,53292,176780,Q,
20100407,CHGS,34538,134052,Q,
20100408,CHGS,12200,58576,Q,
20100409,CHGS,17319,75150,Q,
20100412,CHGS,12020,54456,Q,
20100413,CHGS,16046,62899,Q,
20100414,CHGS,11400,62590,Q,
20100415,CHGS,9876,71406,Q,
20100416,CHGS,27707,76320,Q,
20100419,CHGS,22007,103013,Q,
20100420,CHGS,843,46967,Q,
20100421,CHGS,39640,134478,Q,
20100422,CHGS,11833,89138,Q,
20100423,CHGS,5052,31540,Q,
20100426,CHGS,17029,210935,Q,
20100427,CHGS,6762,34610,Q,
20100428,CHGS,34265,97770,Q,
20100429,CHGS,11400,51337,Q,
20100430,CHGS,28081,56881,Q,
20100503,CHGS,14910,73534,Q,
20100504,CHGS,26310,116474,Q,
20100510,CHGS,54143,124316,Q,
20100511,CHGS,33859,54138,Q,
20100512,CHGS,14531,19108,Q,
20100513,CHGS,14675,58382,Q,
20100517,CHGS,39138,163261,Q,
20100518,CHGS,13009,54865,Q,
20100519,CHGS,47788,106118,Q,
20100520,CHGS,58020,99407,Q,
20100521,CHGS,21022,51398,Q,
20100524,CHGS,21313,30885,Q,
20100525,CHGS,18660,37399,Q,
20100526,CHGS,16786,25976,Q,
20100527,CHGS,11400,55668,Q,
20100528,CHGS,4422,40685,Q,
20100601,CHGS,1700,22699,Q,
20100602,CHGS,1400,17315,Q,
20100603,CHGS,4200,37637,Q,
20100604,CHGS,3489,28489,Q,
20100608,CHGS,1265,34825,Q,
20100609,CHGS,200,13688,Q,
20100610,CHGS,2000,35519,Q,
20100611,CHGS,4233,90209,Q,
20100614,CHGS,15978,78150,Q,
20100615,CHGS,41018,138996,Q,
20100616,CHGS,15475,60671,Q,
20100617,CHGS,44355,157448,Q,
20100618,CHGS,30750,63089,Q,
20100621,CHGS,8227,37648,Q,
20100622,CHGS,29875,70627,Q,
20100623,CHGS,27125,67762,Q,
20100624,CHGS,9350,39729,Q,
20100625,CHGS,8125,27820,Q,
20100628,CHGS,43500,95433,Q,
20100629,CHGS,14333,53234,Q,
20100630,CHGS,21899,60810,Q,
20100701,CHGS,17686,30975,Q,
20100702,CHGS,6165,15765,Q,
20100706,CHGS,13310,26200,Q,
20100707,CHGS,3900,11600,Q,
20100708,CHGS,12983,26476,Q,
20100709,CHGS,12640,21210,Q,
20110804,CHGS,18503,114290,,0.0
