,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,CHIQ,21115,29645,Q,
20100105,CHIQ,24203,24703,Q,
20100106,CHIQ,12660,120330,Q,
20100107,CHIQ,10783,18207,Q,
20100108,CHIQ,5850,11800,Q,
20100111,CHIQ,9926,14401,Q,
20100112,CHIQ,13625,25540,Q,
20100113,CHIQ,10750,82345,Q,
20100114,CHIQ,3825,5925,Q,
20100115,CHIQ,4928,17709,Q,
20100119,CHIQ,5084,11284,Q,
20100120,CHIQ,10033,19164,Q,
20100121,CHIQ,7640,16615,Q,
20100122,CHIQ,975,4611,Q,
20100125,CHIQ,5300,10205,Q,
20100126,CHIQ,18177,30963,Q,
20100127,CHIQ,3500,13840,Q,
20100128,CHIQ,8678,16654,Q,
20100129,CHIQ,2200,9495,Q,
20100201,CHIQ,10000,11762,Q,
20100202,CHIQ,11655,13355,Q,
20100203,CHIQ,1350,3312,Q,
20100204,CHIQ,500,4906,Q,
20100205,CHIQ,6132,13468,Q,
20100208,CHIQ,1500,2766,Q,
20100209,CHIQ,12845,14795,Q,
20100210,CHIQ,4150,5350,Q,
20100211,CHIQ,2600,19703,Q,
20100212,CHIQ,1500,2145,Q,
20100216,CHIQ,5000,10100,Q,
20100217,CHIQ,16281,19186,Q,
20100218,CHIQ,16350,20850,Q,
20100219,CHIQ,4189,17990,Q,
20100222,CHIQ,19500,23140,Q,
20100223,CHIQ,2800,8030,Q,
20100224,CHIQ,80572,86240,Q,
20100225,CHIQ,2200,12584,Q,
20100226,CHIQ,5700,8646,Q,
20100301,CHIQ,56011,56836,Q,
20100302,CHIQ,5200,6200,Q,
20100303,CHIQ,5935,9835,Q,
20100304,CHIQ,8055,11605,Q,
20100305,CHIQ,360,870,Q,
20100308,CHIQ,1625,4877,Q,
20100309,CHIQ,1735,105260,Q,
20100310,CHIQ,5650,7780,Q,
20100311,CHIQ,5400,6200,Q,
20100315,CHIQ,51750,53010,Q,
20100316,CHIQ,2200,4600,Q,
20100317,CHIQ,14650,19640,Q,
20100318,CHIQ,5835,9297,Q,
20100319,CHIQ,400,4900,Q,
20100322,CHIQ,1790,3550,Q,
20100323,CHIQ,5700,15030,Q,
20100324,CHIQ,7124,11024,Q,
20100325,CHIQ,1200,3100,Q,
20100326,CHIQ,5525,26382,Q,
20100329,CHIQ,8062,14162,Q,
20100330,CHIQ,1250,7210,Q,
20100331,CHIQ,1160,3960,Q,
20100401,CHIQ,4100,5300,Q,
20100405,CHIQ,6552,9902,Q,
20100406,CHIQ,16820,62688,Q,
20100407,CHIQ,3415,9946,Q,
20100408,CHIQ,13966,15366,Q,
20100409,CHIQ,15585,16685,Q,
20100412,CHIQ,13789,21067,Q,
20100413,CHIQ,4548,21500,Q,
20100414,CHIQ,8400,13562,Q,
20100415,CHIQ,11726,15132,Q,
20100416,CHIQ,28266,40561,Q,
20100419,CHIQ,1460,12674,Q,
20100420,CHIQ,6724,8949,Q,
20100421,CHIQ,2547,4147,Q,
20100422,CHIQ,8650,18970,Q,
20100423,CHIQ,100,2220,Q,
20100426,CHIQ,3575,6178,Q,
20100427,CHIQ,7500,9500,Q,
20100428,CHIQ,22065,29015,Q,
20100429,CHIQ,7629,10129,Q,
20100430,CHIQ,11689,16218,Q,
20100503,CHIQ,1700,2775,Q,
20100504,CHIQ,3550,8850,Q,
20100510,CHIQ,17549,20424,Q,
20100511,CHIQ,3205,8255,Q,
20100512,CHIQ,3465,110153,Q,
20100513,CHIQ,2818,5411,Q,
20100517,CHIQ,2310,8145,Q,
20100518,CHIQ,1355,7405,Q,
20100519,CHIQ,10680,32575,Q,
20100520,CHIQ,2640,39182,Q,
20100521,CHIQ,1200,15442,Q,
20100524,CHIQ,14700,22750,Q,
20100525,CHIQ,16533,22828,Q,
20100526,CHIQ,9900,15725,Q,
20100527,CHIQ,8955,13985,Q,
20100528,CHIQ,8044,14584,Q,
20100601,CHIQ,1665,10867,Q,
20100602,CHIQ,800,4112,Q,
20100603,CHIQ,875,6275,Q,
20100604,CHIQ,1125,5609,Q,
20100607,CHIQ,4535,8235,Q,
20100608,CHIQ,5626,6651,Q,
20100609,CHIQ,12790,14260,Q,
20100610,CHIQ,2400,5185,Q,
20100611,CHIQ,1800,89834,Q,
20100614,CHIQ,7761,11390,Q,
20100615,CHIQ,6466,16726,Q,
20100616,CHIQ,3212,15712,Q,
20100617,CHIQ,3351,10264,Q,
20100618,CHIQ,3830,5665,Q,
20100621,CHIQ,21017,25352,Q,
20100622,CHIQ,22547,23947,Q,
20100623,CHIQ,6671,8071,Q,
20100624,CHIQ,4578,11188,Q,
20100625,CHIQ,600,1400,Q,
20100628,CHIQ,5562,8412,Q,
20100629,CHIQ,32688,40168,Q,
20100630,CHIQ,1213,4756,Q,
20100701,CHIQ,13180,41993,Q,
20100702,CHIQ,6950,10150,Q,
20100706,CHIQ,8650,16000,Q,
20100707,CHIQ,19182,28700,Q,
20100708,CHIQ,6888,12888,Q,
20100709,CHIQ,44825,50237,Q,
20110804,CHIQ,22680,624737,,0.0
