,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,CHSCP,4596,10296,Q,
20100105,CHSCP,4120,6480,Q,
20100106,CHSCP,2570,5410,Q,
20100107,CHSCP,4044,7819,Q,
20100108,CHSCP,1000,4425,Q,
20100111,CHSCP,3509,9132,Q,
20100112,CHSCP,1722,4353,Q,
20100113,CHSCP,1610,2545,Q,
20100114,CHSCP,3852,6346,Q,
20100115,CHSCP,7331,21475,Q,
20100119,CHSCP,4044,6502,Q,
20100120,CHSCP,6815,9697,Q,
20100121,CHSCP,3902,5060,Q,
20100122,CHSCP,13232,14532,Q,
20100125,CHSCP,1791,7673,Q,
20100126,CHSCP,500,2574,Q,
20100127,CHSCP,3629,7328,Q,
20100128,CHSCP,4534,7184,Q,
20100129,CHSCP,2970,11063,Q,
20100201,CHSCP,1075,4139,Q,
20100202,CHSCP,7799,18386,Q,
20100203,CHSCP,3128,6922,Q,
20100204,CHSCP,2401,5958,Q,
20100205,CHSCP,3715,15216,Q,
20100208,CHSCP,1700,6887,Q,
20100209,CHSCP,5850,10745,Q,
20100210,CHSCP,2241,3990,Q,
20100211,CHSCP,3660,4410,Q,
20100212,CHSCP,4649,7049,Q,
20100216,CHSCP,1375,5802,Q,
20100217,CHSCP,8633,12032,Q,
20100218,CHSCP,2256,8710,Q,
20100219,CHSCP,1885,7314,Q,
20100222,CHSCP,11321,22864,Q,
20100223,CHSCP,4487,17030,Q,
20100224,CHSCP,866,3087,Q,
20100225,CHSCP,2573,3585,Q,
20100226,CHSCP,1310,2888,Q,
20100301,CHSCP,3189,8102,Q,
20100302,CHSCP,1007,2137,Q,
20100303,CHSCP,4476,8686,Q,
20100304,CHSCP,3600,7436,Q,
20100305,CHSCP,100,4733,Q,
20100308,CHSCP,485,2628,Q,
20100309,CHSCP,9025,16056,Q,
20100310,CHSCP,1193,4211,Q,
20100311,CHSCP,7245,12990,Q,
20100312,CHSCP,4270,9962,Q,
20100315,CHSCP,1200,9407,Q,
20100316,CHSCP,7919,20543,Q,
20100317,CHSCP,6090,8840,Q,
20100318,CHSCP,10949,13113,Q,
20100319,CHSCP,1000,14240,Q,
20100322,CHSCP,5814,12017,Q,
20100323,CHSCP,6937,14060,Q,
20100324,CHSCP,6636,9336,Q,
20100325,CHSCP,11755,19353,Q,
20100326,CHSCP,3573,12363,Q,
20100329,CHSCP,900,6944,Q,
20100330,CHSCP,4193,18540,Q,
20100331,CHSCP,4942,13206,Q,
20100401,CHSCP,3683,5884,Q,
20100405,CHSCP,7374,17518,Q,
20100406,CHSCP,3842,21139,Q,
20100407,CHSCP,4914,15723,Q,
20100408,CHSCP,4615,28306,Q,
20100409,CHSCP,5497,15920,Q,
20100412,CHSCP,7779,14372,Q,
20100413,CHSCP,10064,15662,Q,
20100414,CHSCP,9364,22719,Q,
20100415,CHSCP,12658,19005,Q,
20100416,CHSCP,15065,21354,Q,
20100419,CHSCP,2416,7650,Q,
20100420,CHSCP,1100,4534,Q,
20100421,CHSCP,3107,6135,Q,
20100422,CHSCP,1459,8611,Q,
20100423,CHSCP,7718,13101,Q,
20100426,CHSCP,7761,10918,Q,
20100427,CHSCP,2198,5349,Q,
20100428,CHSCP,12240,16025,Q,
20100429,CHSCP,4358,10893,Q,
20100430,CHSCP,3245,7647,Q,
20100503,CHSCP,2533,5128,Q,
20100504,CHSCP,22525,26303,Q,
20100510,CHSCP,7367,19189,Q,
20100511,CHSCP,9400,13855,Q,
20100512,CHSCP,15905,26640,Q,
20100513,CHSCP,22649,28563,Q,
20100517,CHSCP,9825,16484,Q,
20100518,CHSCP,6430,9282,Q,
20100519,CHSCP,2590,4758,Q,
20100520,CHSCP,4421,6327,Q,
20100521,CHSCP,8135,11057,Q,
20100524,CHSCP,2960,6626,Q,
20100525,CHSCP,6245,8198,Q,
20100526,CHSCP,7629,12774,Q,
20100527,CHSCP,7046,13714,Q,
20100528,CHSCP,4387,6867,Q,
20100601,CHSCP,777,1716,Q,
20100602,CHSCP,5683,7344,Q,
20100603,CHSCP,500,1850,Q,
20100604,CHSCP,3012,4412,Q,
20100607,CHSCP,2169,6389,Q,
20100608,CHSCP,3569,5215,Q,
20100609,CHSCP,6814,13133,Q,
20100610,CHSCP,1720,2867,Q,
20100611,CHSCP,3716,7711,Q,
20100614,CHSCP,4104,5852,Q,
20100615,CHSCP,7565,14496,Q,
20100616,CHSCP,2195,5857,Q,
20100617,CHSCP,300,13551,Q,
20100618,CHSCP,10879,19890,Q,
20100621,CHSCP,700,7390,Q,
20100622,CHSCP,2867,4539,Q,
20100623,CHSCP,2710,4978,Q,
20100624,CHSCP,1340,7805,Q,
20100625,CHSCP,2957,6533,Q,
20100628,CHSCP,1555,3468,Q,
20100629,CHSCP,2445,5090,Q,
20100630,CHSCP,13077,19353,Q,
20100701,CHSCP,2928,5510,Q,
20100702,CHSCP,1579,3122,Q,
20100706,CHSCP,3420,7535,Q,
20100707,CHSCP,3845,5445,Q,
20100708,CHSCP,5275,9403,Q,
20100709,CHSCP,3593,6487,Q,
20110804,CHSCP,3925,11276,,0.0
