,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,CHY,15679,99039,Q,
20100105,CHY,13416,68356,Q,
20100106,CHY,27138,106044,Q,
20100107,CHY,19593,96133,Q,
20100108,CHY,36170,103615,Q,
20100111,CHY,28595,91753,Q,
20100112,CHY,17198,67711,Q,
20100113,CHY,16411,72395,Q,
20100114,CHY,15662,69015,Q,
20100115,CHY,20860,93151,Q,
20100119,CHY,16392,66577,Q,
20100120,CHY,18414,87638,Q,
20100121,CHY,26498,90001,Q,
20100122,CHY,12683,105014,Q,
20100125,CHY,20137,93477,Q,
20100126,CHY,20431,126244,Q,
20100127,CHY,12728,89158,Q,
20100128,CHY,7926,85744,Q,
20100129,CHY,17842,121709,Q,
20100201,CHY,13190,80486,Q,
20100202,CHY,37352,106877,Q,
20100203,CHY,14488,62857,Q,
20100204,CHY,40893,156555,Q,
20100205,CHY,25480,275675,Q,
20100208,CHY,18685,97348,Q,
20100209,CHY,16238,123539,Q,
20100210,CHY,9406,80259,Q,
20100211,CHY,12482,87457,Q,
20100212,CHY,17524,57961,Q,
20100216,CHY,28016,136052,Q,
20100217,CHY,26304,118757,Q,
20100218,CHY,31112,99449,Q,
20100219,CHY,19303,74796,Q,
20100222,CHY,20339,71194,Q,
20100223,CHY,26541,116004,Q,
20100224,CHY,12296,80319,Q,
20100225,CHY,13690,91143,Q,
20100226,CHY,23183,85327,Q,
20100301,CHY,61642,114116,Q,
20100302,CHY,34340,101351,Q,
20100303,CHY,39236,104862,Q,
20100304,CHY,60276,169942,Q,
20100305,CHY,54029,122833,Q,
20100308,CHY,65342,147629,Q,
20100309,CHY,35995,113734,Q,
20100310,CHY,45232,113264,Q,
20100311,CHY,47292,88889,Q,
20100312,CHY,37667,93064,Q,
20100315,CHY,52228,107418,Q,
20100316,CHY,52806,114605,Q,
20100317,CHY,83045,213497,Q,
20100318,CHY,16679,104030,Q,
20100319,CHY,29731,79628,Q,
20100322,CHY,39756,108223,Q,
20100323,CHY,45119,107350,Q,
20100324,CHY,44446,96500,Q,
20100325,CHY,34789,106674,Q,
20100326,CHY,31351,119759,Q,
20100329,CHY,12892,74773,Q,
20100330,CHY,8757,76341,Q,
20100331,CHY,15282,94844,Q,
20100401,CHY,10615,84907,Q,
20100405,CHY,96198,232002,Q,
20100406,CHY,91561,177413,Q,
20100407,CHY,59812,126035,Q,
20100408,CHY,75186,151428,Q,
20100409,CHY,59761,116249,Q,
20100412,CHY,54550,141081,Q,
20100413,CHY,63192,172531,Q,
20100414,CHY,42628,133039,Q,
20100415,CHY,86631,146010,Q,
20100416,CHY,54894,152376,Q,
20100419,CHY,78028,186634,Q,
20100420,CHY,32754,147982,Q,
20100421,CHY,41426,160928,Q,
20100422,CHY,16673,106700,Q,
20100423,CHY,28794,141266,Q,
20100426,CHY,39743,127064,Q,
20100427,CHY,39097,101177,Q,
20100428,CHY,50753,120421,Q,
20100429,CHY,42619,102437,Q,
20100430,CHY,25453,59000,Q,
20100503,CHY,39777,86502,Q,
20100504,CHY,32236,73623,Q,
20100510,CHY,47803,149392,Q,
20100511,CHY,26074,94924,Q,
20100512,CHY,38290,111227,Q,
20100513,CHY,35601,88905,Q,
20100517,CHY,43763,168323,Q,
20100518,CHY,27328,136423,Q,
20100519,CHY,86175,284978,Q,
20100520,CHY,28285,170769,Q,
20100521,CHY,42712,177061,Q,
20100524,CHY,33428,115827,Q,
20100525,CHY,43940,190573,Q,
20100526,CHY,37850,111231,Q,
20100527,CHY,33896,110144,Q,
20100528,CHY,29071,63688,Q,
20100601,CHY,27471,88133,Q,
20100602,CHY,31600,127595,Q,
20100603,CHY,22880,98928,Q,
20100604,CHY,21329,87507,Q,
20100607,CHY,11728,87637,Q,
20100608,CHY,21071,105538,Q,
20100609,CHY,10275,78817,Q,
20100610,CHY,17459,89776,Q,
20100611,CHY,12947,45316,Q,
20100614,CHY,19763,74517,Q,
20100615,CHY,78375,150871,Q,
20100616,CHY,74753,162400,Q,
20100617,CHY,34264,72257,Q,
20100618,CHY,35637,89398,Q,
20100621,CHY,39887,78072,Q,
20100622,CHY,26450,82471,Q,
20100623,CHY,16093,51741,Q,
20100624,CHY,41068,101993,Q,
20100625,CHY,84765,220727,Q,
20100628,CHY,66652,145577,Q,
20100629,CHY,32110,88065,Q,
20100630,CHY,35238,101063,Q,
20100701,CHY,15275,106687,Q,
20100702,CHY,15247,73623,Q,
20100706,CHY,34585,109297,Q,
20100707,CHY,45517,134506,Q,
20100708,CHY,52699,93920,Q,
20100709,CHY,29736,63645,Q,
20110804,CHY,57816,180459,,0.0
