,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,CIE,74921,480991,Q,
20100105,CIE,47456,727627,Q,
20100106,CIE,8559,412430,Q,
20100107,CIE,12322,98835,Q,
20100108,CIE,9385,155408,Q,
20100111,CIE,19216,274009,Q,
20100112,CIE,8100,81454,Q,
20100113,CIE,30250,135755,Q,
20100114,CIE,27166,91774,Q,
20100115,CIE,13460,135671,Q,
20100119,CIE,55899,225836,Q,
20100120,CIE,10095,94326,Q,
20100121,CIE,10100,274179,Q,
20100122,CIE,42125,918616,Q,
20100125,CIE,42830,277918,Q,
20100126,CIE,18196,90533,Q,
20100127,CIE,34910,113651,Q,
20100128,CIE,17650,62684,Q,
20100129,CIE,609664,1882957,Q,
20100201,CIE,180800,488055,Q,
20100202,CIE,31700,192438,Q,
20100203,CIE,7515,68531,Q,
20100204,CIE,20848,113608,Q,
20100205,CIE,49008,197779,Q,
20100208,CIE,13432,36796,Q,
20100209,CIE,66484,99368,Q,
20100210,CIE,48591,201791,Q,
20100211,CIE,51313,82139,Q,
20100212,CIE,800,72283,Q,
20100216,CIE,8165,62331,Q,
20100217,CIE,11214,88518,Q,
20100218,CIE,1500,46010,Q,
20100219,CIE,13404,142428,Q,
20100222,CIE,3400,208820,Q,
20100223,CIE,92231,668125,Q,
20100224,CIE,426000,637019,Q,
20100225,CIE,164770,960342,Q,
20100226,CIE,20786,122424,Q,
20100301,CIE,49858,101591,Q,
20100302,CIE,18099,136160,Q,
20100303,CIE,20409,205609,Q,
20100304,CIE,18459,36834,Q,
20100305,CIE,18914,192252,Q,
20100308,CIE,15699,134299,Q,
20100309,CIE,15500,56453,Q,
20100310,CIE,14800,211700,Q,
20100311,CIE,16955,77695,Q,
20100312,CIE,15800,61158,Q,
20100315,CIE,6014,44468,Q,
20100316,CIE,17186,119128,Q,
20100317,CIE,27120,125418,Q,
20100318,CIE,7688,151482,Q,
20100319,CIE,21100,143562,Q,
20100322,CIE,7720,58444,Q,
20100323,CIE,7300,112171,Q,
20100324,CIE,34995,114475,Q,
20100325,CIE,7600,80727,Q,
20100326,CIE,5077,89354,Q,
20100329,CIE,30811,109499,Q,
20100330,CIE,37413,282393,Q,
20100331,CIE,196710,455809,Q,
20100401,CIE,32606,61225,Q,
20100405,CIE,39436,77051,Q,
20100406,CIE,29405,123698,Q,
20100407,CIE,18240,34260,Q,
20100408,CIE,15775,38127,Q,
20100409,CIE,15152,161415,Q,
20100412,CIE,8708,97115,Q,
20100413,CIE,38108,192434,Q,
20100414,CIE,69433,238237,Q,
20100415,CIE,204023,578351,Q,
20100416,CIE,14989,79390,Q,
20100419,CIE,17317,44837,Q,
20100420,CIE,32839,79815,Q,
20100421,CIE,27081,95976,Q,
20100422,CIE,81707,169159,Q,
20100423,CIE,26677,215775,Q,
20100426,CIE,29260,76034,Q,
20100427,CIE,16620,62760,Q,
20100428,CIE,18768,59043,Q,
20100429,CIE,72542,434171,Q,
20100430,CIE,156639,388605,Q,
20100503,CIE,91707,159882,Q,
20100504,CIE,140367,206084,Q,
20100510,CIE,49955,206114,Q,
20100511,CIE,81801,169072,Q,
20100512,CIE,147611,236891,Q,
20100513,CIE,52648,98895,Q,
20100517,CIE,29163,61501,Q,
20100518,CIE,165369,238519,Q,
20100519,CIE,466371,1071670,Q,
20100520,CIE,839000,918589,Q,
20100521,CIE,226488,356344,Q,
20100524,CIE,29166,156160,Q,
20100525,CIE,89972,189867,Q,
20100526,CIE,196624,404386,Q,
20100527,CIE,952305,1983359,Q,
20100528,CIE,134942,406570,Q,
20100601,CIE,706805,1620049,Q,
20100602,CIE,454583,1284067,Q,
20100603,CIE,454763,2191196,Q,
20100604,CIE,195376,414987,Q,
20100607,CIE,127313,653874,Q,
20100608,CIE,137117,277144,Q,
20100609,CIE,158189,318527,Q,
20100610,CIE,112240,362878,Q,
20100611,CIE,351149,904893,Q,
20100614,CIE,162984,395026,Q,
20100615,CIE,71745,241105,Q,
20100616,CIE,181255,547872,Q,
20100617,CIE,229220,1711843,Q,
20100618,CIE,52158,571945,Q,
20100621,CIE,143057,322404,Q,
20100622,CIE,136140,444408,Q,
20100623,CIE,100236,286687,Q,
20100624,CIE,34562,925286,Q,
20100625,CIE,46514,115573,Q,
20100628,CIE,63804,149563,Q,
20100629,CIE,352977,676549,Q,
20100630,CIE,79457,208660,Q,
20100701,CIE,120788,208333,Q,
20100702,CIE,50312,119454,Q,
20100706,CIE,41236,204866,Q,
20100707,CIE,134101,401307,Q,
20100708,CIE,76837,263360,Q,
20100709,CIE,69931,185939,Q,
20110804,CIE,96013,949044,,1900.0
