,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,CKH,7435,25327,Q,
20100105,CKH,4477,24686,Q,
20100106,CKH,9060,18342,Q,
20100107,CKH,14997,35567,Q,
20100108,CKH,2150,13415,Q,
20100111,CKH,400,19948,Q,
20100112,CKH,2039,24957,Q,
20100113,CKH,7549,29117,Q,
20100114,CKH,3470,18052,Q,
20100115,CKH,7000,16179,Q,
20100119,CKH,1733,17549,Q,
20100120,CKH,2860,13093,Q,
20100121,CKH,5989,14886,Q,
20100122,CKH,5281,18758,Q,
20100125,CKH,3300,20056,Q,
20100126,CKH,3408,15225,Q,
20100127,CKH,4541,47277,Q,
20100128,CKH,4806,117377,Q,
20100129,CKH,16194,56204,Q,
20100201,CKH,4050,11330,Q,
20100202,CKH,2591,12018,Q,
20100203,CKH,5700,32945,Q,
20100204,CKH,9785,30700,Q,
20100205,CKH,12408,44879,Q,
20100208,CKH,4426,21410,Q,
20100209,CKH,3129,14640,Q,
20100210,CKH,5120,17442,Q,
20100211,CKH,4550,10342,Q,
20100212,CKH,7209,13392,Q,
20100216,CKH,4310,21550,Q,
20100217,CKH,4235,8833,Q,
20100218,CKH,2400,23149,Q,
20100219,CKH,13594,33705,Q,
20100222,CKH,11473,29537,Q,
20100223,CKH,5855,15490,Q,
20100224,CKH,11298,24395,Q,
20100225,CKH,9269,29158,Q,
20100226,CKH,9671,21050,Q,
20100301,CKH,14189,32153,Q,
20100302,CKH,7200,19248,Q,
20100303,CKH,9276,20809,Q,
20100304,CKH,4000,10301,Q,
20100305,CKH,12917,32120,Q,
20100308,CKH,5501,19488,Q,
20100309,CKH,11550,23196,Q,
20100310,CKH,10254,39709,Q,
20100311,CKH,4283,14346,Q,
20100312,CKH,6574,22345,Q,
20100315,CKH,7503,15569,Q,
20100316,CKH,4696,13088,Q,
20100317,CKH,2336,17590,Q,
20100318,CKH,9198,16933,Q,
20100319,CKH,25160,82554,Q,
20100322,CKH,3900,11622,Q,
20100323,CKH,3402,9202,Q,
20100324,CKH,3800,9819,Q,
20100325,CKH,29464,41988,Q,
20100326,CKH,11181,25500,Q,
20100329,CKH,6539,15511,Q,
20100330,CKH,11068,25668,Q,
20100331,CKH,5583,17421,Q,
20100401,CKH,4090,20425,Q,
20100405,CKH,7340,14584,Q,
20100406,CKH,9999,23086,Q,
20100407,CKH,8962,15354,Q,
20100408,CKH,3100,8637,Q,
20100409,CKH,3826,7809,Q,
20100412,CKH,2199,12827,Q,
20100413,CKH,1900,8837,Q,
20100414,CKH,2653,8539,Q,
20100415,CKH,1990,6889,Q,
20100416,CKH,3094,7718,Q,
20100419,CKH,1993,11209,Q,
20100420,CKH,5080,22954,Q,
20100421,CKH,9785,32414,Q,
20100422,CKH,11663,21463,Q,
20100423,CKH,29979,49609,Q,
20100426,CKH,12174,26992,Q,
20100427,CKH,4850,16423,Q,
20100428,CKH,8100,125272,Q,
20100429,CKH,28550,100906,Q,
20100430,CKH,69703,356523,Q,
20100503,CKH,31384,133502,Q,
20100504,CKH,10305,36856,Q,
20100510,CKH,12210,40873,Q,
20100511,CKH,9595,21840,Q,
20100512,CKH,7334,15684,Q,
20100513,CKH,4090,9090,Q,
20100517,CKH,11253,35671,Q,
20100518,CKH,12320,32086,Q,
20100519,CKH,11310,31514,Q,
20100520,CKH,20567,61073,Q,
20100521,CKH,17600,39501,Q,
20100524,CKH,16634,26437,Q,
20100525,CKH,31462,55775,Q,
20100526,CKH,21017,38230,Q,
20100527,CKH,8769,29902,Q,
20100528,CKH,24280,32949,Q,
20100601,CKH,22055,51710,Q,
20100602,CKH,29799,134120,Q,
20100603,CKH,16798,40056,Q,
20100604,CKH,15215,39321,Q,
20100607,CKH,11002,22731,Q,
20100608,CKH,13592,50371,Q,
20100609,CKH,12800,28305,Q,
20100610,CKH,7804,17504,Q,
20100611,CKH,11200,25019,Q,
20100614,CKH,24753,45548,Q,
20100615,CKH,14950,66674,Q,
20100616,CKH,15551,55283,Q,
20100617,CKH,2324,7424,Q,
20100618,CKH,3910,15033,Q,
20100621,CKH,7776,17476,Q,
20100622,CKH,14829,38135,Q,
20100623,CKH,12743,27426,Q,
20100624,CKH,10485,22980,Q,
20100625,CKH,16116,41364,Q,
20100628,CKH,13908,27168,Q,
20100629,CKH,9023,23431,Q,
20100630,CKH,8783,26071,Q,
20100701,CKH,21721,31425,Q,
20100702,CKH,6700,9304,Q,
20100706,CKH,8700,12661,Q,
20100707,CKH,8640,12646,Q,
20100708,CKH,10740,19704,Q,
20100709,CKH,3700,7000,Q,
20110804,CKH,12300,22775,,0.0
