,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,CLDA,4292,29971,Q,
20100105,CLDA,2168,10145,Q,
20100106,CLDA,9700,41578,Q,
20100107,CLDA,3200,31784,Q,
20100108,CLDA,3847,22936,Q,
20100111,CLDA,2400,13748,Q,
20100112,CLDA,3869,16576,Q,
20100113,CLDA,8075,27674,Q,
20100114,CLDA,3031,23312,Q,
20100115,CLDA,3973,14807,Q,
20100119,CLDA,3106,12406,Q,
20100120,CLDA,3658,23663,Q,
20100121,CLDA,5878,33548,Q,
20100122,CLDA,4958,36714,Q,
20100125,CLDA,20121,52841,Q,
20100126,CLDA,4359,23669,Q,
20100127,CLDA,2250,20514,Q,
20100128,CLDA,4577,34482,Q,
20100129,CLDA,6195,26430,Q,
20100201,CLDA,6258,34215,Q,
20100202,CLDA,12463,20327,Q,
20100203,CLDA,3625,10075,Q,
20100204,CLDA,7852,16183,Q,
20100205,CLDA,11235,31951,Q,
20100208,CLDA,13087,30634,Q,
20100209,CLDA,4700,40314,Q,
20100210,CLDA,11170,39971,Q,
20100211,CLDA,5327,31947,Q,
20100212,CLDA,9128,25546,Q,
20100216,CLDA,4359,16055,Q,
20100217,CLDA,7864,14720,Q,
20100218,CLDA,14845,51486,Q,
20100219,CLDA,5950,8481,Q,
20100222,CLDA,8269,28166,Q,
20100223,CLDA,12335,29134,Q,
20100224,CLDA,7827,13044,Q,
20100225,CLDA,4833,10606,Q,
20100226,CLDA,16510,21844,Q,
20100301,CLDA,73041,124172,Q,
20100302,CLDA,10103,55452,Q,
20100303,CLDA,20479,60123,Q,
20100304,CLDA,11440,18345,Q,
20100305,CLDA,21907,35606,Q,
20100308,CLDA,18108,29000,Q,
20100309,CLDA,17171,36805,Q,
20100310,CLDA,8535,29903,Q,
20100311,CLDA,18915,35875,Q,
20100312,CLDA,23579,40726,Q,
20100315,CLDA,8697,31152,Q,
20100316,CLDA,1775,26033,Q,
20100317,CLDA,14328,27138,Q,
20100318,CLDA,16524,47291,Q,
20100319,CLDA,30585,78872,Q,
20100322,CLDA,25062,48243,Q,
20100323,CLDA,11886,55623,Q,
20100324,CLDA,7722,47380,Q,
20100325,CLDA,14280,31576,Q,
20100326,CLDA,14796,39740,Q,
20100329,CLDA,3569,23974,Q,
20100330,CLDA,3990,14247,Q,
20100331,CLDA,6096,22272,Q,
20100401,CLDA,13023,36268,Q,
20100405,CLDA,4989,33226,Q,
20100406,CLDA,3500,11553,Q,
20100407,CLDA,9389,28488,Q,
20100408,CLDA,8145,43102,Q,
20100409,CLDA,22990,36891,Q,
20100412,CLDA,8124,25121,Q,
20100413,CLDA,8434,41799,Q,
20100414,CLDA,7465,40147,Q,
20100415,CLDA,8871,31467,Q,
20100416,CLDA,11508,26456,Q,
20100419,CLDA,9380,35214,Q,
20100420,CLDA,4962,24380,Q,
20100421,CLDA,3600,14142,Q,
20100422,CLDA,9888,33047,Q,
20100423,CLDA,2928,21315,Q,
20100426,CLDA,3426,37616,Q,
20100427,CLDA,4466,27809,Q,
20100428,CLDA,2750,29476,Q,
20100429,CLDA,1090,15365,Q,
20100430,CLDA,3100,24923,Q,
20100503,CLDA,1615,10585,Q,
20100504,CLDA,13057,54310,Q,
20100510,CLDA,11900,32944,Q,
20100511,CLDA,3794,19338,Q,
20100512,CLDA,9372,18757,Q,
20100513,CLDA,6675,15231,Q,
20100517,CLDA,2180,14399,Q,
20100518,CLDA,7784,30792,Q,
20100519,CLDA,6500,35708,Q,
20100520,CLDA,17824,49942,Q,
20100521,CLDA,42686,110891,Q,
20100524,CLDA,26412,51263,Q,
20100525,CLDA,29034,60028,Q,
20100526,CLDA,25124,48223,Q,
20100527,CLDA,16174,25750,Q,
20100528,CLDA,109348,121773,Q,
20100601,CLDA,99561,125834,Q,
20100602,CLDA,37158,71855,Q,
20100603,CLDA,67800,87557,Q,
20100604,CLDA,23200,42925,Q,
20100607,CLDA,9319,37542,Q,
20100608,CLDA,11948,26593,Q,
20100609,CLDA,126740,230704,Q,
20100610,CLDA,18544,65432,Q,
20100611,CLDA,2900,17377,Q,
20100614,CLDA,23431,39815,Q,
20100615,CLDA,21721,53512,Q,
20100616,CLDA,71077,103323,Q,
20100617,CLDA,29350,49334,Q,
20100618,CLDA,55410,118764,Q,
20100621,CLDA,59848,95564,Q,
20100622,CLDA,72793,90421,Q,
20100623,CLDA,44492,63629,Q,
20100624,CLDA,24500,44136,Q,
20100625,CLDA,163218,177684,Q,
20100628,CLDA,20088,38145,Q,
20100629,CLDA,21695,50821,Q,
20100630,CLDA,11885,36588,Q,
20100701,CLDA,16833,41768,Q,
20100702,CLDA,6379,15525,Q,
20100706,CLDA,45150,70646,Q,
20100707,CLDA,25747,58440,Q,
20100708,CLDA,5916,24579,Q,
20100709,CLDA,15606,24606,Q,
