,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,COBR,1700,6571,Q,
20100105,COBR,5200,8000,Q,
20100106,COBR,300,7730,Q,
20100107,COBR,2100,4500,Q,
20100108,COBR,2493,7293,Q,
20100111,COBR,1200,1400,Q,
20100112,COBR,2514,11381,Q,
20100122,COBR,5750,6980,Q,
20100125,COBR,700,5065,Q,
20100128,COBR,100,300,Q,
20100129,COBR,1550,3050,Q,
20100202,COBR,4700,10350,Q,
20100203,COBR,900,2200,Q,
20100204,COBR,4400,5800,Q,
20100205,COBR,5925,7359,Q,
20100208,COBR,3675,7425,Q,
20100209,COBR,1800,6600,Q,
20100210,COBR,100,200,Q,
20100211,COBR,6000,6000,Q,
20100212,COBR,300,1350,Q,
20100216,COBR,2600,9125,Q,
20100217,COBR,11782,17028,Q,
20100218,COBR,15307,26553,Q,
20100219,COBR,8800,17297,Q,
20100222,COBR,8500,16475,Q,
20100223,COBR,10224,21723,Q,
20100224,COBR,10900,31134,Q,
20100225,COBR,22575,36611,Q,
20100226,COBR,1450,8444,Q,
20100302,COBR,19602,32546,Q,
20100303,COBR,2756,6856,Q,
20100304,COBR,23159,45701,Q,
20100305,COBR,11000,14175,Q,
20100308,COBR,13574,18182,Q,
20100309,COBR,1090,1590,Q,
20100310,COBR,8852,15284,Q,
20100312,COBR,17175,26879,Q,
20100315,COBR,4957,14680,Q,
20100316,COBR,27687,46872,Q,
20100317,COBR,8163,25044,Q,
20100318,COBR,32933,63327,Q,
20100319,COBR,13460,31308,Q,
20100322,COBR,800,9700,Q,
20100323,COBR,11400,16111,Q,
20100324,COBR,1929,4904,Q,
20100325,COBR,6813,11313,Q,
20100326,COBR,1850,4840,Q,
20100329,COBR,2512,10712,Q,
20100330,COBR,2229,11464,Q,
20100331,COBR,3600,9700,Q,
20100401,COBR,5595,9175,Q,
20100405,COBR,8333,20641,Q,
20100406,COBR,2100,6235,Q,
20100407,COBR,1000,9885,Q,
20100408,COBR,9350,15250,Q,
20100409,COBR,500,7500,Q,
20100413,COBR,900,1400,Q,
20100414,COBR,4600,11035,Q,
20100415,COBR,3600,15750,Q,
20100416,COBR,8000,15225,Q,
20100419,COBR,21091,29430,Q,
20100420,COBR,1724,5378,Q,
20100421,COBR,5900,13150,Q,
20100422,COBR,12900,20636,Q,
20100423,COBR,29878,64280,Q,
20100426,COBR,17778,24712,Q,
20100427,COBR,3826,6926,Q,
20100428,COBR,11520,16320,Q,
20100429,COBR,1000,21555,Q,
20100430,COBR,14850,29045,Q,
20100504,COBR,500,4802,Q,
20100510,COBR,700,3155,Q,
20100512,COBR,5147,9805,Q,
20100513,COBR,800,3500,Q,
20100517,COBR,8900,21269,Q,
20100518,COBR,100,1190,Q,
20100519,COBR,2100,5604,Q,
20100520,COBR,2200,6561,Q,
20100521,COBR,3500,17950,Q,
20100524,COBR,5100,12050,Q,
20100525,COBR,900,10400,Q,
20100526,COBR,1500,6600,Q,
20100527,COBR,5330,7460,Q,
20100528,COBR,6460,9960,Q,
20100601,COBR,10700,14600,Q,
20100602,COBR,1161,5961,Q,
20100603,COBR,4000,5800,Q,
20100604,COBR,3800,8600,Q,
20100607,COBR,8100,14800,Q,
20100608,COBR,3931,7262,Q,
20100609,COBR,1200,2400,Q,
20100610,COBR,1200,1700,Q,
20100611,COBR,5527,7565,Q,
20100614,COBR,100,700,Q,
20100617,COBR,1000,4125,Q,
20100618,COBR,3000,4466,Q,
20100621,COBR,200,1500,Q,
20100622,COBR,222,1022,Q,
20100623,COBR,1734,15559,Q,
20100628,COBR,1000,3300,Q,
20100629,COBR,1645,3745,Q,
20100630,COBR,246,2546,Q,
20100701,COBR,1250,5950,Q,
20100702,COBR,2125,5125,Q,
20100706,COBR,800,6394,Q,
20100707,COBR,4175,6632,Q,
20100708,COBR,3900,6940,Q,
20100709,COBR,1000,2450,Q,
