,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100111,CRBA,300,300,Q,
20100112,CRBA,200,400,Q,
20100114,CRBA,100,650,Q,
20100115,CRBA,101,201,Q,
20100201,CRBA,200,200,Q,
20100210,CRBA,150,250,Q,
20100211,CRBA,106,106,Q,
20100309,CRBA,115,1215,Q,
20100312,CRBA,100,100,Q,
20100322,CRBA,800,800,Q,
20100325,CRBA,100,100,Q,
20100405,CRBA,100,100,Q,
20100406,CRBA,100,300,Q,
20100407,CRBA,233,233,Q,
20100409,CRBA,100,100,Q,
20100414,CRBA,200,200,Q,
20100415,CRBA,100,100,Q,
20100420,CRBA,200,438,Q,
20100421,CRBA,600,600,Q,
20100422,CRBA,100,100,Q,
20100426,CRBA,200,200,Q,
20100428,CRBA,100,100,Q,
20100429,CRBA,1308,1550,Q,
20100430,CRBA,200,2100,Q,
20100504,CRBA,249,249,Q,
20100510,CRBA,300,1114,Q,
20100513,CRBA,200,200,Q,
20100520,CRBA,300,800,Q,
20100521,CRBA,100,200,Q,
20100607,CRBA,100,200,Q,
20100609,CRBA,200,200,Q,
20100616,CRBA,5200,5200,Q,
20100618,CRBA,1800,1800,Q,
20100708,CRBA,150,150,Q,
20110804,CRBA,600,1498,,0.0
