,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,CRBI,1000,1100,Q,
20100105,CRBI,3870,9270,Q,
20100106,CRBI,2492,4842,Q,
20100107,CRBI,1200,2625,Q,
20100108,CRBI,2206,4806,Q,
20100111,CRBI,400,1330,Q,
20100112,CRBI,250,1010,Q,
20100113,CRBI,500,1900,Q,
20100114,CRBI,1531,2431,Q,
20100115,CRBI,2525,6460,Q,
20100119,CRBI,1114,1114,Q,
20100120,CRBI,2749,5129,Q,
20100122,CRBI,300,1939,Q,
20100125,CRBI,100,1418,Q,
20100126,CRBI,400,1735,Q,
20100127,CRBI,800,2153,Q,
20100129,CRBI,100,717,Q,
20100202,CRBI,1000,1600,Q,
20100203,CRBI,355,905,Q,
20100204,CRBI,200,2088,Q,
20100205,CRBI,150,1435,Q,
20100210,CRBI,250,875,Q,
20100211,CRBI,150,450,Q,
20100216,CRBI,200,734,Q,
20100217,CRBI,375,675,Q,
20100218,CRBI,700,800,Q,
20100222,CRBI,300,700,Q,
20100301,CRBI,100,300,Q,
20100302,CRBI,147,497,Q,
20100303,CRBI,950,950,Q,
20100304,CRBI,800,800,Q,
20100305,CRBI,300,900,Q,
20100308,CRBI,200,200,Q,
20100311,CRBI,200,300,Q,
20100312,CRBI,640,1040,Q,
20100319,CRBI,153,900,Q,
20100322,CRBI,100,200,Q,
20100325,CRBI,583,683,Q,
20100326,CRBI,300,450,Q,
20100329,CRBI,100,500,Q,
20100401,CRBI,100,300,Q,
20100405,CRBI,400,800,Q,
20100409,CRBI,246,346,Q,
20100412,CRBI,100,400,Q,
20100414,CRBI,300,1549,Q,
20100415,CRBI,751,1051,Q,
20100416,CRBI,900,1200,Q,
20100419,CRBI,100,650,Q,
20100420,CRBI,300,300,Q,
20100421,CRBI,100,832,Q,
20100422,CRBI,1295,1615,Q,
20100423,CRBI,225,725,Q,
20100426,CRBI,100,850,Q,
20100427,CRBI,100,310,Q,
20100428,CRBI,100,1030,Q,
20100429,CRBI,450,1850,Q,
20100430,CRBI,800,2600,Q,
20100503,CRBI,701,1106,Q,
20100504,CRBI,300,3349,Q,
20100510,CRBI,500,1422,Q,
20100511,CRBI,200,1808,Q,
20100512,CRBI,524,1478,Q,
20100517,CRBI,820,1220,Q,
20100520,CRBI,200,400,Q,
20100608,CRBI,100,100,Q,
20100609,CRBI,100,100,Q,
20100611,CRBI,100,100,Q,
20100614,CRBI,200,500,Q,
20100621,CRBI,224,324,Q,
20100623,CRBI,100,400,Q,
20100629,CRBI,100,380,Q,
20100706,CRBI,2000,2150,Q,
