,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,CRME,16180,46198,Q,
20100105,CRME,14459,36193,Q,
20100106,CRME,63392,106329,Q,
20100107,CRME,12884,31939,Q,
20100108,CRME,31400,80075,Q,
20100111,CRME,42696,79887,Q,
20100112,CRME,108053,216423,Q,
20100113,CRME,133052,226262,Q,
20100114,CRME,129209,258931,Q,
20100115,CRME,86059,202306,Q,
20100119,CRME,27217,70382,Q,
20100120,CRME,27830,64656,Q,
20100121,CRME,15706,62091,Q,
20100122,CRME,40386,131264,Q,
20100125,CRME,13500,39964,Q,
20100126,CRME,18723,71525,Q,
20100127,CRME,24203,45460,Q,
20100128,CRME,20053,40553,Q,
20100129,CRME,14037,42538,Q,
20100201,CRME,28211,92688,Q,
20100202,CRME,25417,83862,Q,
20100203,CRME,18483,34667,Q,
20100204,CRME,39273,57868,Q,
20100205,CRME,41597,91802,Q,
20100208,CRME,10811,41787,Q,
20100209,CRME,28142,39030,Q,
20100210,CRME,13183,23311,Q,
20100211,CRME,38832,119467,Q,
20100212,CRME,10235,46194,Q,
20100216,CRME,45504,97638,Q,
20100217,CRME,15275,54688,Q,
20100218,CRME,6539,37264,Q,
20100219,CRME,14744,68233,Q,
20100222,CRME,3502,16094,Q,
20100223,CRME,5690,18052,Q,
20100224,CRME,12361,35317,Q,
20100225,CRME,6845,27778,Q,
20100226,CRME,11462,23027,Q,
20100301,CRME,21591,57719,Q,
20100302,CRME,11625,54208,Q,
20100303,CRME,14865,48145,Q,
20100304,CRME,4319,24741,Q,
20100305,CRME,11911,25801,Q,
20100308,CRME,2109,10445,Q,
20100309,CRME,8860,26066,Q,
20100310,CRME,95497,200915,Q,
20100311,CRME,37650,91995,Q,
20100312,CRME,81098,167853,Q,
20100315,CRME,24042,122530,Q,
20100316,CRME,26269,89085,Q,
20100317,CRME,8050,58708,Q,
20100318,CRME,13963,68048,Q,
20100319,CRME,9484,40624,Q,
20100322,CRME,9828,57752,Q,
20100323,CRME,6958,134522,Q,
20100324,CRME,6645,50100,Q,
20100325,CRME,8600,46148,Q,
20100326,CRME,8511,38083,Q,
20100329,CRME,13675,74347,Q,
20100330,CRME,3912,25037,Q,
20100331,CRME,12474,49515,Q,
20100401,CRME,166788,282879,Q,
20100405,CRME,85461,681047,Q,
20100406,CRME,25611,71188,Q,
20100407,CRME,29309,103191,Q,
20100408,CRME,30737,120229,Q,
20100409,CRME,28182,126652,Q,
20100412,CRME,68943,198571,Q,
20100413,CRME,120417,312464,Q,
20100414,CRME,61172,856262,Q,
20100415,CRME,32729,94552,Q,
20100416,CRME,111578,267309,Q,
20100419,CRME,136792,804938,Q,
20100420,CRME,78179,517764,Q,
20100421,CRME,48730,174023,Q,
20100422,CRME,104430,2358320,Q,
20100423,CRME,573422,769064,Q,
20100426,CRME,78253,162644,Q,
20100427,CRME,37197,118328,Q,
20100428,CRME,123669,243447,Q,
20100429,CRME,43304,435233,Q,
20100430,CRME,32480,59592,Q,
20100503,CRME,62721,184855,Q,
20100504,CRME,26685,97611,Q,
20100510,CRME,80287,183903,Q,
20100511,CRME,37978,68663,Q,
20100512,CRME,96622,176713,Q,
20100513,CRME,45957,305976,Q,
20100517,CRME,27766,82337,Q,
20100518,CRME,93475,147465,Q,
20100519,CRME,47373,82335,Q,
20100520,CRME,43392,120499,Q,
20100521,CRME,21338,130872,Q,
20100524,CRME,17500,57909,Q,
20100525,CRME,53667,101401,Q,
20100526,CRME,39608,152352,Q,
20100527,CRME,47861,127729,Q,
20100528,CRME,33295,64135,Q,
20100601,CRME,28387,335910,Q,
20100602,CRME,17224,70423,Q,
20100603,CRME,10426,92235,Q,
20100604,CRME,17906,71668,Q,
20100607,CRME,25165,123625,Q,
20100608,CRME,21600,133264,Q,
20100609,CRME,13504,71086,Q,
20100610,CRME,22123,79544,Q,
20100611,CRME,18600,50454,Q,
20100614,CRME,92102,172100,Q,
20100615,CRME,20959,192617,Q,
20100616,CRME,3075,89067,Q,
20100617,CRME,3300,72987,Q,
20100618,CRME,9354,80173,Q,
20100621,CRME,22802,49079,Q,
20100622,CRME,21550,43647,Q,
20100623,CRME,7334,45938,Q,
20100624,CRME,7800,92036,Q,
20100625,CRME,97681,384410,Q,
20100628,CRME,102182,315456,Q,
20100629,CRME,27899,149217,Q,
20100630,CRME,25104,89128,Q,
20100701,CRME,103619,247878,Q,
20100702,CRME,41707,180196,Q,
20100706,CRME,14493,71197,Q,
20100707,CRME,12193,63980,Q,
20100708,CRME,48159,133928,Q,
20100709,CRME,19158,75500,Q,
20110804,CRME,44211,74513,,0.0
